artist,title,lyric
  윤현상  ,아무도 모르는 곳,이제와 내가 망설이는 건 알 듯 말듯한 네 표정 때문은 아냐 내게 와 오늘 예정에 없던 거짓말을 하고 다시 내 손을 잡아 네가 날 볼 때마다 내가 느끼는 모든 건 전부 다 담아둘게 내 머릿속에 다른 사람들은 모르는 우리 둘 만의 저편으로 더 멀리까지 떠올라 누구도 모르는 곳으로 떠나자 우리 내게서 눈을 떼지 말고선 아무도 모르는 곳으로 떠나자 우리 너와 나만 아는 그 곳으로 맘속에 깊게 담아두었던 작은 모습을 꺼내 내게 보여줘 처음과는 다른 모습이겠지만 괜찮아 난 다시 내 손을 잡아줘 네가 날 볼 때마다 내가 느끼는 모든 건 전부 다 담아둘게 내 머릿속에 다른 사람들은 모르는 우리 둘 만의 저편으로 더 멀리까지 떠올라 누구도 모르는 곳으로 떠나자 우리 내게서 눈을 떼지 말고선 아무도 모르는 곳으로 떠나자 우리 너와 나만 아는 그 곳으로 누구도 모르는 곳으로 떠나 oh 아무도 모르는 곳으로 떠나 oh Love you Baby
  Barry White  ,It`s Ecstasy When You Lay Down Next To Me,"When we met, it wasn't quite clear to me What you had in store was there for only me Silly, you know you took me by surprise Then I turned and looked, I saw that message in your eye  There you were, I fell on the floor The way you move, girl, only made me want you more I did not know you had me hypnotized There's a movement of your body dancin' in my eyes  I know I had to hold you and make you mine Don't want to control you just to have a good time In ecstasy when you're layin' down next to me Oh, no, no, ecstasy, yeah, when you're layin' down next to me  I find it hard for me to concentrate If I don't make my move, girl, it might be too late I've got to make sure you don't get away After all you done, girl, to make me wanna stay  All my life I've been searchin' for a star Now my search is over and here we are Livin' in ecstasy, yeah, when you lay down next to me, yeah Here in ecstasy, when you're layin' down next to me  I wanna hold you and make you mine Don't want to control you just to have a good time Livin' in ecstasy, well, when you're layin' down next to me Ooh ooh wee, ecstasy, when you're layin' here with me, uh-huh  In this ecstasy when you are here with me, yeah Oh, it's ecstasy, Lord knows when you're next to me, yeah"
  브라운 아이즈  ,Song Of The Rain,Song of the rain the song of the rain alone Song of the rain the song of the rain alone 이젠 내게 이제는 내게 들어와 Long of the pain the long of the pain alone 아직도 그래 그래도 그대 생각나 이렇게 지친 나를 비웃는 낮은 비 소리에 나즈막히 좋은 이 노래가 들려와 영혼속을 채우는 빗물과 쉽지않은 노래 힘들지않게 무겁지않게 다가와 Song of the rain the song of the rain alone 이젠 내게 이제는 내게 들어와 Long of the pain the long of the pain alone 아직도 그래 그래도 그대 생각나 Song of the rain the song of the rain alone 이젠 내게 이제는 내게 들어와 Long of the pain the long of the pain alone 아직도 그래 그래도 그대 생각나 Song of the rain the song of the rain alone 이젠 내게 이제는 내게 들어와 Long of the pain the long of the pain alone 아직도 그래 그래도 그대 생각나 Song of the rain the song of the rain alone 이젠 내게 이제는 내게 들어와 Long of the pain the long of the pain alone 아직도 그래 그래도 그대 생각나
  김봄  ,비 오는 날,비 오는 날 이 거리를 걸어 나 혼자 우리 같이 걷던 이 길에 빗물은 추억과 함께 내 맘을 파고들어 네가 떠나고 난 뒤 혼자 많이 힘들었지 친구들의 위로도 한 순간뿐이야 분위기를 망칠까 봐 힘든 티를 못 낼 뿐이야 I still got that heartache 사람들 모두 행복해 보여 세상에 외톨이는 나 혼자 널 다시 원한다는 말은 아닌데 다만 행복했던 기억들이 날 괴롭힐 뿐이야 이 거리를 걸으며 생각났을 뿐이야 memories back then 비 오는 날 이 거리를 걸어 나 혼자 우리 같이 걷던 이 길에 우산은 있지만 뭔가 허전한 기분 Did I forget something 빗소리에 추억들도 지나가네 네가 떠난 빈자린 반복되는 memories 새로운 사람을 만나도 난 니가 보여 끝도 보여 그래서 난 좀 쉬고 있어 우리 추억 속에 갇혀 있어 Have you been here with another girl 추억이 넘치는 걸 우산도 없이 너와 같이 걸었던 나 자연스레 또 이 길을 걸어 without you I still think about those memories back then yeah Guess I'm still thinkin' about you Why is it so hard to forget about you All the good memories we have they're just killing' me It's painful now Maybe I miss you that's the issue No I can't be with you 비 오는 날 이 거리를 걸어 나 혼자 우리 같이 걷던 이 길에 우산은 있지만 뭔가 허전한 기분 Did I forget something 빗소리에 추억들도 지나가네 비 오는 날 이 거리를 걸어 나 혼자 우리 같이 걷던 이 길에 우산은 있지만 뭔가 허전한 기분 Did I forget something 빗소리에 추억들도 지나가네 솔직히 말할래 가끔은 보고 싶어 난 괜찮아 단지 같이 있던 반쪽을 잃어 생각 보다 허전한 내 맘 너도 힘들 거라는 이기적인 희망 추억은 우리 둘이지만 그때의 추억을 혼자 지나가 넌 나보다 좋은 사람 향해 다가가 잘 살아 떠나가 내 걱정 마 나도 곧 집에 다 와가 비 오는 날 이 거리를 걸어 나 혼자 우리 같이 걷던 이 길에 우산은 있지만 뭔가 허전한 기분 Did I forget something 빗소리에 추억들도 지나가네
  Joonand (주낸드)  ,leave off,차가운 새벽에 한 방울씩 떨어지는 비를 봐 손 내밀어서 축축한 느낌을 느껴봐 구름 한 점 없는 하늘에 이런 비도 내리고 먹먹했던 가슴도 이젠 i leave leave off i leave leave off 모든 걸 다 내려놓고 다시 다시 시작해봐 i leave leave off i leave leave off 모든 걸 다 내려놓고 다시 다시 시작해봐 밤하늘에 수많은 별들이 반짝여 어둠 속 밤공기가 내 몸을 스쳐 지나갈 때 거칠게 내쉬는 숨소리도 이젠 i leave leave off 잠시 멈춰 서서 i leave leave off 다시 처음으로 모든 걸 다 내려놓고 다시 다시 시작해봐 i leave leave off 잠시 멈춰 서서 i leave leave off 다시 처음으로 모든 걸 다 내려놓고 다시 다시 시작해봐
  The Tony Rich Project  ,Hey Blue,Late one night at the cafe I think I had a Greyhound that hight Lookin' for my lover in the darkness She said she would meet go there So she says why she was late Said she couldn't get her hair done Well you know how that is Constantly tapping on the table Givin' me every indication somethin's wrong Hey Blue I know you well I can tell by the way carry yourself Hey Blue across the room I can see you when you're with him I'm with you She wears her lips dark That's what I like But it dosen't make things right not tonight As she dwells out the after at the left I followed her oh you don't know what I felt At that moment that I reached the sidewalk I see this car there she sits threr And she doesn't even know me anymore So I confront her with a smile And a wave away now Blue you knew better Hey Blue I know you well I can tell by the way carry yourself Hey Blue across the room I can see you when you're with him I'm with you Hey Blue I know you well 'Cause when I know you I know you And Blue know Hey Blue across the room cause I'm inside of you I watch your every move  I can tell when somethin's on your mind It sort df shows in your eyes The way you move your flight Hey Blue across the room I can see you When you're with him I'm with you
  2BIC(투빅)  ,함께 걷는 길 (Inst.),함께 걸어갈 이 길이 마냥 쉽지만은 않겠지만 그대와 함께 나 지금 마음처럼 서로 믿음으로 잘 해낼 거에요 기쁠 때나 슬플 때나 혹은 지치고 힘들어도 항상 함께해요 이제는 같은 곳을 보고 같이 걷고 함께 웃고 울고 잠들고 내 남은 삶 모두 그댈 위해 쓸게요 그대만 허락한다면 서로 미워할 날도 있겠죠 그땐 내가 먼저 고칠게요 그대 서러울 땐 내게 기대요 사랑을 믿어 봐요 함께해줘요 이런 내 마음을 믿어줘요 영원히 우리 익숙해진 서로의 모습이 지겨울 수도 있죠 그땐 사랑으로 채워요 같은 곳을 보고 같이 걷고 함께 웃고 울고 잠들고 내 남은 삶 모두 그댈 위해 쓸게요 그대만 허락한다면 서로 미워할 날도 있겠죠 그땐 내가 먼저 고칠게요 그대 서러울 땐 내게 기대요 사랑을 믿어 봐요 I want to spend my life for you 상처뿐인 길일지라도 Baby I will walk with you through the pain 그대 내 곁에 있어주면 같이 보고 걷던 모든 시간 함께 웃고 울고 잠들던 순간들 혼자서 추억할 날 오겠죠 덧없는 그 세월 속에 그대여 나를 잊지 말아요 비록 운명 우릴 갈라놔도 진정 사랑으로 언젠간 우리 다시 만날 테니까 함께 해줘요 나는 그대만 있어준다면 영원히 우리 삶이 끝난다 해도
"  양요섭 ,  리차드파커스  ",이야기 (Feat. 노블레스),아름다웠던 너와 나의 이야긴 이렇게 조각나 부서져버린 액자처럼 이젠 붙일 수 도 없나봐 하지만 잊지마 우리 그때 처음 봤을 때 서로를 원했던 눈빛 하나만은 기억하자 너무 아름답던 우리 모습이 사라지네요 너무 아름답던 우린 눈물이 나네요 십년도 더 된 너와 나의 이야긴 이렇게 늘어나 닳아져버린 테잎처럼 이젠 들을 수도 없나봐 하지만 잊지않아 내가 처음 울던 날 그런 날 보며 더 가슴 아파 울던 예쁜 니 모습 기억하자 너무 아름답던 우리 모습이 사라지네요 너무 아름답던 우린 눈물이 나네요 더 깊숙히 묻어둘걸 내가 말했잖아 후회할거라고 니가 그랬잖아 다시 볼 거라고 우린 우연도 허락되지 않은 인연이 아니라고 믿고 싶지 않은 널 꺼내보고 싶었던 게 한 두번이 아냐 내가 떠나가고 싶었던 게 아냐 동화될 수 없는 어린 날의 동화 같은 영화속에 우리 얘기 내가 지워버린 장면이 그리워 기억나지 않아 나는 사랑하는 법을 잃어버린 살아가는 법을 잃어버린 나를 버린 채로 그냥 살어 그런대로 그냥 살어 너도 그래 보여 완성하지 못한 우리 얘기들은 팩트는 아니지만 그런대로 좋아보여 너무 아름답던 우리 모습이 사라지네요 너무 아름답던 우린 눈물이 나네요 너무 아름답던 그대 돌아서 멀어지네요 너무 아름답던 우린 모습이 없네요
  Tony Momrelle  ,Spotlight (Original Mix),oh oh oh  la la la  hey!  got me curious to know  just whats your name?  It's when you walk into the spot  or something change    I just can't  take my eyes of you  but i got to keep my cool  cause now  you head is over to my direction  yeah  this is my time to make connection  with you girl
"  MINSU ,  Fuzzy (퍼지)  ",백색왜성 (White Dwarf),어릴 때엔 누구나 상상하잖아 이 이야기의 주인공은 나라고 부모님의 눈 속에서 반짝였잖아 이 곳에 태어났단 이유만으로도 서울 밤 하늘의 별도 군중 속에 나도 희미해 보이질 않는 거야 저 달이 차고 또 기울고 반복하듯이 나도 특별할 것 없이 그렇게 White dwarf white dwarf white dwarf Why drop my lives like this White dwarf white dwarf white dwarf Why drop my lives like this 별이 빛나려면 그 주변은 어두워야 하는데 모두가 밝으려 애를 써 쉽게 힘을 잃고 말아 다신 꿈을 꿀 수 없는 백색왜성이 되어 서울 밤 하늘의 별도 군중 속에 나도 희미해 보이질 않는 거야 저 달이 차고 또 기울고 반복하듯이 나도 특별할 것 없이 그렇게 White dwarf white dwarf white dwarf Why drop my lives like this White dwarf white dwarf white dwarf Why drop my lives like this
