artist,title,lyric
  40  ,지갑을 열었어,설렜어 너 만나서 많이 예뻐서 더 흘렀어 맘이 길을 걷는 내내 두근거림 네 맘을 얻을 때까지 내 기나긴 기다림 근사한 곳에서 밥을 먹어요 서울이 한눈에 보이는 그림같은 View예요 선물도 잊지 않았어요 나 24k 금반지를 그대 가녀린 손에 끼워 드려요 지갑을 열었어 네가 너무 예뻐서 눈을 뗄 수 없었어 반짝이는 입술이 그녀 입술이 반짝인다 더없이 널 사랑한다 널 위해 검정색 깔끔한 Suit & Tie 새까만 Benz에 걸어와 올라타 혹은 Matte Black Lamborghini에 올라타 해가 뜰 때까지 함께 할거야 곧 있음 바다를 보게 될거야 확 트인 아름다운 Ocean View 내 옆에 네 미소에 모든 걸 갖고만 싶은데 지갑을 열었어 네가 너무 예뻐서 눈을 뗄 수 없었어 그녀 입술이 반짝인다 더없이 널 사랑한다 늦은 아침 너와 함께 눈 뜨고 서로를 바라볼 수 있다면 나 더는 바랄게 없을텐데 그대 받아주오 지갑을 열었어 네가 너무 예뻐서 눈을 뗄 수 없었어 반짝이는 입술이 아 아름답다
  Lianne La Havas  ,Age,Why do I love him He don't love back When I call his name He turns his back The weather is growing cold And I want him back again I kinda know this other guy But he's rather old enough to be my father So he's not the one for me 'Cause I fancy younger men I'm at a loss Not a coincidence he left me because My older man Was ready to love me like the woman that I am So is it such a problem if he's old As long as he does whatever he is told I'm glad that it's just my heart that he stole And left my dignity alone When in Rome we landed our first kiss I Slurred my words but he pretended not to notice And then he set down to play My heart sang a symphony So far so swimmingly I'm glad I got out to find my fish in that sea And we've come so far So who gives a damn about the ages we are So is it such a problem if he's old As long as he does whatever he is told I'm glad that it's just my heart that he stole And left my dignity alone So is it such a problem if he's old As long as he does whatever he is told I know I'm gonna survive the December cold With somebody to retrieve my long lost soul With somebody to retrieve my long lost soul
  Matt Martians  ,Found Me Some Acid Tonight (Feat. Steve Lacy),I found me some acid tonight We gon' drift to the other side It don't even matter tonight Cause we gon' drift to the other side  Outro I found me some acid tonight
  박정현  ,서두르지 마요,서둘지 마요 그댈 잡으려 하는 게 아녜요 미안해도 마요 항상 옳았던 그대 뜻인걸요 고갤 들어 나를 좀 봐요 힘들겠지만 한 번만 웃어봐요 많이 그립겠죠 지금 마주한 그대 모습이 난 눈으로 사진을 찍어요 아름다운 그 입술 더 아름다운 그 눈빛 나의 손이 외우는 따뜻한 그 얼굴 만질 수 없는 게 이별은 아닌데 아주 나를 잊진 말아요 내 마음이 느려서 내 사랑이 넘쳐서 그대 맘도 모르고 들떠있던 내게 시간을 줄래요 그대를 내 맘에 조금 더 담을 수 있게 어떤 말을 할까 고민하다가 예쁘게 웃었죠 걸음이 참 무거워 보여 그대 나처럼 아낀 말이 많아서 틀린 적 없었던 그대 선택을 믿기로 해요 모든 것엔 이유가 있댔죠 이별은 둘이서 하는 것 사랑 시작할 때처럼 지금부터 기나 긴 기다림이 시작될뿐야 안녕은 난 말할 수 없어 I'm standing here for you 아름다운 그 입술 더 아름다운 그 눈빛 나의 손이 외우는 따뜻한 그 얼굴 만질 수 없는 게 이별은 아닌데 아주 나를 잊진 말아요 내 마음이 느려서 내 사랑이 넘쳐서 그대 맘도 모르고 들떠있던 내게 시간을 줄래요 서둘지 말아요 조금 더 그댈 볼래요
  7anhee (탄희)  ,"Wasting (feat. yppah, J.ho)",Can’t you see the irony No one's holding on to me All I wanna do is hold you You called me a fake Maybe I’m a get a anxious You’ve never seen me cry I never told you what I'm talking about What I want to say is I’ve been through it all Yes I’m in a trouble Why doesn't anyone know I'm wasting my mind all day I'm wasting my tears all day Can’t you see the irony No one's holding on to me When I'm trying to stay with you They called me a fake I lost myself in me That night I put my youth in a casket I feel like I'm stuck in the deep What I want to say is I’ve been through it all Yes I’m in a trouble Why doesn't anyone know I'm wasting my mind all day I'm wasting my tears all day I’ve been through it all Yes I’m in a trouble Why doesn't anyone know I'm wasting my mind all day I'm wasting my tears all day
  Rakae  ,잡음 (Noise) (Feat. 형도),그때 넌 내 Paradise 내 맘속에 Hypnotize 달콤한 꿈처럼 다가와 짜릿한 속삭임에 나 Out of control 어지럽게 날 끌어당기는 Siren 두 귀를 막고 고갤 저어도 I'm not so fine 가득 찬 네 목소리와 빼앗긴 Silence 갈수록 선명해져 너란 잡음 소리 미쳐버릴 것 같아 날 갖고 노는 네 목소리가 들려 고장 난 Radio 같아 날 파고드는 잡음 소리가 들려 Please shut it down Please shut it down 그때 넌 내 Fantasy 네 목소린 Ecstasy 전부 되돌리고 싶어도 저주 걸린 아이처럼 I can't handle it 어지럽게 날 끌어당기는 Siren 두 귀를 막고 고갤 저어도 I'm not so fine 가득 찬 네 목소리와 빼앗긴 Silence 갈수록 선명해져 너란 잡음 소리 미쳐버릴 것 같아 날 갖고 노는 네 목소리가 들려 고장 난 Radio 같아 날 파고드는 잡음 소리가 들려 Please shut it down Please shut it down 미쳐버릴 것 같아 날 갖고 노는 네 목소리가 들려 Please shut it down Please shut it down
  호재  ,꿈속의 너,지난밤 꿈속에 너를닮은 여잘 봤어 너무나 반가웠는데 그때와 똑같아 무릎까지 오는 치마 입을 가리고 눈웃음 짓는것 까지 i miss you 보고싶어서 내 집앞에 잠깐 왔다며 i miss you baby 시원한 밤 공기를 나와 함께 느끼고 싶다며 miss you miss you 저 하늘 별처럼 내곁에 항상 있고 싶다면서 아침이 밝기전 까진 그렇게 해줘 지난일이라고 서운해 하지 말라고 허심탄회한 네 말들 한땐 누구보다 가장 친했던 너와나 근데 난 너무도 몰라 옆에 있는 널 i miss you 보고싶어서 내 집앞에 잠깐 왔다며 i miss you baby 시원한 밤 공기를 나와 함께 느끼고 싶다며 miss you miss you 저 하늘 별처럼 내곁에 항상 있고싶다면서 아침이 밝기전 까진 그렇게 해줘 아침이 오면 널 볼수 없을테니까 또다시 죽을 것 같은 고통이 날 집어 삼킬테니까 너 없는 세상에서 난 삶에 이유가 없는데 왜 이렇게 해맑기만 한거니 i miss you 보고싶어서 내 집앞에 잠깐 왔다며 i miss you baby 시원한 밤 공기를 나와 함께 느끼고 싶다며 miss you miss you 저 하늘 별처럼 내곁에 항상 있고싶다면서 아침이 밝기전 까진 그렇게 해줘 아침에도 널 한번만 보고싶구나
  김현희  ,Fall In Love (Feat. 유옥수),처음 너를 봤던 그 순간 넌 모르겠지만 난 첫 눈에 반했어 꿈을 꿔도 니 생각만 나 아마도 이런 날 모르겠지만 요즘 난 매일 밤 니 생각만 하면 기분 좋은 꿈을 꿔 내일은 또 널 어떻게 볼지 고민해 Fall in love Deep inside 하루 하루 더 깊어지는 마음 Fall in love Deep inside 너와 함께하고 싶은 매일 난 언제나 난 니 뒤에 서서 뭐라고 말을 할지 고민하고 있어 우연인척 너와 마주쳐 아마도 넌 그냥 지나치겠지 바보같은 난 또 니 생각하며 네게 말할까 말까 몇번이고 고민해봐도 어려워 Fall in love Deep inside 하루 하루 더 깊어지는 마음 Fall in love Deep inside 너와 함께하고 싶은 매일 난 너 널 그리고 나 너 널 원하고 나 매일밤 꿈처럼 니 손을 잡을 수 있길 Fall in love Deep inside 하루 하루 더 깊어지는 마음 Fall in love Deep inside 너와 함께하고 싶은 매일 난 Fall in love Deep inside 하루 하루 더 깊어지는 마음 Fall in love Deep inside 너와 함께하고 싶은 매일 난
  마마무 (Mamamoo)  ,Just,"“Don’t worry about what they’re saying Keep doing you, love.”  Getting up in the morning SNS Check すれば嵐のように SNS Check 수레바 아라시노요우니 飛び交う Diss で溢れかえる 토비카우 Diss 데 아후레카에루 罵りあうより 共に Like taking steps 노노시리아우요리 토모니 Like taking steps 愛を語り合おう Right on 아이오 카타리아오우 Right on  AYAYAYA(AH) 強気なコメントも 쯔요키나 코멘토모 They can’t say it to my face (What’s going on?) AYAYA OH(OH) I know I know 自分の価値を I know I know 지분노 카치오 誰かに決めさせない 다레카니 키메사세나이  So just believe in LOVE OK? 特別な何かじゃなくOnlyこの愛だけが 토쿠베츠나 나니카쟈나쿠 Only 코노아이다케가 本当のMyself 目覚めさせてくれるの 혼또우노 Myself 메자메사세테 쿠레루노 Don’t complicate it I just wanna L-O-V-E(Love)  When I say something, you say a hundred 耳痛い you say a hundred 미미이타이 自分の好きなように考え 지분노 스키나요우나 캉가에 見たいものだけ見るそれで？ 미타이모노다케미루 소레데? 時間の無駄 説得するなんて 지캉노무다 셋토쿠수루난떼 If you touch my guy, I’ll bite you 甘いあめちゃんまたほしいの？ 아마이아메쨩 마타호시이노? You’re a child. 大丈夫 You’re a child. 다이죠부 but I’m not a kind  時代の流れいっそ脱ぎ捨て 지다이노 나가레잇소 누기스떼 毎日が私のIndependence Day 마이니치가 와따시노 Independence Day Back it up back it up back it up back it up 過去を見たって 카코오 미탓떼 Ain’t got no time for that nonsense  So just believe in LOVE OK? 素顔の奥　隠したReal me 曝け出そうよ 스가오노오쿠 카쿠시타 Real me 사라케다소우요 自分しか触れられない心がある 지분시카 후레라레나이 코코로가아루 Don’t complicate it I just wanna L-O-V-E(Love)  Riding high 届かないほど Riding high 토도카나이호도 景色は So beautiful 케시키와 So beautiful I don’t know what to say Level upするだけ Level up 수루다케 There can be no other way さぁ 手を伸ばして 사아 테오 노바시떼  So just believe in LOVE OK? 特別な何かじゃなくてOnly この愛だけが 토쿠베츠나 나니카쟈나쿠떼 Only 코노아이다케가 本当のMyself 目覚めさせてくれるの 혼또우노 Myself 메자메사세떼쿠레루노 Don’t complicate it I just wanna L-O-V-E(Love)  LOV-E LOV-E LOV-E LOV-E LOVE, LOV-E LOVE LOV-E LOV-E LOV-E LOVE(AYAYAYA) Nothing can get in our way LOV-E LOV-E LOV-E LOV-E LOVE, LOV-E LOVE LOV-E LOV-E LOV-E LOVE(AYAYAYA)  “Love conquers all So don’t give up I’m right there with you”"
  플리지  ,갖고싶어,You 이미 내 눈빛이 말하잖아 to you 너를 원하고 또 원한다고 우리의 속삭임은 붉은색 숫자가 붙었어 romantic melo about you 레드 틴트 적당히 작은 입술 Woo woo 이제는 허락해줘 가만히 있어줘 다가갈게 내 손은 너의 허릴 감을래 a every single time time 너를 느끼고 너의 밤 밤 밤을 가지고 싶어 uh yeah 갖고 싶어 uh yeah a every single time time 너를 느끼고 너의 밤 밤 밤을 가지고 싶어 uh yeah 갖고 싶어 uh yeah So good 이미 우린 눈을 감았잖아 Feel's good 숨이 멎을 것만 같아 All night long 빈 잔을 채우고 you're not alone 빈자릴 채우고 You 화장은 지우지 않아도 되 안고 싶어 우린 좀 바쁘니까 전화기는 필요없지 오늘밤은 예쁜 너의 두 눈을 감아줘 오렌지 조명과 널 위한 음악 잔잔하게 스며드는 너의 온기가 I feel So good I feel So good no no no 아랫 입술 깨무는 모습 소리 높여 날 부르는 니 목소리가 I feel So good I feel So good no no a every single time time 너를 느끼고 너의 밤 밤 밤을 가지고 싶어 uh yeah 갖고 싶어 uh yeah a every single time time 너를 느끼고 너의 밤 밤 밤을 가지고 싶어 uh yeah 갖고 싶어 uh yeah 갖고 싶어 갖고 싶어 해 뜰때까지 밤 깊어가지 Girl 눈을 맞추고 입을 맞춰 a every single time time 너를 느끼고 너의 밤 밤 밤을 가지고 싶어 uh yeah 갖고 싶어 uh yeah a every single time time 너를 느끼고 너의 밤 밤 밤을 가지고 싶어 uh yeah 갖고 싶어 uh yeah a every single time time 너를 느끼고 너의 밤 밤 밤을 가지고 싶어 갖고 싶어 a every single time time 너를 느끼고 너의 밤 밤 밤을 가지고 싶어
