artist,title,lyric
  Karoline Kruger  ,You Call It Love,You call it love They are thingsI need to say 'bout the way I feelWhen your arms are all around meYou call it loveWords I'd heard that sound so finemeaningless each timetill you came and found me Seethe ground is slowly turningdizzily easily Feelthe way my heart is burningsecretly inside of meYou call it loveall the wishes in my mindsoaring to the skywere reflected in my own eyesYou say it's loveVariations on a themeLove was just a dreamMemories of past sighs Seeyour love is always 'round meeverywhere in the air Newsensations now surround meoceanwide deep insideYou call it loveall my days pass close to youGrey skies turn to blueand the sunshines all around meYou call it loveIt's a phrase that people sayeach and everyday real love'shard to find though Seethe ground is slowly turningdizzily easily Feelthe way my heart is burningbring your touch secretlyYou call it love now I knowit's so much morebeing close to youMakes this feeling newyou call it love
  Ariana Grande  ,7 rings,Yeah breakfast at Tiffany's and bottles of bubbles Girls with tattoos who like getting in trouble Lashes and diamonds ATM machines Buy myself all of my favorite things Yeah Been through some bad shit I should be a sad bitch Who woulda thought it'd turn me to a savage Rather be tied up with calls and not strings Write my own checks like I write what I sing yeah Yeah My wrist stop watchin' my neck is flossy Make big deposits my gloss is poppin' You like my hair Gee thanks just bought it I see it I like it I want it I got it Yeah I want it I got it I want it I got it I want it I got it I want it I got it You like my hair Gee thanks just bought it I see it I like it I want it I got it Yep Wearing a ring but ain't gon' be no Mrs. Bought matching diamonds for six of my bitches I'd rather spoil all my friends with my riches Think retail therapy my new addiction Whoever said money can't solve your problems Must not have had enough money to solve 'em They say Which one I say Nah I want all of 'em Happiness is the same price as red-bottoms My smile is beamin' my skin is gleamin' The way it shine I know you've seen it You've seen it I bought a crib just for the closet Both his and hers I want it I got it yeah I want it I got it I want it I got it I want it I got it I want it I got it Baby You like my hair Gee thanks just bought it Oh yeah I see it I like it I want it I got it Yeah my receipts be lookin' like phone numbers If it ain't money then wrong number Black card is my business card The way it be settin' the tone for me I don't mean to brag but I be like Put it in the bag yeah When you see them racks they stacked up like my ass yeah Shoot go from the store to the booth Make it all back in one loop gimme the loot Never mind I got the juice Nothing but net when we shoot Look at my neck look at my jet Ain't got enough money to pay me respect Ain't no budget when I'm on the set If I like it then that's what I get yeah I want it I got it I want it I got it Yeah I want it I got it I want it I got it Oh yeah yeah You like my hair Gee thanks just bought it I see it I like it I want it I got it
  Michael Jackson  ,A Place With No Name,As I drove across on the highway My jeep began to rock I didn't know what to do so I stopped and got out And looked down and noticed I got a flat So I walked out parked the car like sideways So I can find what I can fix I looked around there were no cars on the highway I felt a strange feeling like a mist I walked down towards the end of the road And in the fog a woman appeared She said don't you worry my friend I'll take care Take my hand I'll take you there Woah oh Take me to a place without no name Take me to a place without no name Take me to a place without no name Take me to a place without no name As she took me right through the fog I see a beautiful city appear Where kids are playin' and people are laughin' and smiling and No one's in fear She said this is the place where no people have pain And in love and happiness She turned around looked down at my eyes and started cryin' grabbed my hand you got a friend Woah oh Take me to a place without no name no name Take me to a place without no name Place without no name Take me to a place without no name Take me to a place without no name Yeah Yeah Yeah Yeah She started likin' me kissin' me and huggin' me She didn't really really want me to leave She showed me places I've never seen things I've never done This place really looks like a lotta fun I seen the grass and the sky and the birds And the flowers surrounded by the trees This place is filled with love and happiness and not a world could I wanna leave So then I went in my pocket took my wallet on out With my pictures of my family and girl This is the place that you choose to be with me When you thought you could be in another world Ooh ooh Take me to a place without no name no name Take me to a place without no name Take me to a place without no name Place without no name Take me to a place without no name Place without no name Place without no name Place without no name Place without no name Place without no name
"  Tony Bennett ,  Amy Winehouse  ",Body And Soul,"My heart is sad and lonely For you I sigh, for you dear only Why haven`t you seen it I`m all for you body and soul I spend my days in longin` And wondering why it`s me you`re wronging I tell you I mean it I`m all for you body and soul I can`t believe it It`s hard to conceive it That you turn away romance Are you pretending It looks like the ending And less I could have one more chance to prove, dear My life a wreck you`re making You know I`m yours for just the taking I`d gladly surrender myself to you body and soul Are you pretending It looks like the ending And less I could have one more chance to prove, dear My life a wreck you`re making You know I`m yours for just the taking I would gladly surrender myself to you body and soul"
  Boy In Space  ,On A Prayer (feat. SHY Martin),I've been dead for days I just feel like a black hole Got my head in space I'm alone where should I go Everything we did is saved in a box full of Polaroids And when I drink I don't think so I call just to say hello Never calling you out Zip a lock on my mouth And I Never figured it out Love just went south And I I wish that I could turn my heart into stone So I don't have to feel what I feel when I'm alone I've been burning pavement Almost met my maker Livin' on a prayer Need to change your face from the screen of my phone Please pick up your stuff so I can finally let you go Called in every favor Devil was my neighbor Livin' on a prayer Guess how many steps that I took Cuz I wanted you to be the one That's how many times I was building you up so you could let me down Now I'm calling you out Rip the lock from my mouth And I I really figured you out Love just went south And I I wish that I could turn my heart into stone So I don't have to feel what I feel when I'm alone I've been burning pavement Almost met my maker Livin' on a prayer Need to change your face from the screen of my phone Please pick up your stuff so I can finally let you go Called in every favor Devil was my neighbor Livin' on a prayer Now I'm calling you out Rip the lock from my mouth And I I really figured you out Love just went south And I I wish I didn't have to feel this low And I don't know if I will make it home To my mama's basement Livin' on a prayer oh
  Jamie Cullum  ,Bury A Friend,What do you want from me Why don't you run from me What are you wondering What do you know Why aren't you scared of me Why do you care for me When we all fall asleep where do we go Say it spit it out what is it exactly You're payin' Is the amount cleanin' you out Am I satisfactory Today I'm thinkin' about the things that are deadly The way I'm drinkin' you down Like I wanna drown like I wanna end me Step on the glass staple your tongue Ahh Bury a friend try to wake up Ah-ahh Cannibal class killing the son Ahh Bury a friend I wanna end me I wanna end me I wanna end me I wanna end me What do you want from me Why don't you run from me What are you wondering What do you know Why aren't you scared of me Why do you care for me When we all fall asleep where do we go Listen Keep you in the dark what had you expected Me to make you my art and make you a star And get you connected I'll meet you in the park I'll be calm and collected But we knew right from the start that you'd fall apart 'Cause I'm too expensive It's probably somethin' that shouldn't be said out loud Honestly I thought that I would be dead by now Calling security keepin' my head held down Bury the hatchet or bury a friend right now The debt I owe gotta sell my soul 'Cause I can't say no no I can't say no Then my limbs all froze and my eyes won't close And I can't say no no I can't say no Step on the glass staple your tongue Ahh Bury a friend try to wake up Ah-ahh Cannibal class killing the son Ahh Bury a friend I wanna end me I wanna end me I wanna end me I wanna end me I wanna end me What do you want from me Why don't you run from me What are you wondering What do you know Why aren't you scared of me Why do you care for me When we all fall asleep where do we go
  Eva Cassidy  ,Imagine,"Oh Danny boy, the pipes, the pipes are calling  From glen to glen, and down the mountain side  The summer's gone, and all the flowers are dying  'Tis you, 'tis you must go and I must bide.  But come ye back when summer's in the meadow  Or when the valley's hushed and white with snow  'Tis I'll be here in sunshine or in shadow  Oh Danny boy, oh Danny boy, I love you so.    And if you come, when all the flowers are dying  And I am dead, as dead I well may be  You'll come and find the place where I am lying  And kneel and say an ""Ave"" there for me.    And I shall hear, tho' soft you tread above me  And all my dreams will warm and sweeter be  If you'll not fail to tell me that you love me  I'll simply sleep in peace until you come to me.    I'll simply sleep in peace until you come to me."
  Blue System  ,"Thank God, It`s Friday Night","Thank God it's friday night We're together - we're side by side Thank God it's you and me All together in a family  Thank God - Thank God - Thank God It's friday night Thank God - Thank God - Thank God Oh side by side  40 nights - I loved you 40 nights Like satelittes, we need no alibis But in your heart, you had a plan But in my dream, I was your man And if you ever fall in love  40 days - I loved you 40 days Believed in you - Oh God I prayed and prayed But in this dream - you fool my heart We're skin to skin - you broke apart And I will never fall in love  Why you promised me love? Why you promised me love? Why you promised me love? Why you promised me love?"
  Jacob Sartorius  ,Selfish,"I heard it takes Ten thousand hours To be the master of your craft One hundred ways That I could change My attitude keeps me on track To defend from forces out of my control I put in the work 'cause I think you should know the truth The truth  That I wanna be more than our yesterdays 'Cause there's just too much to lose I wanna be more than a grain of sand On the beach, I want the view I wanna be the one, one, one in a million Call me selfish for you I wanna be the one, one, one in a million Call me selfish for you  I heard they say My generation Is all 'bout ADD But in the past They didn't have Facebook Twitter Snap and IG Distractions are everywhere as far as I can see The patience I got you is taking all of me, me Count on me  I wanna be more than our yesterdays 'Cause there's just too much to lose I wanna be more than a grain of sand On the beach, I want the view I wanna be the one, one, one in a million Call me selfish for you I wanna be the one, one, one in a million Call me selfish for you  Life is the shortest, long road Yeah, ever known I wanna have something new That I can show, oh  I wanna be more than our yesterdays 'Cause there's just too much to lose I wanna be more than a grain of sand On the beach, I want the view I wanna be the one, one, one in a million Call me selfish for you I wanna be the one, one, one in a million Call me selfish for you"
  Janet Jackson  ,SloLove,"I gotta take, I wanna do all the day through slow love Ooh Uh uh Uh uh  You are all of me And all that you're showing me Is so beyond belief I'm living a dream  Baby, take it to another level tonight Express our lovin' in the music Baby don't you realize that this is the time That I am yours and you will be all mine  [Chorus] Oh I wanna tell you all I wanna do do is (Uh uh) huh huh all the day through and (Uh uh) Slo slo loving undercover Take it up, nice and slow  Oh I wanna tell you all I wanna do do is (Uh uh) huh huh all the day through and (Uh uh) Slow slow loving undercover Take it up, nice and slow  [Verse 2] Freeze this moment please Don't wanna get it out of my head Can't control the heat When our bodies meet Baby, take it to another level tonight So excited I'm beyond control Baby don't you realize that this is the time Didn't you know it Didn't you know it"
