title,reviews
스플린터 (Splinter),"  우와 ........ BP Rip 화질로 루트를 이용해 구했는데 ..
  정말 보면서 땀많이 흘렸습니다 ..
  말이 안되는 부분도 있지만.. 영화는 모두가 그렇지 않습니까?!(아닐수도 .. )
  저는 이 영화가 루인스 보다 훨씬 낳은 작품이라고 생각합니다..
  뭐.. 지극히 개인적인 생각일지는 모른다 하더라도 .,,
   루인스는 뭔가 찝찝하게 끈나서 ('''''''''')
  정말이 안경쓴 뽀그리 머리 아져씨 얼음 안고 덜덜덜 떨면서 경찰차로 가는 장면 (쓰읍!)때는
  정말 정말 쩌어어어어~~~~만치 모니터랑 떨어져서 봤네요.. (하하핳 창피하게시리 ..;;)
  원래 영화 보고 이런 리뷰 아예~ 안올리는데. 
  리뷰 까지 올리게 만드네요 ㅡ;;    
  정말 끈내줍니다! 킬링 타임 이런 영화 절대 아니구요!
  뭐 이런 장르의 영화 좋아하신다면.. 꼭 추천하고 싶습니다.. 
  사진 몇컷!
  ( 휴게소 아져씨 .. 곰팡이에 감염(?) 이 되면 저렇게 곰팡이 맘대로 몸이 움직이네요.. 후덜덜 ..;; )
                 ( 용감한 뽀그리 머리 아져씨 ! )
    (이건 감염된 인질범 아저쒸의 손가락 영화 중간에 차를 히치하이킹(?) 해서 도망가던 중
  타이어에 이따시 빵꾸 가나서 타이어 교체하다가 곰팡이에 감염대셨다..;;  )
          네이버 사진에는 몇장 없어서  이거밖에는 못올리네요 ~..;;
  맘 같아선 영화에서 몇개 더건져서 올리고 싶지만 ....
  이만 다들 영화 즐겁게 보세요~ 아! 전 별 4.5/5 줍니다!
      P.S
   0.5 감점은 너무 돈을 적게 들였어!! 돈좀만 더들여서 CG 좀더 멋있게 구현 했으면! 5 점 주는건데 "
스플린터 (Splinter),"어떤 영화인가? 

 영화 <스플린터>(원제 : Splinter, 2008)는 고어 공포 영화입니다. 짧은 82분이라는 러닝타임을 가지고 영화가 진행이 되는데 영화의 진행은 거의 주유소 편의점에서 진행이 됩니다. 그 주유소 편의점에서 벌어지는 일이 상당히 긴장감 넘치게 잘 나왔다고 할 수 있겠네요. 


무언가의 습격과 빠른 진행

 영화는 처음부터 무언가의 습격을 받는 주유소 편의점 점원의 모습을 보여줍니다. 아무 이유 없이 무언가의 습격을 받은 그 모습이 보이고 난후 폴리(질 와그너, Jill Wagner)와 세스(폴로 코스탄조, Paulo Costanzo) 그리고 데니스(쉐어 위햄, Shea Whigham)와 레이시(레이첼 커브스, Rachel Kerbs)가 그 주유소 편의점까지 가게 만들어 버리죠. 필요한 인물들을 빠르게 집합시키고 사건을 만들어내는 신속함이 보입니다. 


그 공간 

 주유소 편의점이라는 공간에서 진행이 되는 영화는 긴장을 저절로 만들어냅니다. 나갈 수도 없고 그곳에 있는 것조차 불안하게 만들어버리면서 영화는 계속 긴장을 유지하게 하지요. 그 무언가는 계속해서 공격을 하려고 하고 처리할 방법을 찾아내려고 하지만 쉽지 않습니다. 그러니 그 공간에서 계속 있을 수밖에 없고 공포는 점점 커져만 가게 됩니다. 


고어 그 잔인함

 예상하지 못 했습니다. 어느 정도 잔인할 것이라 생각은 했지만 이 정도로 잔인할 줄은 몰랐습니다. 잔인한 것을 못 보지는 않지만 예상하지 못한 잔인함과 그 정체불명의 무언가가 상당히 인상 깊게 다가올 정도의 퀄리티였습니다. 결론은 잔인합니다. 


빠른 전개와 긴장

 영화를 보다 느끼는 것이 하나 있다면 불필요한 설명은 없이 빠르게 액션에 치중하는 느낌이 많이 듭니다. 결국 남는 것은 없지만 영화를 보며 러닝타임 동안의 몰입은 확실히 좋았습니다. 고어 영화이고 액션 영화이기 때문에 불필요한 설명이 없다는 것에 대해 다소 보기 편했죠. 현재 상황에 대해 어떻게 헤쳐 나갈 것인지에 집중을 하고 그 상황을 빠르게 헤쳐나가려고 하는 모습이 영화 속에서 보다 적극적으로 보였습니다. 이렇게 전개가 빠르다 보니 자연스럽게 긴장감도 나오게 되지요. 


정체불명의 그것

 정체불명의 무언가는 역시 두려운 것입니다. 정확하게 그것이 무엇인지 왜 공격을 하는지 무엇을 찾아오는지에 관해 모르기 때문에 두려운 것이죠. 그것이 무엇인지 알게 되기는 하지만 모르는 상태에서 계속해서 영화를 보게 된다면 두려움을 자극하는 데는 큰 무리는 없습니다. 원래 개봉을 한 시기가 2008년이니 이번 <팔로우>(2014)가 얼마나 심리적으로 잘 활용한 영화였는지 다시 한번 깨닫게 해주는 케이스라고 할 수 있겠습니다. 그래도 고어 영화로서의 긴장, 잔인함 등에는 충실하였기에 영화를 보면서 불편한 부분은 전혀 없었습니다. 


-가시 박힌 손이 다가온다

 비니비니 영화 리뷰 #1024 (2015 #188)



스플린터
감독
토비 윌킨스
출연
쉐어 위햄, 폴로 코스탄조, 질 와그너, 찰스 베이커, 레이첼 커브스, 로렐 위트셋
개봉
2008 미국
평점
리뷰보기



  "
스플린터 (Splinter),"살인 식물이라는 삼류급 소재로 나름 시간 때우기에는 괜찮았던 영화.
  B급 영화임을 증명하듯 영화속 등장인물은 고작 6명이며, 그중 3명은 짧은 시간 안에
저세상으로 떠나신다. 또한 괴수 영화임에도 CG를 최대한 줄이고 직접 제작한 탈을
쓰고 카메라를 최대한 흔들어 저예산으로 최대한의 퀄리티를 보여주기 위해 노력하였다.
  그래도 이 영화를 봤던 사람들이 그렇듯 나 역시 크게 기대를 하지 않았기에 꽤 긴장감을
가지고 시청할 수 있었다. 위의 평점과 같이 이런 B급 괴수 영화에  별 2.5개면 조금은
볼만하단 얘기.
  솔직히 이런 영화는 졸리거나 화만 나지 않으면 성공 아니겠는가? 굳이 열심히 찾아서
볼 필요는 없고 정말 할일 없을때 얼떨결에 구했다면 걍 봐주는 센스... 
  동영상이 첨부되었습니다. 원본보기
   "
스플린터 (Splinter),"    무명에 가까운 배우진들.
난 돈없어요 하는 저예산.
  그러나 신선한 시나리오.
  이것이 이 영화를 빛내게한 중요한 요소다.
반대로 우리나라는 돈만쳐들이고 시나리오가 빈약한게 흠이다.
  여하튼 스플린터 영화는 인간말고도 생명을 가져서 그 생명을 연장하고자 하는
또다른 무언가를 내세우고 싶어한듯 하다. 그것이 본능에 따라 인간까지 잡아먹든 안먹든.
  영화는 시종일관 초반부 빼고는 편의점에 같힌 세사람의 심리와 공포감을 담았다.
  요즘 나오는 블락버스터들 보다 오히려 이 영화가 주는 긴장감과 몰입도가 더 뛰어났던걸 뭘까..
  이것은 아마도 저예산이 주는 한정된 공간과 한정된 인물들. 그리고 확장되지 않은 전개력이
오히려 일관된 집중과 공포를 선사했던거 같다.
  내용속의 꼬투리들을 하나하나 일부러 꼬집어 내면 오류도 좀 있긴 있었다.
허나 오류없는 영화가 어디 있으랴. 티안나게 물흐르듯 러닝타임이 흘러가면 그만이다.
  간만에 정말 재밌었다.
  조만간 이 영화의 비긴즈나, 후속편 2탄이 나올듯 하다."
스플린터 (Splinter),"      이 영화중 가장 무서운(?) 장면이다.
  완전 초 저예산 영화같다.
  뭐 B급 호러물이 거의 그렇지만 이 영화는 특히 더~ 저예산이다.
  내용도 간단하다.
  머리 절대 쓸일없다.
  가시모양의 기생바이러스(?)가 원인도 없이 어디선가 나타나서(첫장면)
  사람에게 기생하면서 벌어지는 일이다.
  마지막 장면을 보아하니... 속편도 제작이 될것같다는 생각이;;;
    주인공은 극히 적다.
  딱봐도 일반 B급 호러 주인공같아보이는 여주인공 1
  이윤석 닮은 남주인공 (솔직히 이놈이 1번으로 죽을줄알았는데;;;)
  영화 내에서 짜증을 맡고있는 약쟁이여자1 (그나마 일찍 사라져서 짜증이 조금은 덜났다는..)
  주인공삘의 악당 1
  소리소문없이 어떻게 알고온지모를 여경찰 1
  첫장면에서 잠깐나오고 중반에 다시 잠깐 등장하는 종업원 1
  정말이지 이 외에 등장인물은 단 한명도 없다.
  주연급 5천 조연 3천 단역 1천이라고 따지만 주연급 3명이라치고 1억5천 
  조연 한명 3천에 단역 2명 2천
  정말 후하게 생각했을경우에.. 물론 B급 호러영화 출연료로 원화기중으로 2천을 넘게받은
  사람이 없다고 듣기는 했다.ㅎㅎ
  아무튼 이렇게해서 제작비 2억
  괴물영상...
  CG? 그런 부분이 있었나..?
  솔직히 괴물이 어떻게 생긴지 자세히 보이지도 않는다;;;
  아무튼 분장에 1천
  세트...
  편의점. 
  끝..
  세트 3천 그렇다면... 스탭 월급주고 하면...
  우리나라 독립영화보다 적게 들어간듯싶다;;
    괜한 제작비얘기만 이리하다니...
      내용적인 부분없고 생각하거나 머리쓸 일도 없고
  보고나서 그 여운이 남거나 혹은 두려움이나 공포가 남는 일도 더더울 없고...
    딱 시간을 보내고싶을때 틀어놓으면 될것같다.
  좀 많이 엉성하더라도 집중하면 나름 긴장감은 생길수도있을거라 생각한다.
    내 개인적인 생각에
  이걸 보던 그 시간에 다른걸 봤더라면... 이라는 아쉬움이 든다..;;;  "
스플린터 (Splinter),"  기본정보 : 미국 | 82 분
감독 : 토비 윌킨스
출연 : 쉐어 위햄, 폴로 코스탄조, 질 와그너, 찰스 베이커, 레이첼 커브스, 로렐 위트셋
나의 평점 : 7점(10점만점)
              길가다 어색하게 만난 네사람이 식인 식물에게 쫓기게 된다는 내용입니다.
영화가 조촐하게 만들어진거 같지만 나름 잘 만들어진듯 합니다.
큰 재미는 없었지만 나름의 재미를 느끼실 수 있습니다.
  저예산이라 스토리도 간단하고 볼거리도 많진 않았지만 킬링타임용은 충분히 되는듯 합니다.
""루인스"" 라는 영화를 보신분들도 있겠지만..
이 영화에서의 주인공도 살인식물입니다...
그러나 루인스에서의 그 식물과는 느낌이 조금 다릅니다.
루인스에서의 식물은 인간 스스로가 자신들을 찾아오도록 꼬득이는 약간은 수동적인 모습인데 비해
이 영화에서의 식물은 직접 인간을 찾아나서는 적극성을 보여줍니다.
  영화상에서 보여지는 장소는 딱 세곳입니다.
젊은 커플이 텐트를 치려던 공터, 차를 빼앗겼던 도로, 식인식물과의 혈투가 벌어지는 주유소..
등장인물도 다섯손가락에 꼽을만큼(사실은 6명이 나옵니다)..
저예산 티를 많이 내고 있습니다..
그래도 재미없지 않습니다..
  재미가 없는것도 아니고 그렇다고 아주 재밌는것도 아니고..
그 중간쯤 되는.. 딱 킬링타임용 영화 같습니다.
  스플린터 ..
파리지옥이나 끈끈이 주걱 정도의 잡초가 아닙니다.
킬링타임용으로 던집니다.
반츄!!"
스플린터 (Splinter),"  이 손가락..
손목이 짤라져서 사람들에게 달려드는 모습이 제일 기억에 남아요
귀신도 안나오는데 제일무서웠던 영화는 이것이었던 같아요.
가시가 사람의 살에 살짝 박히기만 하여도 돋아나는 곰팡이 가시들...
사람의 몸속에 곰팡이가 들어가  미쳐서 <주유소 안
주유소안에 여자와 남자친구인 남자가 있는 장면인데요. 주유소에 들어가 사람을 먹을라고
머리로 주유소의 유리를 박아 피가 유리에서 흐르는장면입니다/
여기도 엄청 징거러웠던것같아요. 사람이 목이 꺾이고 갈비뼈가 드러나고 온몸에 피가 흐르는 여자친구를
안타깝게 바라보는 주유소안에 있는 남자.
아무것도 생각하지않고 사람을 먹으려고하는 사랑도 기억못하는 주유소를 밖는 여자
다 주유소 안에 있던 이 주유소 직원 때문에 이렇게 된것이지 않을까 싶어요
지금 생각해도 엄청 징그러운 이장면 쳐다보기도 무섭네요.
왜.왜.왜... 그 마약하는 여자친구가 화장실에 들어가서 그런일이 생긴걸까요?
주유소 직원이 거기서 바로 죽었으면 그나마 괜찮을텐데.
아무튼 제일 공포스러웠던 스플린터.
잠도 못잔경험이 많이 있는 스플린터
여름에 보면 정말 소름이 날 영화입니다.  
 "
스플린터 (Splinter),"좀비나 기타 잔인&공포장르를 즐겨보는 저로써는 이 작품에 매우 흥미를 느꼈습니다.
일단, 모든 좀비영화의 공통점인 공기로 바이러스가 전염되는 방식을 깨었고
좀비의 신체 일부를 자른다거나 헤드샷 등을 무시하는 능력 엄청났습니다. 특히, 신체 일부가 잘리면
그 일부분이 또 하나의 적이 된다는점... (뭐 이런건 나타나면 칼,총따윈 필요없고 무조건 화염병 ㄱㄱ)
한가지 의문점이라면 왜 여자 1명만 끝까지 싸우고 있고 나머지 들러리들은 누워있느냐?
주유소 주인은 의식을 어떻게 그렇게 오랫동안 가지고 있다가 사람오니 바로 변하느냐였다...
여튼, 돈 갖다 바르면서 엑스트라넣고 스케일 크게 간다고 좀비영화가 재밌지다는 의식을 깨주는
영화다. 이에 반해 이영화의 출연자 고작6명 장소는 도로좀 나오다 주유소 끝... 
하지만 돈 넣은것의 200%를 발휘하는 영화라 나는 말하고 싶다.
  400자 채워야 하므로 줄거리 간단히 가겠습니다. (귀찮아서 이름 제외)
첫장면은 주유소 주인이 바이러스 감염된 개?에게 물림
이후 주인공과 그의 동거녀가 여행을 간다.
하지만 텐트 만들다 말아먹고 모텔가던중 2명을 더 만난다.
그 2명에게 차를 뺏기고 운전을 한다. 가던중 주유소 주인을 뜯어먹은 개를 박는다
가시덕에 차에 구멍이나서 갈다 2인조중 남자가 가시에 찔린다. 그리고 주유소에 간다.
2명중 여자는 약맞으러 화장실가다 주인 시체를 발견한다. 여기서 의문점은
그 주인이 의식이 있다가 여자가 오니 바로 변해서 여자를 공격 여자는 죽는다
하지만 남자는 살아있다며 데리고 올려다 발에 한방 맞는다.
그렇게 쭉쭉 가다 남자는 팔을 자르고 주인공은 생물학 박사과정이므로
그 바이러스의 특성을 알아낸다. 그 특성은 열에 반응한다.
그래서, 주인공은 자신의 온도를 낮춘 후 나간다. 뒷문에선 시선끌기 위해 폭죽을 터트린다.
주인공이 차에가서 무전을 하려했지만 실패 그의 열이 올라가고 좀비가 온다.
남자는 그것을 보고 폭죽을 들고 나가서 시선을 끌지만 주유소 안에 좀비가 들어오는것을 허용한다.
주인공은 차에서 총을 뽑아가서 쏘지만 반응x 하지만 폭죽으로 불이 붙은곳에 손이 들어가자 타버린다.
남자는 주인공과 동거녀를 보내고 주유기계를 터트려 좀비를 죽이고 자신도 가스통을 깨고 자살한다.
주인공과 동거녀가 걸어가면서 엔딩이 된다. 근데 다른 좀비들 어디갔냐고?? 주유소 주인 권총 3~4발
맞고 끝까지 안일어나네 여자는 샷건 박혀도 끄떡없던데. 여튼 좀비는 불이 제일인가 보다.
 "
스플린터 (Splinter),"스플린터
감독 토비 윌킨스 출연 쉐어 위햄, 폴로 코스탄조, 질 와그너, 찰스 베이커, 레이... 개봉 2008 미국
리뷰보기
  누가 세스좀 죽여줘요... 제..발..!!ㅋㅋㅋ
흠... 제목부터가 따끔따끔하지않은가ㅋ
 

"" Like you always say, we just have to be smarter than what we're working against. ""
  1/  오프닝부터 바로 느낄 수 있는건 매크로가 살아있다는 것!! 이런게 크리처물의 매력이지
2/  볼륨을 키우고 시청하시길!!
3/  그래, 이런 장르는 겨울보다 여름이 제맛이져ㅋ
4/  와우, 영리하다, 범죄스릴러+크리처호러!! 장르, 플롯 믹스!!
5/  캐릭터 조합도 가히 훌륭하다.
6/  B급 호러답지않게 개연성이 없지도않고ㅋ
7/  크리처물, 재난영화등에서는 언제나 그렇듯 일단 센스있고 봐야한다, 생존의 제 1 법칙
8/  적나라하게 멋진 고어도 간간히 있다. 그치만 매니아로서의 고어점수는 그리 높게 못 주겠다.
9/  침착해야한다. 지금까지 자신이 봐왔던
모든 호러물의 멍청한 주인공들이 반복한 실수를 반복해선 안된다고 다짐해야한다. 생존의 제 2법칙
10/ 그리고 생존하고싶다면 인간적인 감정, 자기연민 등등에 연연하면안된다. 큰코다친다. 이게 3법칙ㅋㅋ
    11/ 기존의 크리처물들보다는 훨씬 뛰어나고 똑똑한 에피소드들의 나열, 정말이지 훨씬 낫다.
12/ 물론 전혀 안 멍청한건 아니다. 가끔 답답하긴 하다. 뭐, 물론 그래야 누군가 죽고, 죽어야 영화가 재밌지.
13/ 쑤신다. 마구 쑤신다. 저예산, 원로케로 이정도면 가상함을 뛰어넘은 수작이다.
14/ 고립 호러의 장점을 십분 발휘
15/ B급 주제에 숨죽이고 조마조마하게 만드는 재주도 숨어있다. 가만히 앉아서는 볼 수 없는
16/ 처절하다. 계획은 역시 어긋나야 재밌는 법
17/ 특수효과를 위한 예산만 약간 더 제공되었더라면 완벽했을 작품ㅋ
18/ 결국 굴러온 돌들의 쌩쇼였다는
19/ 속편이 나올만한 가치가 충만하다.
20/ 신나게 때려주는 엔딩 크레딧의 사운드트랙으로 기분좋게 마무리 "
스플린터 (Splinter),"스플린터
감독
토비 윌킨스
출연
쉐어 위햄, 폴로 코스탄조, 질 와그너, 찰스 베이커, 레이첼 커브스, 로렐 위트셋
개봉
2008 미국
평점
리뷰보기
  나는 심장이 콩알 만해서 스릴러나 호러물을 볼 엄두를 못내는데,
  민군이 식상한 여느 호러물과 비교했을 때, 소재가 신선하다고 해서 보게 된 스플린터
  이 영화 처음부터 끝까지 거의 외진 도로와 작은 주유소가 있는 매점을 벗어나질 않는다.
  손에 땀을 쥐며 흥미진진하게 봤던 영화 !
  마지막은 이게 끝이야? 할 정도로 약간 허무하지만 생각보다 재밋으니 킬링타임으로 제격이에요 "
