title,reviews
런던잡 (Get Lucky),"  런던잡 (2013)
Get Lucky
요약정보   액션 | 영국 | 86 분 | 개봉 2015-06-18 | 15세이상관람가
제작/배급  스크린 조이(배급), 스크린 조이(수입)
감독
 사샤 베넷  (Sacha Bennett) 화요일(2008), 데블우드(2006) 
주연
 루크 트레더웨이  (Luke Treadaway) 럭키 역  
 T. j. 라미니  (T.J. Ramini) 라파엘 역  
 제임스 코스모  (James Cosmo) 지직 역  
출연
   알리 쿡  (Ali Cook) 커비 역  
 에밀리 아택  (Emily Atack) 브리짓 역  
 크레이스 페어브래스   (Craig Fairbrass) 세바스찬 역
    줄거리
행운의 남자 럭키,
이번에도 행운이 따라줄 것 인가…

모든 일에 행운이 따르는 남자 ‘럭키’는 부모님이 살해되는 끔직한 사고를 겪은 후 고국을 떠나지만 유일한 가족인 형‘라파엘’이 있는 런던으로 돌아온다. 그의 오랜 친구‘커비’는 고국으로 돌아온 기념으로 작은 일거리를 같이 하자고 제안하고 망설이던 ‘럭키’는 같이 일을 시작한다. 돈을 훔쳐 나오던 ‘커비’는 돈의 주인의 조직원들에게 발각되고 결국 죽게 된다. 돈의 행방은 묘연하고 죽은 친구 대신에 돈을 갚아야 하는 상황에 놓인 ‘럭키’는 형에게 도움을 청하게 되면서 결국 ‘라파엘’이 계획 중인 큰 작업에까지 참여하게 되는데…
     "
레드 툼 (Red Tomb),"오늘 60여년 한국사회를 지배해온 빨갱이 컴플렉스의 실체를 보았다. 그것은 인간사 가장 큰 고통, 죽음에 대한 공포와 맞닿아 있었다. ‘골로 간다. 물 먹인다.’ 이미 상투적인 이 말들의 유래는 이름도 낯선 보도연맹 사건으로 거슬러 올라간다. 1949년 이승만 정권이 좌익의 색출과 회유를 목적으로 조직한 반공단체 ‘국민보도연맹’은 지역할당제 탓에 마구잡이로 가입, 민간인이 다수 포함됐다. 1950년 한국전쟁이 발발하자 이들을 석 달간 무참히 살해했는데, 그 수가 20~30만 명에 이른다. 뒤숭숭한 시국에 완장 찬 자들에게 지목당하면 즉결처분이니 무법천지, 숨쉬기조차 조마조마한 그 세월이 어떠했을까.
  <o:p></o:p>
감독의 카메라는 우리 지역 아픔과 한이 서린 곳곳을 샅샅이 훑어 내고 있다. 창원, 진주, 밀양, 창녕의 평화로운 골짜기마다에는 골로 갔던 사람들의 피가 배어있고, 거제, 통영의 그 눈부신 바닷물에는 물 먹어 죽은 사람들의 외마디가 여전히 녹아 있다. 이념과 거리가 있는 학살 놀음의 한편에는 철저히 정치적인 학살이 진행되었으니, 학살 대상에 독립군들이 상당수 들어 있었다는 사실. 1945년 일제가 패망하고 그 밑에 있던 친일세력들이 권력을 이어 갖는 과정에서 보도연맹 사건은 그들에게 훌륭한 면죄부의 계기가 되어주었던 셈이다.
  <o:p></o:p>
다시 레드 컴플렉스.
반세기 너머 동안 빠르게 깊이 학습되어 여전히 때때마다 불쑥불쑥 튀어나와 유효한 활약을 하고 있는 극단적인 반공주의.
국민들이 ‘빨갱이’ 한 마디면 덮어놓고 오금이 저리는데, 정권에 걸림이 되는 정적을 빨갱이로 몰아 편하게 제거할 수 있는 유혹에서 자유로울 독재자들이 과연 몇이나 될까?
초대 대통령답게 빨갱이 효과의 기초를 확실히 다져놓은 이승만.
학살된 유해를 모아 만든 무덤을 파헤쳐 유골들을 빻아 흩어버려 빨갱이는 죽음조차 편히 맞을 수 없음을 각인시킨 박정희.
5`18을 빨갱이 폭동 사건이라 왜곡한 전두환.
의문투성이 천안함 사건을 덮어놓고 북의 소행이라 규정한 이명박.
그리고, 대선 부정 진상규명을 요구한 야당 국회의원을 내란음모죄로 몰고 있는 박근혜 대통령．
선거 때마다 어김없이 불어 닥치는 북풍. 막 걸리는 막걸리법, 국가 보안법.
  <o:p></o:p>
스물 몇 살에 농사짓다 끌려간 남편을 목 잘린 시신으로 마주해야했던 호호할머니는 여전히 파랗게 질린 얼굴로 누가 들을세라 소리 낮춰 그날의 아픈 기억을 되살린다.
“난 아직도 겁이 나... 좋은 세상이 온 것 같지만, 언제 다시 그 시절로 돌아갈지 모르니께... 아직 남북이 갈려 있어서 겁이 나...”
  <o:p></o:p>
분단으로 우리가 잃은 것은, 아니 잃어가고 있는 것은 얼마나 될까? 보상은 두고라도 진상이라도 제대로 밝혀지기를 바라보다, ‘친일 청산’ 그 대목에서 그만 가슴이 턱 막혀버린다. 친일 교과서까지 만들어 대대손손 역사 바꿔치기를 꾀하는 일이 버젓이 일어나고 있는 이 땅, 작금의 현실에서는 이마저 과한 욕심일까? 분노와 슬픔이 한데 엉켜 오늘 밤은 쉬 잠이 올 것 같지 않다."
레드 툼 (Red Tomb),"그동안 감춰졌다 우리가 꼭 알아야할 흑역사. 영화보는 내내 충격적이라 진짜 있었던일인지에대한 의구심마저드는영화다.1945~1950까지 감춰졌던 근현대사의 비극을 낱낱이 공개한영화.온국민들이 꼭 알아야할 영화다.

보도연맹이란 오명하에 잔혹하게 진행됐던 국민 대학살을 다룬영화.
우리는 그동안 이사건을 왜 쉬쉬해왔을까? 지금까지 잘 안알려진 이유는 뭘까?
많은 생각과 충격이 교차하는 영화다.
전국에 매장된 인원만 대략35만구...
아직 국가적인 진상조사나 유체발굴도 제대로 진행되지않은상태.
지금 우리가 걷고있는 그자리가 학살에현장이며 유체가있을지모를자리다.
빠른시간안에 국가적인진상조사와 유체발굴이 진행되길 기대해본다."
레드 툼 (Red Tomb),"저당시만해도 빨갱이들 잡았다고 좋아라 하고박수첬을걸 ㅋㅋㅋ 악과선은 종이한장차이다 반드시옳다고 사람들의 지지를받는것도아니고 분명 악한행동임에도 반발받는건아니다
그시대의 국민들수준에따라 좌우될뿐 지금도 빨갱이드립이 유행인걸보면 또다시일어나지말라는 법은없다 이상한건 일본과 북한 둘다 큰상처를 남겨주었음에도 북한드립이 더 유행한다는것 물론 지식인들은 알거다 친일파 족속들이 살아남기위한 이데올로기 몰이수작이라는걸 하지만 현실은??
깨시민이 되기는 쉽지만 직접행동하기는 어렵다 일본식민지배시절 독립운동가들이나 6.25 폭탄안고 탱크밑 으로기어들어간 인간들처럼 물론 나도안전한곳에서만 투쟁한다 비겁한인간이기때문"
레드 툼 (Red Tomb),"레드 툼
감독
구자환
개봉
2013 대한민국
리뷰보기
레드툼 이라는 영화를 7월 9일날 개봉한다고 들었다.
빨갱이 무덤... 보도연맹사건을 다룬 다큐멘터리 영화다.
무슨 이유인지(대충 짐작은 가지만) 개봉관이 구하기 힘들어서 네티즌들이 스스로 나서서 홍보를 하고 있더라.
나도 그런 홍보 통해서 알게 되었다.
나는 역사 배우는데 근대사를 가장 싫어했다.
아직도 이어지고 있는 현실을 생각하면 가슴이 답답해 죽을것만 같다.
나는 인천에서 30년 넘게 살다가 결혼하고 영도에 내려와 두아이를 낳고 산지 12년이 되간다.
우리 동네에는 할머니들이 많이 사신다. 혼자 사시는 분들도 많은데 나름 챙겨드린다고 만나면
당신이 살아오신 이야기를 줄줄히 풀어놓으신다. 
듣다보면 한분 한분 어쩜 그리 치열하고 파란만장하게 사셨던건지.....
  그 중에 어떤 할머니에게 보도연맹 이야기를 들었다.
할머니는 영도에 태어나 자라셨고
18살에 영도 사람과 영도에서 살림을 차렸다.
살림 차리고 얼마 안되서
갑자기 저녁에 사람들이 들이닥쳐 저녁에 남편분을 끌고 갔다. 
보도연맹과 아무 상관없었는데 누군가 남편분을 미워하는 사람이 모함을 했던거 같다.
가서 죽도록 맞고 단체로 어디론가 끌려가서 죽을뻔했는데 어찌 어찌 도망을 치셨댄다.
그때 거기서 도망치지 않았으면 같이 끌려갔던 사람들과 학살당했을거라 하신다.
주변에도 몇명이 끌려갔는데 살아 돌아온 사람이 없다고 했다.
그렇게 도망온 남편분을 할머니는 집에 몰래 숨겨두고 살리려고 노력을 많이 하셨다.
남편분이 너무 맞아 상태가 너무 안좋아서 못버티고 죽을거 같았다. 
어느 점쟁이한테 물어보니 갓 만들어진 무덤에서 시체 일부를 고아서 먹이라 하는 소리도 듣고 실제로 실행도 하셨댄다. 뼈는 다시 도로 무덤에 가서 잘 묻어주셨다 했다.
아무튼 남편분 살리려고 별짓을 다했다는 식으로 이야기를 하셨다.
그 이야기를 속으로는 경악을 하면서 듣긴했는데 그때의 절박했던 할머니 심정이 이해는 갔다.
어쨋든 할머니의 정성이었는지 남편분은 살아나셨지만 쇠약해진 몸으로 일은 못하셨고 몇년 뒤에 돌아가셨다.
그 사이 사내 아이 둘 낳자마자 큰집에 빼앗기고 그 아들들은 지금도 자기 작은 어머니가 친어머니인지 모른다했다.
할머니는 그때 무덤에서 돌아가신분께 남편목숨 살리자고 해꼬지를 하게 된 벌로 이렇게 힘들게 혼자 사는거 같다 하셨다.
할머니는 그렇게 홀로 사시다가 지병으로 작년에 돌아가셨다.
영도 어디에 그 보도연맹 사건으로 많은 분들이 돌아가셨고 한꺼번에 어디에 뭍혀있다고 얼핏 들은적이 있었는데 그 할머니께 그렇게 들으니 이게 정말 현실이었구나 느껴졌다.
내가 사는 주변 어딘가에 그 분들이 뭍혀있다는거..불과 몇십년전 일이라는거....
마음이 아프다....
레드 툼 개봉한다는 소리듣고 그 할머니 이야기도 생각나고
영도에 그 무덤이 어디 있는지 궁금해서 검색을 해보는 중이다.
아마 다른 지역에서도 보도연맹으로 몰려 학살당하고 제대로 밝혀지지 않은 것처럼
영도에 있는 무덤도 그대로 묻히지 않나 싶다.
더 알아보고 포스트를 추가로 써야겠다.
보수 진보를 떠나서 연평해전이 재평가받고 영화도 개봉되어 많은 사람이 보고 있는 것을 보면서
정말 정작 진실이 알려져야할 보도연맹사건이 이 영화를 통해서라도 알려져야 하고 
제대로 파헤쳐지고 억울하게 돌아가신분들 위로를 해드려야한다 생각한다."
레드 툼 (Red Tomb),"10여년에 걸쳐서 공을 들인 흔적이 보입니다. 그러나 돈을 안들인 영화답게 느슨한 부분은 옥의 티라고 하겠네요. 그렇다고 하더라도 이 영화의 감동이 줄어들지는 않습니다. 청산되지 못한 친일문제 그로 인한 좌우익 갈등, 정치인들의 후안무치한 살육의 실체가 조금이나마 들어나는 것만 해도 감동이지요. 아직도 피해자라고 밝히기를 꺼리는 현실이 너무 슬픕니다.
   할머니들의 절규가 귓가에 맴돕니다.
개승만!
  이번 영화는 주로 경남지역의 사례를 중심으로 촬영한 것 같은데, 다음에는 좀더 지역을 넓혀서 만들어 주시기를 바라는 마음이 드는군요."
레드 툼 (Red Tomb),"레드 툼
감독
구자환
개봉
2013 대한민국
평점
리뷰보기

레드 툼, 빨갱이 무덤이라고도 한다. 두번째 제목은 가슴이 쿵 하고 내려앉는 느낌이 들 정도로 무서웠다. 내 무의식 속 빨갱이라는 단어가 좋지 않은 걸로 각인되어 있고, 그러한 방식으로 쭉 교육을 받아왔기 때문인 것 같다. 정부에서는 '빨갱이'라고 지칭되는 것이 나라를 혼란시키고 분란을 야기하기 때문에 제 1순위 척결대상이라고 한다. 하지만 진정 나라를 혼란시키고 분란을 야기하는 것은 누구인가. 빨간색 국기 앞에 충성을 다짐했던 자들에게 오히려 빨갱이라는 단어가 더 어울릴 것 같은데, 현실은 이들이 주도하고 있지 않은가. 정치 권력을 장악하고자 하는 이기심이 이 나라를 비정상적으로 만들어 온다고 한번도 생각하지 않았을까.


다큐멘터리는 지방 곳곳의 레드 툼(보도연맹원 매장지)와 그 당시를 생생히 기억하는 주민들의 진술로만 온전히 이뤄진다. 보도연맹회의를 연다고, 혹은 부역을 하러 나와야 한다고 그들을 소집한 뒤 무차별적으로 살해했다. 당시 보도연맹에 가입한 자들은 지방 할당량을 채우기 위해 억지로 가입되거나 무지로 인해, 혹은 가입하지 않으면 빨갱이로 찍힐 수 있다는 두려움에 선택했다. 아이러니하다는 생각이 들었다. 빨갱이가 될까봐 가입했는데 오히려 그것이 무차별 학살의 근거가 되다니 말이다.


피해자들은 일제강점기 지방의 권력자들에게 밉보이거나 그들의 권력을 유지하는데 큰 위협이 되는 자들이었다. 지식인들과 부유층도 많았고 젊은 자들이 대부분이었다. 증언에 따르면 고등학생 소녀와 60대 노인도 포함되어 있었다고 하니 얼마나 무차별적으로 일반 양민을 학살했는가를 알 수 있다. 그리고 독립운동가들도 상당수 포함되어 있었다. 얼마나 소름끼쳤는지 모른다. 나라의 독립을 위해 몸을 바쳐 싸우던 자들이 해방 이후에는 빨갱이라는 낙인이 찍혀, 빨간 국기 앞에서 충성을 맹세했던 자들에게 살해 당하다니 이건 정말 말도 안된다. 이건 시작부터 잘못돼도 단단히 잘못됐다. 그러니 지금까지도 그 사람들이 기득권을 놓지 않으려고 하며 갑질을 하는 것이다.


우리는 똑똑히 과거를 기억해야 한다. '다시 이런 일이 벌어질까봐 두렵다'고 하시는 할머니에게 손을 꼭 잡아드리며, 그런 일은 다신 없을거라고 안심시켜 드릴 수 있어야 한다.



 "
레드 툼 (Red Tomb),"  ﻿어제(2014년 2월 25일) 밤, 창원의 교통방송 공개홀에서 다큐영화 <레드툼>을 보았다. 감독의 직역으로는 빨갱이 무덤이란다. 감독 구자환은 이 영화를 만들기 위해 2004년부터 지난해까지 10여년간 동행자이자 질문자인 조현기 '한국전쟁 전후 민간인 피학살자 전국 유족회' 집행위원장와 함께 경남의 여러 지역을 다니면서 한국전쟁기에 피살된 민간인 학살 현장을 카메라에 담았다.  
  그가 조사한 지역은 경남지역으로써 밀양, 창녕, ﻿마산, 창원, 진주, 거제, 통영 등이었으며, 동일한 지역이라도 학살 현장이 여러곳인 경우도 있었으므로 아마 10여군데쯤 되지 않나 싶다.
  영화는 현장과 관련자의 인터뷰로 진행된다. 인터뷰이는 피학살자의 가족으로, 주로 아내, 아들과 딸, 형제자매, 부모, 현장의 동네 주민 등이다. 그런 까닭에 육성은 진솔하며, 현장은 생생하게 살아난다. 영화가 끝난 뒤, 나는 그에게 인터뷰어의 선정과 그 방법에 대해 질문한 것은 이 인터뷰가 그만큼 진솔하고 생생한데다, 종종 울분을 토하듯이 이루어졌기 때문이다. 다만, 자막에 그 사람들의 이름이 들어가지 않아, 관객의 궁금증을 풀어주지 못한데다, 기록물로서의 영화라는 점을 고려한다면, 지금이라도 자막처리를 했으면 하는  아쉬움이 있었다.
  한국 사회는 그가 말했듯이 아직도 한국전쟁이 남긴 유산으로 인해 전쟁 중이다. 유족 중 일부가 적개심을 가지고 '개승만'이라 언급하고 있지만, 한편에서는 그를 추앙하지 못해 안달이다. 허나 보도연맹 사건을 명확하게 하지 않는한, 이승만은 그들에게 여전히 '개승만'으로 불릴 것이다.
  이 간격은 학살의 주범들을 밝히지 않는 한, 쉽게 좁혀질 것 같지 않다. 감독의 말처럼, 억울하게 죽은 이는 수십만인데, 죽인이는 어디에도 없으니 말이다. 이 역시 국가의 범죄이므로 유족과 국민에게 공개사과하고, 특히나 갖은 핍박을 받았던 유족에게는 그 이상의 위로를 해야 할 것이다.
  화면 중에 민간인 학살 현장인 여양리가 담겨 있어서 가슴이 아려왔다. 피학살자의 유해가 산더미처럼 출토된데다, 그 발굴을 지휘했던 이상길 교수가 이세상에 없기 때문이다. 경남대에 보관중이던 여양리 유골은 진주시 명석으로 이전하였지만, 그 역시 임시조치에 불과하다. 이들이 안장되고, 붉은 표시목이 박혀있던 <레드툼> 현장의 원혼들도 편히 잠들도록 해야, 사회적 갈등이 어느 정도나마 치유될 것이다. 그 방법은 쉽다. 범죄의 주체들이 먼저 진행하면 된다.
     "
레드 툼 (Red Tomb),"잊혀진 역사를 기록하다 <레드 툼>인디토크(GV)

일시: 2015년 7월 15일(수) 오후 8시 10분
참석: 구자환 감독
진행: 이현희 인디스페이스 프로그래머



*관객기자단 [인디즈] 이도경 님의 글입니다.

 국민보도연맹사건. 교과서에서 접해보지 못했던 사건에 대해, 아무도 가르쳐주지 않았던 일에 대해 <레드 툼>이라는 영화가 해설 없이 묵직하게 기록했다. 그 기록의 현장의 힘듦에 대해 지난 15일에 들어볼 수 있었다.


   

구자환 감독(이하 구): 7월은 전국적으로 학살이 많았던 달입니다. 그분들을 위해서 7월에 개봉을 염두에 두고 있었어요. 멀리서 오신 분들도 있는 것 같은데, 영화 지켜봐 주셔서 감사합니다. 

이현희 프로그래머(이하 이): 사실 이 자리에 오신 분들은 보도연맹 사건에 대해 어느 정도 알고 오셨을 것 같아요. 워낙 소규모로 개봉을 해서 영화 정보를 접하기가 쉽진 않았을 텐데, 사실 개봉도 어렵지만 제작부터 쉽진 않았을 것 같습니다. 제작 과정에 대한 간략한 설명 부탁 드립니다.

구: 이 영화 제작을 마음먹은 건 2004년이에요. 그 당시 국민보도연맹사건에 대해서 제가 잘 몰랐어요. 그때 제 나이가 삼십 대 중후반 정도였고요. 대학원까지 다녔고, 그렇게 오래 공부했음에도 불구하고 이런 사실을 몰랐다는 게 많이 부끄러웠어요. 그 당시에 나왔던 처참한 유품들, 사연들, 더구나 부역을 했다는 마을 주민들이 마을 밖에서는 자신들의 이야기를 입 밖에 내지 못했다는 말을 들었을 때, 이것을 알리겠다는 마음으로 준비하게 되었습니다.

이: 국민보도연맹사건을 취재하기 위해서 주민 분들도 만나고 피해자 유족 분들도 만났겠지만 쉽지는 않았을 것 같아요. ‘빨갱이’라는 올가미가 덧씌워진 상태에서 그 말을 꺼내는 것조차 여전히 힘들어하시는 분들인데 어떻게 만나고 이야기를 나누셨는지 들어보고 싶네요.

구: 2004년 당시에는 영화에 나왔던 몇 분들 외에는 말을 하지 않으려고 했어요. 드러나지도 않았고 자신이 유족인 걸 밝히지도 않았었고. 그분들을 찾아가는 과정에서 다행히 유골이 발굴돼서 언론 보도가 나가니까 몇 분들이 와주시더라고요. 또 잠정적인 매장지로 추정되는 마을에 가서 가장 나이든 분을 찾아내는 것이 힘들었어요. 그리고 제작비를 준비해 진행한 게 아니고 그냥 뛰어든 거였고 경남 지역 쪽에 지원 신청을 했었지만 여러 번 철회되었어요. 창원시 같은 경우, 영화 제작 지원 시스템을 만들고 나서 제가 선 신청을 했을 때 문화 쪽에 있는 분이 이런 소재를 지원해주기는 곤란하지 않겠냐는 이야기를 했고요. 지역에 있는 시민단체 등에 요청도 했었는데, 그 분들의 말씀은 ‘종북으로 몰릴 수 있다’는 거였어요. 결국 돈 안 들어왔죠. 영화라는 것이 돈이 필요한 작업이고 돈이 들어감에 따라 영화의 실질적 내용이 달라질 수 있거든요. 제가 <레드 툼>을 봤을 때 영화 미적으로는 막막한 부분들이 많아요. 있는 그대로, 제가 현장에서 느꼈던 감정과 인물, 참혹한 현실을 적나라하게 보여줌을 통해 관객들로 하여금 보도연맹사건에 대한 무언가를 깨달을 수 있지 않을까라는 측면에서 접근했어요. 그렇게 잘 만든 영화는 아니고요. 보시는 분들께 죄송스럽다는 말씀 드리겠습니다.

이: 그럼에도 보도연맹 자체를 설명하고 끄집어냈다는 것에 큰 의미가 있다는 생각이 들어요. 




관객: 굉장히 오래 제작하신 것 같은데, 의미 있고 용기 있게 만드신 부분에 대해서 굉장히 존경스럽고 박수를 쳐드리고 싶습니다. 감사히 잘 봤습니다. 우리나라 좌우익의 아픔인데 왜 굳이 ‘레드 툼’이라는 영어 제목일까라는 생각이 들었어요, 한국 관객을 먼저 생각한다면, 이 아픈 사람들을 생각 한다면 여기에 적절한 우리말로 하시는 게 좋지 않았을까 합니다.

구: 원래 제목은 지금 부제로 사용하는 ‘빨갱이 무덤’이었어요. 제가 영화를 만든 목표는 단 하나였습니다, ‘보도연맹 사건을 알리겠다’. 시사회 이후에 내부에서 걱정을 굉장히 많이 했어요. ‘빨갱이 무덤이라는 타이틀을 갖고 이 영화를 걸 수 있겠느냐’. 개봉을 못한다는 이야기였죠. 계속 고집을 피우다가 그렇다면 조금 순화시켜보자, 한국뿐 아니라 외국까지 내보내자 해서 조금 머리를 굴려 만든 게 ‘레드 툼’이에요. ‘툼’은 일반적인 무덤보다 더 큰 왕족이나 귀족의 무덤을 말합니다. 저는 돌아가신 분들이 왕족이나 귀족만큼이나 소중한 분이라고 생각해서 툼이라 설정했어요. 제가 빨갱이 무덤이라고 애초에 제목을 지었던 이유도 있습니다. <레드 툼>(빨갱이 무덤)을 지금 이 시대에 소위 보수라고 말씀하시는 분들, 이승만을 두둔하는 사람들, 과거의 학살자를 애국자라고 말하는 사람들에게 보여주고 싶었습니다. 이유는 하나였습니다. 당신들이 말하는 빨갱이라고 하는 사람들이 어떤 사람인지 눈여겨봐라, 당신들은 정말 역사에 대해 알고 있는 것이냐, 그것에 대한 질문을 담고 있었고요. 또 역설적으로 빨갱이 무덤이라고 표현했지만 이 영화의 기본적 골격은 빨갱이로 몰려서 죽은 인간의 무덤이거든요. 그래서 ‘빨갱이 무덤’이라고 이름을 지었던 겁니다.

이: 안타깝게도 감독님께서 정말 보여주고 싶은 분들이 이 영화를 언젠가 볼지 의문이 듭니다. 

관객: 유족들과 관계자 외에 더 많은, 모르는 사람들에게 보여줘야 한다고 생각했을 때는, 죄송하지만 좀 더 관객의 입장에서 조그만 친절함을 가지셨다면 좋았을 것 같습니다. 중간에 해설을 좀 넣어주셨다면 관객들이 따라가기에 좋았을 것 같은데 어떻게 생각하시는지요..

구: 제작 기획서를 쓸 때부터 내레이션을 넣지 않으려고 생각했어요. 이런 역사물 같은 경우는 내레이션을 넣지 않고 가면 정말 위험하죠. 설명해야 하는 부분들이 빠지게 되고 그로 인해서 전체적으로 뚝뚝 끊길 수 있어요. 내레이션을 넣으면 조금 유연하게, 관심과 흥미를 일으킬 수 있다는 것을 알고 있지만 애초에 그렇게 기획을 잡은 이유가 역사 기록물 하나를 남겨놓겠다는 생각이어서 에요. ‘영화를 전문적으로 공부하진 않았지만 팩트 하나만큼은 기록으로 남겨놓자’, 자칫 잘못해 감정에 치우친 채로 내레이션을 넣으면 영화 자체를 망칠 수가 있거든요. 어차피 영화 하나로 모든 걸 관객에게 설명할 수는 없어요. 그렇기 때문에 많은 걸 설명하지 않고 내가 눈에 본 것을 그대로 전달하자는 측면에서 만들었습니다. 

이: 아마 만듦새를 떠나서 이 영화를 많은 분들이 봐주셨으면 하는 바람인 것 같아요. 

관객: 한국전쟁의 경우, 미국과 소련의 대립이다, 좌우 사상의 대립이라고 생각하는데, 저는 몇 가지의 폭력이 여과 없이 드러난 사건이라고 생각해요, 국가를 소재로 삼아서 한 쪽에서는 <연평해전>이라는 영화가 나오고 다른 편으로 <레드 툼>이 나왔습니다. 같은 시기에 상이한 영화가 나오는 것을 보면서 감독 입장에서 어떻게 생각하시는지 궁금합니다.

구: 아직 <연평해전>을 보지 못했고 영화 평을 읽어보았습니다. 저는 보수든 진보든 좌든 우든 특정 사실에 대해서 영화나 예술적으로 표현할 수 있다고 봐요. 그 부분은 분명히 존중해야 하는 부분인데 단지 왜곡하는 영화는 예술로서 실패한 것이라고 생각해요. 제가 보지를 못해서 말씀을 정확히는 말씀을 못 드리겠지만 연평해전이 왜 일어나게 되었는지 그 배경, 동기가 영화에서 전해졌다면 그 영화는 나쁘지 않을 거라고 생각합니다. 근데 그렇게 그려졌다는 이야기는 못 들었거든요. 모든 사건은 충돌이 있어서 일어나는 것인데 그 원인과 배경의 동기를 설명하지 않았다면 상업적으로 흐르지 않았을까 생각합니다. <레드 툼>의 경우는 전국 12개관에서 개봉했습니다. 이 영화로 흥행을 기대하진 않았어요. <연평해전>은 학생들까지 동원해서 대관, 단체관람을 하고 있다던데 홍보와 마케팅 입장에서 그럴 수 있다고 생각합니다. 관객의 수만 보면 <연평해전>은 성공했고 (<레드 툼>은 그런 측면에서) 실패하고 있죠. 하지만 저는 실패했다고 생각하지 않아요. 보도연맹사건이 영화화됐다는 게 알려지면 분명히 모종의 반응들이 나올 거라고 생각했고, 나오고 있습니다.

이: 어떤 변화들이 있나요?

구: 계속 인터넷에 오르고 지역 방송, 신문들에도 나왔어요. 중앙일보는 상업지로 생각하고 있었는데 시사회 때부터 보도를 하더라고요. 이 사건을 아시는 분들은 얼마나 참혹했던 일인지 알고 계신 거고, 이승만 정권 당시에 지금까지 이어지고 있는 계보들에게 얼마나 치명적인 아킬레스건인지 알고 있는 거예요. 그런 차원에서 접근했을 때 실패했다고 보지 않습니다. 



이: <레드 툼>으로 국민보도연맹사건을 알리는 작업을 하고 유족 분들과 피해자 분들과의 약속을 지키셨는데, 그 이후 작업을 더 하고 계신지 궁금해요. 후속이 나올 수 있는 건지요.

구: 유족 분들 중에 가장 안타까운 분들은 1세대에요. 피해자의 배우자인 할머니들은 연세가 많으셔서 정정한 분들을 찾기가 힘들 것 같아요. 1세대의 자녀분들은 한국 사회에서 빨갱이 집안에서 태어났다는 이유 하나로 연좌제 때문에 아무것도 못했습니다. 1세대의 자식들이 그 사건으로 인해 얼만큼 피해를 받고 있는지 그 삶을 조명해달라는 요청이 있었는데 제가 자신이 없거든요. (웃음) 그래서 고민만 하고 있습니다.

관객: 주로 경남 지역을 다루셨는데 어떤 이유에서 그 쪽을 다루신 건지요?

구: 경남 지역에서 피해자가 가장 많았어요. 그런 이유도 있지만 간단히 말씀 드리면 전국으로 다닐 만큼 제가 돈이 없었어요. 보도연맹사건이 전국적으로 일어났지만 배경은 크게 다르지 않아요. 경남 지역만 설명을 해도 전체 국민보도연맹사건을 알리기엔 충분하다고 생각했어요.

이: 영화 제작하고 나서 3년이라는 시간이 흘렀는데 그 이후 변한 상황이 있는지 궁금합니다.

구: 피해자 분들이 국가를 상대로 1차로 손해배상을 받았어요. 그것은 국가가 스스로 잘못을 인정했다는 거죠. 하지만 배상으로 끝날 문제가 아니에요. 그분들이 아직도 빨갱이라는 게 문제입니다. 노무현 정부 당시에 진상위원회가 만들어져서 국가가 조사하긴 했지만 하다만 거죠. 다 하지 못했어요. 형식적인 보상만이 있을 뿐 제대로 진상규명이 되지 않았어요. 

이: 역사가 그대로 기록해주지 않으니 다큐멘터리 감독의 역할이 어느 때보다 소중한 것 같아요. 마지막 인사로 마치도록 하겠습니다.

구: 아직도 영화는 개봉 중이니 입 소문 내달라는 부탁을 드리고 싶습니다. 감사합니다.


 누군가 기록해주지 않은 일을 개인적으로 기억하는 일에서 그치지 않고 다수의 기억에 남기기 위해 영화로 남겼다는 것. 그것만으로도 <레드 툼>은 지워진 역사의 한 줄을 채우는, 중요한 기록으로 남을 것이다.


  
 "
레드 툼 (Red Tomb),"역사도 증명하고 있고, 다 알수있는 내용이고 그렇게 기술하고 있는 내용입니다. 요즘 정보의 공유가 워낙 활발하고 좋아져서 누구나 조금만 알고자 하면 다 알수 있는 사실들입니다. 그런데 어찌 이 국민을 이토록 우롱한다 말입니까. 그래서 그렇게 차갑게 가신분은 시민의 깨어있는 의식만이 유일한 힘이라고 강조하셨나 봅니다. 그분이 강조하여 시민의식이 중요하단게 아니라, 이것도 세계사가 그렇게 증명하고 있습니다. 참 좋은 영화이고, 감독님께도 감사를 드리고 싶습니다. 이것이 어떻게 작은 일이겠습니까? 보십시오, 이 한편의 영화가 얼마나 많은 사람의 잠든 의식을 깨우고 있습니까, 여기가 시작이고 과정이며 우리가 가고자 하는 목적입니다"
