title,reviews
노블 (Noble),"노블
감독
스티븐 브래들리
출연
드어드리 오케인
개봉
2014 영국, 베트남
평점
리뷰보기




 영웅의 실화
이 영화는 아일랜드 출신 NGO 의 영웅, 크리스티나 노블의 이야기입니다
크리스티나 노블은 아일랜드 더블린의 빈민가에서 태어나 
평생을 불우하게 살았으나,
베트남에 대하여 꿈을 꾼 이후, 혈혈단신으로 베트남으로 가서
그 곳에서 아이들을 만난 뒤,
자신의 꿈을 깨닫습니다.
공무원들을 설득해 취업비자를 얻어 고아원에서 일하기 시작했습니다. 
불가능한 싸움을 싸우며, 
베트남에서 아동 성매매를 하는 영국 사람을 고발하고,
사업에만 혈안이 되어있는 석유회사 임워들을 설득한 후,
자금으로 고아원을 증축하는 것으로 사업을 시작하였습니다.
추후 재단을 만들어서 (크리스티나 노블 어린이 재단)
70만명의 어린이들에게 보호, 교육, 보호를 제공하였고,
몽골과 베트남에서 약 100개의 프로젝트를 수행하며 고아원을 세웠습니다. 







 
 



이름
그녀의 성인 노블은 '고귀한, 존귀한, 귀족의'의 뜻입니다.
이 이름이 그녀의 운명의  많은 것을 함축하고 있다고 생각합니다. 








노블하지 못했던 삶


그녀의 삶은 그야말로 '천박하고, 더럽고, 버려진' 삶이었습니다.
그녀는 알코올중독자이자 생활 능력이 없는 아버지 아래에서 자랐습니다.
어머니는 가난한 생활 가운데 병으로 죽었습니다.
동생들과 남겨진 크리스티나 노블은 강제로 고아원으로 보내집니다.
동생들과 뿔뿔이 흩어집니다.






버려진 그녀의 꿈

그녀는 뛰어난 노래실력으로 언제나 가수가 되기를 원했습니다.
그녀가 노래를 부르면 어릴 적부터 모두가 주목했으니까요
그러나 그런 그녀의 꿈을 절망적인 환경으로 인하여 산산조각이 났습니다 
신은 한번도 그녀의 소원을 들어주지 않았습니다 .

고아원에서 도망치듯이 나온 그녀는
돈을 벌기 위해서 공장에 취업을 합니다.
번 돈으로 엄마의 비석을 세워주기 위해서입니다.
돈을 벌자, 만나게 된 아버지는 또 돈을 떼어먹고 도망갑니다.


그녀는 겨우 얻은 일자리에서 일을 하며 돈을 모아서
나름대로 아름다운 꿈을 꾸며 살아갑니다.
그러나 집이 없던 그녀는 공동묘지같은 곳에서 노숙자와 같이 살고있습니다.
그러다가 성폭행을 당합니다.


그리고 고아원에 다시 실려온 후,
아기를 낳습니다. 
아버지가 누구인지 모르는 아기를,
그리고 그 아기는 동의없이 
보통의 가정에게 입양됩니다.
그녀는 절규합니다.



다시 뛰쳐나온 고아원,
그녀는 새로운 일자리에서 일하고,
남자와 사랑에 빠집니다.
결혼합니다 

그러나 그 남자도 얼마가지 않아서,
그녀를 행복하게 해주지 않고, 폭행을 합니다.

그녀는 절망합니다.
그 절망 중에, 베트남의 꿈을 꿉니다 . 









노블하게 사는 삶, Noble Mind


베트남으로 날라간 그녀는 
운명을 기다리고,

우연히 고아들을 만나고,
우연히 고아원에 들어가면서 일자리를 구합니다.

자신의 운명을 만난듯,
강인한 그녀는 어린이들을 위해서 싸웠고,
어린이의 인권이 무시다하는 현장에서 과감하게 싸웁니다.

베트남 어린이들의 성매매를 일삼는 사업가와 싸워서 경찰에 신고하고, 
석유회사의 임원진을 설득해서 기적적으로 renovation 비용을 얻어냅니다. 














Fight for the right thing, Noble Mind 

진정으로 노블한 삶인란
화려한 가정환경이나 가구, 
화려한 악세사리나 지위가 아닙니다.

Noble한 것은 환경이나 재산이 아니라,
그러한 마음을 말합니다. 

그녀가 산 삶의 환경은 바닥이었고, 
진흙탕이었지만, 
그녀는 이름처럼 노블한 삶을 살았습니다. 

그녀가 수많은 어린이들을 살리면서,
사람들에게 받는 존경,
그리고 결국 여왕의 훈장을 받기까지

그녀가 삶에서 추구하는 가치와 옳음과
싸움의 치열함이
고귀한 삶을 만들었습니다.






Tenacity, 끈질김
그녀는 끈질기게 싸웁니다.
불우한 환경에서 배워온,
그리고 계속해서 침해받고 피해당했던, 그녀는
버림받고, 상처받았던 그녀,
원망하고, 그렇지만 어쩔 수 없었던 그녀는
그 가운데에서 강인한 생활력과 용기가 체화되어서
그 힘으로 베트남에서 살아갑니다.
협박과 위협,
무시와 천대에 굴하지 않고 싸웠습니다.
옳은 가치를 위하여 싸운다고 
좋은 결과들이 쉽게 얻어지는 것은 아닙니다.
그녀처럼 끈임없지 인내를 가지고 포기하지 않고 
질척대면서 싸워야겠죠



계속되는 고난, 이해할 수 없는 어려움
절망 속에서도 포기하지 않고,
신을 원망하면서도, 끝까지
신와 대화하였던 그녀

I walk, You lead 

그녀의 우연히 꾼 잊혀지지 않는 꿈이 
베트남 행으로 이끌었습니다.

사람의 무의식이라는 것이 삶의 많은 부분에서 판단의 중요한 근거가 되듯이
(사람은 이성적으로 계산한 수 판단하는 것이 아니라,
이성을 담당하는 뇌가 움직이기 전에 판단을 내림)
꿈 역시도 판단의 중요한 근거가 됩니다. 




 

 "
노블 (Noble),"디어드리 오케인 (크리스티나 노블) , 사라 그린 (젊은 크리스티나) , 브랜든 코일 (게리 쇼) , 리암 커닝햄 (토마스) 
스티븐 브래들리 감독
노블 , 2015





불우했던 가정환경

노블은 주인공 '크리스티나 노블'의 이름입니다. Noble 이란 고귀한 , 순결한 이라는 뜻을 가지고 있지만 실제 극중 노블의 삶은 정반대였습니다. 
술만 마시면 집안의 모든 것들을 집어 던지는 아버지와 병약하지만 자식들을 아끼던 어머니 밑에서 불우한 환경 속에 자란 크리스티나는 힘든 상황을 노래와 함께 이겨냅니다.
괴한들에게 납치당해 강간당하고 원치 않는 임신을 하게 되고 , 편히 잘 수 있는 집조차 얻을 수 없어 노숙을 하며 지내더라도 희망을 잃지 않던 크리스티나 였습니다.



운명처럼 다가온 베트남 행

노블은 자신도 왜 베트남에 오게됐는지 모르겠지만 어렸을 때 베트남에 가야 겠다고 생각했다고 합니다. 자신의 불우한 과거를 뒤로하고 베트남으로 향한 노블은 길거리에 있는 부랑아들을 보게 됩니다. 쓰레기통을 뒤져 먹을 것을 찾고 , 제대로 씻지도 못한 아이들을 보며 자신의 과거가 떠올랐는지 노블은 그 아이들을 위해 발로 뛰기 시작합니다.

그러던 중 , 호치민 시에 있는 국립 고아원에 이르게 되고 , 그곳에 도착한 것이 마치 자신의 운명이었던 것 처럼 받아들이고 아이들을 위한 기금을 모으게 됩니다.




포기 하지 않는 삶 , 그리고 찾아온 희망

노블은 베트남 정부로부터 3개월의 워크퍼밋을 받고 호치민 시를 포함한 베트남 지역에 있는 기업들에게 투자를 요구하지만 , 워크퍼밋 기간이 만료되는 날까지 기업들로부터 확답을 얻지 못하고 베트남을 떠나려 하는데 그 마지막 순간에 투자를 받아냅니다. 그것을 발판으로 노블은 크리스티나 노블 어린이 재단을 설립하고 지금도 베트남의 어린이들을 위해 뛰고 있다고 합니다.



---

크리스티나 노블은 실제 인물이라고 합니다. 영화 또한 실화를 바탕으로 했구요. 요즘 실화를 바탕으로 한 영화를 보면 '그랬구나' 하고 끝나는 경우가 많은데 노블 또한 그랬던 것 같습니다.

어린시절 노블의 불우한 환경이 지금의 성공을 더 빛나게 해주는 것 같습니다. 자신이 처했던 상황과 지금 바라보는 베트남 부랑아들의 상황이 겹쳐지면서 그녀의 헌신이 더 빛날 수 있었던 것 같습니다. 

★★☆☆☆"
노블 (Noble),"노블
감독
스티븐 브래들리
출연
드어드리 오케인
개봉
2014 영국, 베트남
평점
리뷰보기

영화 <노블>은 아일랜드 출신 아동 인권 운동가 크리스티나 노블의 이야기다.  영화 포스터에는 전세계의 가장 존경받는 여성 20인 선정, 아일랜드 올해의 인물, 인도주의에 대한 알버트 슈바이처상, 세계에 영향을 준 인물 36인 후보 등 그녀를 수식하는 화려한 말들이 줄 지어 서있다. 

크리스티나 노블이 쓴 '내 슬픔을 건넌 다리'를 바탕으로 만들어 진 영화는 두개의 시간이 교차 되며 보여진다. 1955년  아일랜드 더블린 그리고 전쟁이 종료된 지 14년이 지난 1989년의 베트남. 두 곳에는 모두 크리스티나 노블이 있다. 어린 소녀 노블은 노래를 제법 잘해 늘 아일랜드 펍에서 어른들에게 둘러쌓여 노래를 부르곤 한다. 40대 중반의 크리스티나 노블은 베트남 호치민 공항에 도착했다. 그녀가 베트남에 온 이유는 무엇일까? 


어린 소녀 노블의 삶의 불행은 그녀가 10살때 엄마가 세상을 떠나면서 시작된다. 아이들을 돌볼 수 없는 무능한 아버지와 어린 동생들. 결국 가족은 뿔뿔이 흩어지고 노블은 수녀들이 운영하는 시설에 맡겨진다. 노블은 마음 속에 노래와 삶에 대한 꿈을 꾸지만 수녀들은 어린 노블의 꿈 따위는 중요하지 않다. 성인이 되어 감옥같은 수녀원으로부터 나오게 된 노블은 잠시 동안의 자유를 누리지만, 집도 없이 낮에는 공장에서 일하고, 밤에는 집시처럼 떠돌아 다녀야 하는 그녀에게 삶이 늘 그렇듯이 또 다른 불행이 덮친다. 강간을 당하고 아이를 낳지만, 수녀원은 노블 몰래 아이를 입양시켜 버리고, 그녀는  또 한번의 상처를 안고 새로운 삶을 시작한다.  

시련의 끝에 과연 희망이라는 건 존재하는 것인지?  그녀의 행복도 잠시, 폭력적인 남편을 피해 아이들을 데리고 런던으로 떠난다. 그녀는 시련이 찾아오면 늘 하나님과 대화를 한다. 수녀에게 폭력을 당한 어린 노블은 당차게  '저들이 정말 당신을 위해 일하는 사람들이라면, 나는 당신과 친구를 할 수 없을 것 같아요' 라고 당차게 이야기 했던 그 시간부터 그녀는 늘 신에게 질문하고 또 질문한다.


그녀가 베트남을 찾은 건, 처음엔 그녀 자신도 알 수 없는 어떤 일처럼 보인다.  언제부터인가 그녀는 전혀 관심에도 없던 베트남 전쟁 소식에 관심을 가지게 되고, 어느날 꿈에서 베트남의 아이들을 보게 된 후 그녀는 알 수 없는 어떤 끌림으로 호치민에 무작정 오게 된다. 전쟁이 종료된 지 14년이 지났지만, 베트남은 가난했고, 거리는 집없는 아이들로 넘쳐나고 있었다. 

거리의 두 소녀를 호텔로 데려와 돌보고, 거리의 아이들에게 먹을것을 사주고, 어느새 그녀는 아이들과 호치민의 거리를 활보하며 본인이 왜 그곳에 오게 되었는지 점점 명확히 깨닫게 된다. 역시나 세상에서 가장 긍정적이라는 아일랜드인 답게 그녀는 확신에 찬 모습과 어린 시절의 노래 실력까지 더해 3개월의 취업 비자를 얻고 본격적으로 베트남의 거리의 아이들을 위한 구호 활동을 하게 된다. 


아무 할일도 없던 아이들은 그녀를 따라 바쁘게 움직이고, 조금씩 희망을 쌓아 올린다. 그녀의 어린시절의 모든 시련에 보상이라도 해주듯이, 어쩌면 신은 그녀가 이일을 할 수 있도록 그 많은 시련을 주었는지도, 불가능했던 일들에 기적이 일어나게 된다. 크리스티나 노블의 지칠 줄 모르는 노력은 결국 아일랜드 석유 회사의 지원을 이끌어내어 아이들을 위한 재단을 만들게 된다. 그가 시작한 일은 희망이 없던 거리의 가난한 아이들에게 새로운 삶을 선물하는 일이었다. 수백만 아이들에게 건강과 희망과 따뜻함을 찾아준 그녀의 노력은 지금은 그녀의 세 자녀에게 이어져, 크리스티나 노블 재단의 일을 돌보고 있다고 한다. 


그녀의 삶은 이미 그런 사명을 위해 어린 시절 무수한 시련과 함께 준비되어졌는지도 모르겠다.  아니 어쩌면 우리 모두에게  이와 같은 사명이 주어져있는지도 모른다. 다만, 작은 시련에도 견디지 못하고 나가 떨어지는 일이 다반사이기에 그 다음 시련 조차 받지 못하는게 아닐까? 

깨닫는다는 것이 얼마나 어려운 일인가? 그래서 신은 인간이 깨달음을 얻을 때까지 기다리기 보다는 시련과 고통을 주며 계속 어디론가 밀쳐 내는 것은 아닐까? 크리스티나 노블의 실천은 깨달음에서 시작되지 않는다. 그녀는 알 수 없는 끌림으로 무작정 호치민을 찾았고, 자신이 해야할 일을 그 곳에서 동물적으로 깨닫게 된다. 그리고 신에게 달려가 질문한다. ""뭔가를 해야 할 것 같은데, 거리의 아이들이 너무 많다. 무엇을 해야 할지 모르겠다. 나는 어쨋든 길을 가겠다. 당신이 그 길을 안내해라"" 그녀의 실천은 깨달음을 만들고, 그 깨달음은 결국 떠 큰 실천을 만들어 내게 된다. 

 
 "
노블 (Noble),"노블
감독
스티븐 브래들리
출연
드어드리 오케인, 사라 그린
개봉
2014 영국, 베트남
평점
리뷰보기





-MOVIE INFO-
 전세계에서 가장 존경받는 여성 20인 선정, 리더스 다이제스트 영웅상, 알버트 슈바이처 상 수상
수백만 어린이들의 희망으로 우뚝 선 '크리스티나 노블'의 실화를 담은 영화 <노블>이
그녀가 건너온 특별한 인생의 여정을 생생하게 보여주며 올가을 관객들에게 뜨거운 감동을 선사할 예정입니다.
    ============================================
♦ 제목 : 노블 (Noble)
♦ 장르 : 감동 실화
♦ 수입 : ㈜에이블엔터테인먼트
♦ 배급 : ㈜ 프레인글로벌
♦ 감독 : 스티븐 브래들리
♦ 주연 : 드어드리 오케인, 루스 네가, 리암 커닝햄
♦ 러 닝 타 임 : 100분
♦ 국 내 개 봉 : 2015년 9월 예정
=============================================
       

영화_ 노블_스틸컷 이미지



  영화_ 노블_예고편 동영상"
노블 (Noble),"노블
감독
스티븐 브래들리
출연
드어드리 오케인, 사라 그린
개봉
2014 영국, 베트남
평점
리뷰보기
   -MOVIE INFO-
 전세계에서 가장 존경받는 여성 20인 선정, 리더스 다이제스트 영웅상, 알버트 슈바이처 상 수상
수백만 어린이들의 희망으로 우뚝 선 '크리스티나 노블'의 실화를 담은 영화 <노블>이
그녀가 건너온 특별한 인생의 여정을 생생하게 보여주며 올가을 관객들에게 뜨거운 감동을 선사할 예정입니다.
  ============================================
♦ 제 목 : 노블 (Noble)
♦ 장 르 : 감동 실화
♦ 수 입 : ㈜에이블엔터테인먼트
♦ 배 급 : ㈜ 프레인글로벌
♦ 감 독 : 스티븐 브래들리
♦ 주 연 : 드어드리 오케인, 루스 네가, 리암 커닝햄
♦ 러 닝 타 임 : 100분
♦ 국 내 개 봉 : 2015년 9월 예정
=============================================
    

영화_ 노블_스틸컷 이미지
 
 

  영화_ 노블_예고편 동영상

 


      신청하기
 "
노블 (Noble),"  크리스티나 노블의 일대기를 다룬 실화영화 노블을 보앗네요
세상에서 가장 존경받는 20인의 여성중 1명이라는 크리스티나 노블의 이야기인데
영화 초반은 그녀가 격엇던 어려운 시절을 보여주는데 정말 파란만장하네요
특히 저 아역배우분 정말 노래 잘하네요
영화 중반부부터는 주인공이 봉사를 시잣하는 이유를 보여주는데
보는내내 가슴을 조리며 보게 되네요
영화 보고 나오면서 느낌은 왜 이런분이 노밸 평화상을 못탓는지 이해가 안되니여
하지만 정말 존경할만한 분이라는것을 새삼깨닫게 뵙니다
영화 정말 감동적이네요"
노블 (Noble),"노블
감독
스티븐 브래들리
출연
드어드리 오케인
개봉
2014 영국, 베트남
평점
리뷰보기
깊어가는 가을밤....
넘 일찍 일어나 버린 새벽에 영화를 보았다. 전에 다운 받아 놓고 조금 생각이 많아질 듯해서 미루어 두었다가
아!!    이런 날 홀로 깨어 있는 새벽에 보면 좋겠구나 싶어 보기시작한 영화......
보고나서
다 보고나서는
따뜻하고 시리고 아프지만 아름다워서 영화를 보고나서 맞이하는 밝아오는 아침이 잊지 못할 감동으로 다가온 영화입니다.

노래가 좋은 순수한 소녀, 그녀에게 끊임없이 계속되는 불행이 가슴아파오는 앞부분.... 이 맑은 소녀의 맑은 노래가 가득 울리는 감동은 참 좋았습니다.
원망하면서고 그래도 씩씩하게 자신의 시간을 채워가는 소녀!!!



사랑하는 어머니를 여위는 순간부터 시작된 불행은 결국 모두에게 버림받지만 그래도 세상을 향해 여전히 당당하게 나아갑니다.
아버지에게 버림 받고, 남편에게도 버림 받고 ......
주어진 삶이 이렇게 혹독한데도
결국 일어날 수 있는 힘이 아마도 크리스티나 노블의 아름다운 마음이겠지요..... 노래를 사랑하는 노래하는 시간속의 용기가 아프면서도 감동적이었습니다.




베트남...
그녀에게 베트남은 소명을 받은 곳이었습니다. 그곳에서 꼭 해야할 일이 있는.....
개인적으로 오래전 다녀온 베트남의 모습이 어버랩되면서 참 반성이 많이 되고 왜 나는 그전 한 순간 머물다 온 여행자로만 베트남을 기억하고 있을까.....
반성이 되는 순간이었습니다.
어렵게 받아낸 3개월짜리 취업비자로
거리의 부랑아들을 진정한 사랑으로 엄마가 되어주는 그녀.....
세상을 힘있는 누군가가 일구어 오늘까지 온 것이 아니라
그녀처럼 온 인생으로 다른 이들을 이해하고 감동하고 사랑할 수 있는 사람들이 있어서 이렇게 살아지는 것이구나 싶었습니다.
아름다운 그녀
아름다운 그녀의 삶
아름다운 그녀의 사랑
정말 아름다움의 진수를 본 것 같았습니다.




실제 주인공 크리스티나 노블의 모습이 가운데 붉은 옷을 입고 있는 분입니다. 나라, 인종, 남 녀 그런 구별 여기서는 없어요
사랑 앞에서는
이해와 감동 앞에서는.....


가끔은 어떻게 살아야하나 방향을 잃은 듯 해서 불안할 때가 있습니다. 그럴때 한번 보세요.
살아가는 마음을 배울 수 있답니다.
가끔은 영화가 말하는 진정한 사랑이 무언지 궁금해 질 때가 있습니다. 그럴때 또 보세요
인간이 참으로 위대하구나 알게 된 답니다.
영화에 감사하는 맘이 생기는 그런 영화입니다."
노블 (Noble),"노블
감독
스티븐 브래들리
출연
드어드리 오케인
개봉
2015.10.01. 영국, 베트남
평점
리뷰보기

베트남 전쟁이 끝난지 10여년이 조금 넘은 1989년 베트남 사이공(호치민시)은 
현재의 필리핀 처럼 구걸하는 아이들로 넘쳐났다. 


전쟁고아도 많을 것이고, 가난 때문에 쓰레기통을 뒤지고 병에걸려 죽어갔을 것이다. 
나는 2017~19년에 10여차례 사이공을 방문했다. 많은 발전에도 불구하고 아직까지 가난하고 낡음이 많이 남아있긴 하지만, 구걸하는 아이들은 볼 수 없었다. 


'부도이' 란 길거리의 먼지, 부랑아들을 일컫는 말이다. 


89년에 베트남에 처음 도착한 크리스티나 노블은 그런 부도이들을 보고 그냥 지나칠 수가 없다. 

자신도 어릴적에 부도이였고, 고아원을 전전하며 집도 절도 없이 살아왔기 때문이다. 


강간을 당해 17살에 얻은 아이는 동의도 없이 수녀들이 입양을 보내 버렸고, 결혼으로 얻은 아이들이 있지만 폭력적인 남편 때문에 삶이 힘들다. 

그때 즈음 베트남 전쟁이 터졌고, 노블은 가보지도 못한 베트남에 대한 꿈을 꾼다.

 언젠가 그곳에 가는 것이 내가 할 일이다. 그것이 신의 뜻이라며. 

 
크리스티나는 나이가 들어서야 관광비자로 처음 베트남에 입국한다. 

자신의 삶에 여유가 없었기 때문일 것이다.
 우여곡절 끝에 기금을 마련하여 아이들을 돕게 되고, 총 70만명이 넘는 아이들을 도왔다고 한다.

 현재는 그의 자녀들이 고귀한 뜻을 이어받은 것 같다. 



어린시절 겪은 고통은 평생을 따라 다니며 괴롭힌다.

 필자 또한 어린시절의 트라우마를 완전히 극복하지 못한것 같다. 

고통을 받은 많은 이들이 극복하지 못하거나, 어찌어찌 극복하고 살아간다. 

자녀에게 대물림 시켜주는 경우도 있다. 


하지만 크리스티나 노블은 극복하는 것에 그치지 않고, 자신의 아픔을 크나큰 사랑으로 바꾼 위대함을 보여주었다. 



옛날에는 전쟁영웅이나 독립운동가를 칭송했다면 현대는 기업을 세우거나 명예를 날려 성공을 한 사람을 칭송한다. 

그것보다 위대한 것은 칭송받기 위해, 돈을 벌기 위해 하는 것이 아닌 댓가를 바라지 않는 사랑을 베푸는 것이라고 본다. 

보통의 인간을 넘어서는 탈 인간이기 때문이다. 

그런사람은 거의 없다. 말로만 들었지 평생 한 번 만나기 힘들 것이다. 

 나는 운 좋게도 어린시절 그런분을 직접 만났다. 
90년대 판자촌 사람들을 위해 함께 하셨던 독일에서 온 선교사 루츠 드레셔 / 한국명 도여수. 

 
 말로만 사랑을 외치고 뒤에선 자신과 자신의 집단을 위해 재물을 축적하는 인간들이 대부분이다. (물론 재물을 축적하는게 죄는 아니지만, 신과 종교의 이름을 빌려서 하는 것은 죄다.)

하지만 이분은 아무 댓가를 원하지 않는 사랑, 예수의 뜻을 진정으로 실천하신 분이다. 내가 직접 겪었고 그 사랑을 받았기에 알 수 있다. 


크리스티나 노블의 이야기를 보니 그분이 저절로 떠오른다.


그분을 뵙고 감사를 드리고 싶지만 그러지 않을 것이다. 

받은 사랑을 댓가없이 다시 베푸는 것만이 그분께 진정 감사를 표하는 방법이기 때문에."
노블 (Noble),"영화는 크리스티나 노블이 베트남에 가서 겪는 삶과 과거의 힘들었던 삶이 번갈아가며 나오면서 자칫하면
지루할 수 도 있는 스토리에 몰입하게 해줍니다.
  아일랜드의 어둡고 가난한 가정. 고만고만한 형제자매들이 모인 크리스티나 노블의 집은 주정뱅이 아버지와 가난으로 인해 힘겨운 삶이지만 나름 행복했는데 결국 크리스티나는 고아원에서 자라게 되고 고아원에서 나와서도 홀로 평탄치않은 삶을 살게됩니다.
여기서 놀라웠던것은
우리같으면 폐인이 될 수 도 있는 엄청난 불행들을 겪고도 크리스티나는 씩씩하게 일어서서
다시 자기 삶을 살아간다는 것입니다.
그리고는 어느정도 나이가 들어 다시 혼자가 되었을때 눈여겨봤던 먼 이국인 베트남으로 와서
진심어린 애정으로 자기같이 불우했던 아이들을 돕는 삶을 사는데
정말 대단하다 싶었습니다.  이렇게 타의 추종을 불허하는 현장 사회복지사 크리스티나 노블을  이제서야 이 영화를 통해 알게되었네요.
관심이 생겨서 찾아보니
크리스티나는 이를 계기로 총 100건의 프로젝트를 통해 70만명의 아동을 구호하는 실적을 거둬들였고
아일랜드 시민이던 그녀는 영국 여왕과 베트남 대통령으로부터 각각 훈장을 받기도 했군요. 
1989년 거리를 방황하던 홈리스 베트남 아이들에게 등불같은 존재가 되어준 크리스티나 노블의 스토리가
이제 영화를 통해 보는 사람의 마음에도 힐링과 감동을 전해주네요."
노블 (Noble),"노블
감독
스티븐 브래들리
출연
드어드리 오케인
개봉
2014 영국, 베트남
평점
리뷰보기
 어린 나이에 어머니를 잃고 아버지의 방치와 학대에 고아원에서 자라야만 했던 한 여자 아이
성폭행을 당해 임신까지 하게 되고 그 아이를 키우고자 결심까지 했지만 자신의 의사와는 상관없이 수녀원의 일방적인 강제입양으로 아이를 잃게 된 한 여성
한 남자와 사랑에 빠져 그 사이에 세 명의 아이까지 두게 되었지만, 남자의 외도와 폭력으로 온전하고 건강한 가정에 대한 꿈을 박탈당한 한 여성
위의 세 이야기 중에 하나만 겪게 되더라도 어떤 누구든 순탄치 않은 인생으로 마음에 병이 들고도 남을 것이다. 그런데 저 세 이야기는 안타깝게도 모두 한 사람이 겪은 이야기이다. 바로 크리스티나 노블이라는 아일랜드 출신의 여성의 이야기인 것이다.
이 영화는 크리스티나 노블이란 여성이 겪을 수 밖에 없던 아픔들을 그리고 결국엔 그 아픔들을 사랑으로 승화시키는 이야기를 보여주고 있다. 실화를 바탕으로 구성된 이야기이기에 더욱 큰 감동을 자아내기도 한다. 이 영화를 보고 후기를 쓰려고 하니 여러 가지 생각들이 머리를 스쳐 간다. 심리학자 아들러의 '열등감이론', 헨리 나우웬의 '상처입은 치유자', 방어기제 중에 하나인 '승화' 등
 만약 크리스티나가 어릴 때 방치와 학대를 경험하지 않았다면 베트남 어린이들이 처한 현실을 보고 그들의 삶과 아픔을 이해하고 공감해줄 수 있었을까.
그리고 비록 성폭행으로 낳게 된 아이였지만, 자신이 낳은 아이를 타인의 일방적인 결정으로 잃게 된 경험을 하지 않았다면 어려움에 처한 어린이들의 엄마가 되어줄 수 있었을까.
난 두 가지 질문에 모두 아니라고 대답하고 싶다. 자신이 직접 그 상처를 겪어봤기에 똑같은 상처를 겪고 있는 사람의 상황과 감정을 누구보다 마음깊이 공감하고 이해할 힘이 생기는 것이다. 그리고 크리스티나가 더욱 베트남의 어린이들에게 가슴절절한 사랑을 쏟을 수 있었던 건 자신의 아이를 강제로 입양보내게 되면서 겪어야만 했던 모성애의 상실의 경험이 크게 작용했을 것이라 생각한다. 잃어버린 모성애로 생긴 아픔이 베트남어린이들에 대한 사랑의 원동력이 된 것이다. 여기에서 위에서 쓴 내 머릿 속을 스쳐간 생각들을 적용할 지점이 생긴다.
아들러가 주장한 열등감은 아니지만, 상실의 아픔이 그 사람을 성장시키고 수많은 타인에게 선한 영향력을 끼칠 수 있게 된 원동력이 되었다는 것.
어린 시절에 겪었던 방치와 학대를 딛고 일어서 지금 같은 고통을 겪고 있는 어린이들에게 나아가 사랑을 손길을 내밀어준 크리스티나의 행동은 바로 상처입은 치유자의 모습이라고 할 수 있다.
순탄하지 않았던 인생을 걸어가면서 생겼을 마음의 병 즉 분노와 증오, 열등감, 좌절 등의 부정적 감정들을 이타심과 사랑으로 승화시킨 그녀의 모습.
우린 크리스티나의 삶을 보면서 중요하고 소중한 깨달음들을 얻을 수 있다. 이 영화가 가진 가치이기도 하다.
내가 크리스티나의 삶을 보면서 느낀 건 자기 자신만을 위해 사는 삶보다 타인의 행복을 위해 서는 삶이 훨씬 아름답고 가치있는 삶이란 것이다. 그것은 결코 나 자신을 버리라는 이야기가 아니다. 타인을 위해 살아가는 것이 내 삶의 사명이 될 때 그 속에서 나의 참된 행복과 가치를 찾을 수 있다는 말이다.
나도 크리스티나처럼 뿌리 깊고 가지와 잎이 무성한 나무가 되어 많은 이들에게 쉼과 행복을 나눠줄 수 있는 사람이 되고 싶다. 이런 나의 바람으로 길어진 글을 이제야 마친다. 
 "
