artist,title,Korean_clean_lyric
  TWICE (트와이스)  ,LIKEY,설레다 자꾸 드러내다 싶다 자꾸만 사소하다 하나 전부 작다 화면 제일 예쁘다 보이 고프다 아직 감추다 이렇다 마음 부린다 정말 귀찮다 절대 대충 하다 수가 없다 매일 가슴 뛰다 이건 몰다 돼다 그렇다 크림 파파 립스틱 맘마 카메라 담다 보다 예쁘다 보다 웃다 누르다 앙증맞다 근데 좋다 표현 하다 부족하다 근데 좋다 잠도 자도 지각 하다 돼다 좋다 설레다 참다 지퍼 올리다 다시 한번 허리 라차 입다 세상 예쁘다 너무나도 많다 많다 크림 파파 립스틱 맘마 카메라 담다 보다 예쁘다 보다 웃다 누르다 앙증맞다 근데 좋다 표현 하다 부족하다 근데 좋다 잠도 자도 지각 하다 돼다 좋다 그저 바라보다 있다 아무 하다 없다 다가오다 알아주다 이상 감추다 싶다 않다 오늘 따르다 기분 척해 보다 슬프냬 아무 반응 없다 삐지다 눈치 없이 친구 나오다 부르다 잠깐 잠깐 연락 이제야 는걸 하루 종일 기분 오다 가다 울다 다시 신나다 춤추다 설레다
  B1A4  ,크리스마스잖아요,뜨다 그대 크리스마스 잖다 보다 이렇게 내려오다 덮이다 세상 보다 괜히 뛰다 심장 주체 하다 없다 기분 잠깐 나가다 맞다 싶다 오늘 보기 싫다 케빈 홀로 있다 싫다 잠깐 하다 멈추다 즐기다 어떻다 시간 기다리다 주다 않다 크리스마스 모두 친구 크리스마스 모두 하다 하다 되다 모르다 오다 두렵다 급하다 애인 만들다 아니다 티비 보다 방바닥 대신 머플러 준비 돼다 불다 주다 썰매 타고 사이 달다 쌓이다 귓가 종소리 울리다 혼자 외로워 돼다 가다 명동 거리 저기 들리다 마음 소리 모든 아름답다 빛나다 지다 오늘 보기 싫다 케빈 홀로 있다 싫다 잠깐 하다 멈추다 즐기다 어떻다 시간 기다리다 주다 않다 크리스마스 모두 친구 크리스마스 모두 하다 뜨다 그대 크리스마스 잖다 보다 이렇게 내려오다 덮이다 세상 보다 외로워 좋다 금방 오다 크리스마스 모두 친구 크리스마스 모두 하다
  예성 (YESUNG)  ,Pink Magic,팝콘 구름 사이 떠다니다 핑크 꽃잎 사이 조용하다 다가오다 내다 번진 안경 써다 세상 로만 보이다 만나다 달라지다 가다 모든 매일 물들다 가다 마치 하다 나본 없다 거리 차오르다 빨갛다 시동 걸다 달리 싶다 흑백 하루 눈부시다 만나다 달라지다 가다 모든 매일 물들다 가다 마치 만난 기적 모든 세상 같다 모든 세상 만나다 달라지다 가다 모든 매일 물들다 가다 마치
  FTISLAND (FT아일랜드)  ,Let it go!,
  BIGBANG  ,나만 바라봐 (Remix),하루 보다 웃다 하다 거짓 되다 세상 불안하다 믿다 하나 가끔 변하다 불안하다 하다 웃다 하다 그렇다 없다 없다 방황 가슴속 기대다 하나 귀찮다 자신 미우다 오늘 세상 휩쓸다 지우다 바람 펴다 절대 피지 잊다 나르다 잊다 가끔 연락 없다 마시다 혹시 다른 어떻다 여자 잠시 맞추다 바라보다 오늘밤 기다리다 눈물 내다 하다 변하다 같다 처음 같다 없이 달래다 많다 없다 너무 힘들다 같다 때론 인하다 막히다 끝없다 다툼 기다 한숨 기대다 하나 귀찮다 자신 미우다 오늘 웃다 나다 몰래 자신 잃다 바람 펴다 절대 피지 잊다 나르다 잊다 가끔 연락 없다 마시다 혹시 다른 어떻다 여자 잠시 맞추다 바라보다 기적 너무 자다 매일 무의미하다 시간 이렇게 더럽히다 언제나 순수하다 남다 진심 믿음 죽다 떠나다 바람 펴다 절대 피지 잊다 나르다 잊다 가끔 연락 없다 마시다 혹시 다른 어떻다 여자 잠시 맞추다 바라보다
  GOT7 (갓세븐)  ,아파,들다 없다 있다 달다 아직 기억 하다 상처 가슴 찾다 건지다 이제 나르다 떠나다 하든 생각나다 없이 보내다 하다 하루 슬프다 기르다 혼자 아프다 이렇게 온종일 그리다 깊이 파고 들어오다 행동 말투 하나 모든 바보 같다 가슴 자꾸 이르다 건지다 이리 아프다 도저히 자다 모르다 이해 하다 표정 아프다 너무 아프다 없이 보내다 시간 너무 아프다 어떻다 이렇게 되어다 너무 아프다 하다 모든 보이다 없이 행복하다 보다 한쪽 가슴 사람과 불행하다 이제 나르다 떠나다 하든 생각나다 없이 보내다 하다 하루 슬프다 기르다 혼자 아프다 이렇게 온종일 그리다 깊이 파고 들어오다 행동 말투 하나 모든 바보 같다 가슴 자꾸 이르다 건지다 이리 아프다 도저히 자다 모르다 이해 하다 표정 아프다 너무 아프다 없이 보내다 시간 너무 아프다 어떻다 이렇게 되어다 너무 아프다 이제 나르다 떠나다 하든 생각나다 없이 걷다 너무 초라하다 보이다 혼자 아프다 이렇게 온종일 사랑 하다 하루하루 지나다 가슴 아프다 근데 아무렇다 않다 함께 즐기다 순간 웃다 싸우다 이렇다 추억 생각 나다 이제 돌아가다 없다 갈수록 빠지다 보이다 냉정 열정 사이 정답 끄다 가슴 머리 앞서다 왤다 깊이 파고 들어오다 행동 말투 하나 모든 바보 같다 가슴 자꾸 이르다 건지다 이리 아프다 도저히 자다 모르다 이해 하다 표정 아프다 너무 아프다 없이 보내다 시간 너무 아프다 어떻다 이렇게 되어다 너무 아프다 이건 하다 노랗다 듣다
  김희철  ,옛날 사람 (Old Movie),어제 같다 만나다 언젠가 부터 아무 없이 웃음 반복 하다 편안함 지겹다 사소하다 일로 트집 잡고 그만하다 쉬다 하다 사랑 하다 아무 감정 없이 들리다 싸우다 웃다 지게 되다 생각 하다 옛날 사람 예전 영화 흔하다 멋지다 붙잡다 떠나다 돼다 좋다 사람 만나다 해도 평생 생각 하다 잊다 하다 슬프다 하다 사랑 하다 아무 감정 없이 들리다 싸우다 웃다 지게 되다 생각 하다 옛날 사람 예전 영화 흔하다 멋지다 붙잡다 떠나다 돼다 좋다 사람 만나다 해도 평생 생각 하다 잊다 하다 슬프다 하다 만약 붙잡다 다시 만나다 해도 영원하다 있다 옛날 사람 예전 영화 흔하다 멋지다 붙잡다 떠나다 돼다 좋다 사람 만나다 해도 평생 생각 하다 잊다 하다 슬프다 하다 잊다 하다 슬프다 하다
  신화  ,Memory,소리 없이 멈추다 버리다 기억 고요하다 마음 희미하다 조각 스치다 사람 흔적 흔적 모두 지난 공간 모습 공허하다 지치다 버리다 마음 목소리 들다 아련하다 추억 잠들다 나르다 깨우다 어디 데려가다 목소리 들다 얼룩지다 기억 잠시 머물다 마음 하나 떨어지다 나뭇잎 허다 어제 기억 마치 멜로디 너무 익숙하다 다시 불다 추억 보이다 다시 비추다 이유 없이 지치다 오랜 시간 흐려지다 버리다 우리 약속 가슴 새기다 조각 멀어지다 가다 우리 지난 공간 모습 공허하다 지치다 버리다 마음 목소리 들다 아련하다 추억 잠들다 나르다 깨우다 어디 데려가다 목소리 들다 얼룩지다 기억 잠시 머물다 마음 기억 하다 추억 하다 멈추다 듯이 끼다 위협 하다 위로 하다 걸다 아니다 동정 하다 걸다 멀다 보다 기도 벅차다 그냥 하나 숫자 늘다 갈다 나인 그냥 중요하다 보다 이렇다 한숨 섞이다 푸념 이제 그냥 후렴 목소리 들다 미소 보이다 잠들다 나르다 깨우다 나르다 깨우다 데려가다 목소리 들다 서로 잡고 잠시 떠나다 보다 마음 부르다 목소리 들다 어제 느끼다 지구본 맴돌다 추억 동네 떠나다
  FTISLAND (FT아일랜드)  ,행복합니다,자다 가다 마지막 인사 사랑 보내다 아직 부족하다 사랑 그대 잡지 하다 오랫동안 대다 만나다 하다 그대 동안 내다 주다 사랑 기억 하다 때론 아프다 기억 눈물 나다 그대 하다 순간 생애 가장 크다 선물 랍니 부르다 불다 보이지 않다 사랑 언젠가 다시 안기다 이름 들다 눈물 사랑 어디 내다 오다 행복 해주다 행복하다 그대 사랑 이별 모두 소중하다 추억 있다 무엇 바꾸다 없다 빈자리 항상 지키다 그대 사랑 하다 가끔 그립다 사랑 눈물 나다 다시 돌아오다 대다 위해 웃음 짓다 살아가다 나다 버리다 버리다 지우다 없다 사랑 끝없다 그리움 지치다 기억 하다 평생 살다 하나 사랑 눈감다 그날 오다 해도 사랑 하다 부르다 불다 보이지 않다 사랑 언젠가 다시 안기다 이름 들다 눈물 사랑 어디 내다 오다 행복 해주다
  몬스타엑스  ,Deja Vu,회색 거리 모이다 하나 모여들다 보이다 기억 너머 다른 차원 세계 감고 깊이 잠들다 감정 현실 모르다 반전 눈부시다 하다 서서히 걸어오다 왠지 모르다 떨리다 가까이 오늘 오다 집중 시선 모으다 감당 해보다 시작 이미 어디 보다 광경 있다 결말 머릿속 스치다 찰나 섬광 잊혀지다 않다 같다 이미 정해진 운명 나르다 이끌다 하다 순간 나르다 관통 데자뷰 회색 거리 모이다 하나 모여들다 보이다 기억 너머 다른 차원 세계 뜨겁다 타오르다 돼다 죽이다 기다리다 오다 기다 터널 너머 따라서 달려오다 기시감 미시 보다 같다 어디 아니다 맞다 모르다 심장 똑같이 뛰다 익숙하다 익숙하다 않다 머릿속 혼동 초점 흔들리다 떨다 있다 동공 없다 수많다 낯설다 않다 보다 모든 순간 깨어나다 마주 하다 순간 나르다 관통 데자뷰 회색 거리 모이다 하나 모여들다 보이다 기억 너머 다른 차원 세계 뜨겁다 타오르다 돼다 죽이다 기다리다 오다 기다 터널 너머 따라서 달려오다 현실 돼다 내다 오다 알다 밟힌 찾아가다 깨우다 기억 하다 어지럽다 도시 버리다 달다 있다 있다 하다 뛰다 끝없이 간다 기적처럼 꿈속 기억 현재 돼다 돌아오다 우린 결국 누군가 우리 막다 대도 애쓰다 멈추다 되다 익숙하다 운명 나타나다 서다 있다
  Apink (에이핑크)  ,I Like That Kiss,느낌 애매하다 제스처 그만 자꾸 걸리다 입술 금일 끄다 바보 같다 커지다 갈수록 꿈꾸다 어떡하다 다가오다 벌써 속이다 몰래 빠지다 원하다 원하다 모르다 모르다 원하다 원하다 돼다 상상 해도 맘속 손끝 닿다 온기 수줍다 지다 미소 어색하다 순간 금일 끄다 사랑 맞다 다가 갈수록 떨리다 어떡하다 느끼다 보다 벌써 속이다 몰래 빠지다 모르다 눈치 없다 마음 급하다 가요 자꾸 속이다 점점 빠지다 원하다 원하다 모르다 모르다 원하다 원하다 돼다 상상 해도 맘속
  동방신기 (TVXQ!)  ,Spokes Man - 유노개인기 (Feat. Super Junior - 동해),들다 보다 보다 항상 반대쪽 나오다 하다 어지럽다 상속 혼돈 주먹 꽉쥐 거치다 세상 흔들다 지르다 가보다 하나 치기 박치기 스타일 한번 빠지다 보다 보다 이리저리 흔들다 대다 힘껏 느끼다 즐기다 보다 준비 돼다 오다 스테이지 서다 울분 터지다 목소리 잠시 빌리다 보다 나이 이제 아직 여리고 어리다 하다 하다 없다 애송이 애송이 가지 있다 세상 멜로디 타고 리듬 달다 보여주다 주목 해보다 보다 가지 있다 통해 시간 다시 거슬러 되돌리다 싶다 여전하다 꼭두각시 세상 묻히다 살다 자신 서다 되새기다 보다 그렇게 생각 계속 싶다 상속 주인공 되다 해보다 그래도 바꾸다 원하다 인정받다 싶다 사람 들다 보다 이렇게 언제 낙오 남다 감다 생각 해보다 그러면 세상 존재 걸다 남겨지다 시간 앓다 있다 하루하루 지나 갈수록 하루 다르다 변하다 생각 많아지다 가식 커다랗다 커지다 세상 가식 허울 있다 어지럽다 복잡하다 마치 롤러코스터 그냥 집중 나르다 따라오다 백지장 꺼멓 들어가다 모두 하나같이 똑같이 떠들다 대다 바꾸다 바꾸다 너희 썩다 빠지다 생각 음악 듣다 너희 생각 한번 바꾸다 보다 가식 모습 쌓이다 먹히다 먹이사슬 놀이 가꾸다 너희 생각 없다 뇌리 습관 출발 해주다 노래 로만 아시 자신 서다 되새기다 보다 그렇게 생각 계속 싶다 상속 주인공 되다 해보다 그래도 바꾸다 원하다 인정받다 싶다 사람 들다 보다 이렇게 언제 낙오 남다 감다 생각 해보다 그러면 세상 존재 걸다
  SHINee (샤이니)  ,누난 너무 예뻐 (Replay),너무 예쁘다 남자 두다 흔들리다 그녀 사실 있다 그녀 사랑 한순간 느낌 뭐라다 해도 아마 그녀 어리다 부담스럽다 가보다 바라보다 눈빛 해주다 다가 오다 가슴 해주다 누가 너무 예쁘다 그녀 보다 미치다 지치다 추억 할퀴다 아프다 고치다 다가오다 이별 부러 시선집중 그녀 함께 있다 제발 놓다 다짐 어느 순간 거짓 아마 그녀 착하다 재미없다 보다 대하 몸짓 있다 다가 오다 가슴 소리치다 이별 너무 예쁘다 그녀 보다 미치다 지치다 추억 할퀴다 아프다 고치다 다가오다 이별 아름답다 그녀 아직 누구 진실 되다 사랑 본적 없다 분명하다 아쉽다 그녀 아직 어리다 진실 되다 사랑 마음 받다 없다 너무 예쁘다 그녀 보다 미치다 지치다 추억 할퀴다 아프다 고치다 다가오다 이별 너무 예쁘다 그녀 보다 미치다 지치다 추억 할퀴다 아프다 고치다 다가오다 이별 너무 예쁘다 예쁘다 진실되다 사랑 보다 너무 예쁘다 예쁘다 진실되다 사랑 마음
