artist,title,Korean_clean_lyric
  SWEETCH  ,"Love Letter (Feat. 희승, 수빈)",이렇다 사랑 노래 너무나 많다 자꾸 부르다 어느새다 빠지다 버리다 뒷모습 너무 예쁘다 사실 나다 모르다 걸다 안내 웃다 바랬던 역시 욕심 이다 보다 떨리다 하다 없다 솔직하다 편지 담다 싶다 온통 생각 심장 멈추다 수가 없다 솔직하다 너무나 불다 노래 표현 하다 없다 처음 애매하다 기분 뜨다 있다 보다 마냥 그냥 계속 걸다 안내 나타나다 바랬던 역시 욕심 이다 보다 떨리다 하다 없다 솔직하다 편지 담다 싶다 온통 생각 심장 멈추다 수가 없다 깊다 잠들다 없다 어둠 짙다 홀로 켜다 하얀색 종이 서툴다 글씨 수줍다 보다 미소 지다 사실 너무 좋아하다 하다 벌써 들키다 같다 떨리다 가슴 멈추다 수가 없다 솔직하다 너무 좋아하다 온통 생각 심장 멈추다 수가 없다 놓치다 수가 없다 멈추다 수가 없다
  Boz Scaggs  ,I’ve Just Got To Forget You,
  Buddy Guy  ,Nine Below Zero,
  NV  ,굿나잇,하루 종일 내리다 그대 생각 하다 일도 있다 그대 하다 있다 그렇게 그녀 전화 그녀 피곤하다 내다 자다 하다 그렇다 늦다 그만 자다 나다 그대 따르다 갈다 자다 자다 내일 아침 전화하다 그렇다 자다 꿈꾸다 그렇다 늦다 그만 나다 그대 따르다 갈다 언제나 그대 있다 자다 늦다 오늘 생각 빠지다 새다 그대 있다 원하다 귀뚜라미 하나 울다 대기 시작 하다 소리 같이 가다 가다 밤새 추다 보다 언제나 있다 일밤 마음 놓다 꿈나라 그렇다 늦다 그만 자다 나다 그대 따르다 갈다 자다 자다 내일 아침 전화하다 그렇다 자다 꿈꾸다 그렇다 늦다 그만 나다 그대 따르다 갈다 언제나 그대 있다 자다 그렇다 자다 늦다 아무리 사랑 하다 해도 부족하다 해도 그대 꿈나라 계속 여전하다 나르다 기다리다 있다 그대 사랑 그대 지키다 그대 나르다 지키다 언제나 있다 자꾸만 그대 생각나다 오다 감다 대다 떠나다 모르다 이렇게 사랑받다 대다 알다 대다 좋아하다 대다 사랑 하다 늦다 그만 자다 그대 따르다 갈다 자다 있다 자다 그렇다 자다 늦다
  강촌사람들  ,사랑합니다.,바람 얼굴 스치다 몹시 그리다 구나 푸르다 단풍 물들다 잎새 사랑 고이 간직 하다 아하 옛날 너무도 그립다 낙엽 지면 따르다 가다 모르다 사랑 하다 마음 어찌 어찌 사랑 낙엽 따르다 가버리다
  소리새  ,여인,바람 하다 버리다 꽃처럼 가로등 있다 여인 내다 빗물 어떻다 막다 어제 거리 홀로 그림자 바라보다 여인 젖다 창문 닫다 대다 한번 창가 기대 서다 모습 내다 보이다 않다 잊다 어제 거리 홀로 그림자 바라보다 여인 젖다 창문 닫다 대다 한번 창가 기대 서다 모습 내다 보이다 않다 잊다 잊다
  Hunter Hayes  ,I`ll Be Home for Christmas,
  예민  ,"기억속에, 그애가 있었네",그앨 기억 하다 수줍다 미소 우유 기다 가지다 노랗다 꽃잎 화사하다 새봄 내다 안기다 기억 하다 햇살 조금씩 희미하다 추억 가끔 꺼내다 묻다 많다 얘기 거울 대답 하다 세월 지난 모습 어리다 미소
  이주아  ,별과 달,지치다 하루 이렇게 끝나다 홀로 서다 멈추다 서다 올려다보다 하나 있다 하나 있다 예쁘다 하나 있다 하나 있다 슬프다 언제 가다 점점 지치다 가다 잃다 기분 멈추다 서다 올려다보다 하나 있다 하나 있다 예쁘다 하나 있다 하나 있다 슬프다
  Suehee  ,Here With Me,
  소리새  ,가을나그네,낙엽 지다 꽃잎 지다 그립다 지네 사랑 낙엽 흩어지다 꽃잎 흩어지다 사랑 흩어지다 가야 하나 사랑 바람 불어오다 가을 지치다 어디 가야 하나 은하 내리다 깊다 가을 다해 가면 추억 웁니 낙엽 흩어지다 찬비 내려오다 가을 앓다 어디 가야 하나 은하 내리다 깊다 가을 다해 가면 추억 웁니
  Taylor Swift  ,Better Than Revenge,
  Mora Mora  ,Sweet Beer,
  임지훈  ,친구,소리 없다 밤비 내리다 휘저으 스치다 친구 영상 먹다 살다 하다 친구 음성 슬프다 않다 친구 아름답다 추억 친구 있다 슬프다 않다 친구 떠나다 당신 꾸다 있다 사랑 하다 웃다 싶다 친구 음성 슬프다 않다 친구 헤어지다 아름답다 추억 친구 있다 슬프다 않다 친구 떠나다 당신 사랑 있다 당신 웃다 있다
  김광석  ,서른 즈음에,서른 즈음 하루 멀어지다 간다 내뿜 담배 연기 기만 기억 무얼 채우다 있다 점점 멀어지다 간다 머물다 있다 청춘 알다 비다 가슴 아무 찾다 없다 계절 다시 돌다 오지 떠나가다 사랑 어디 떠나다 보내다 아니다 떠나다 아니다 조금씩 잊혀지다 간다 머물다 있다 사랑 알다 하루 멀어지다 간다 매일 이별 하다 있다 매일 이별 하다 있다 점점 멀어지다 간다 머물다 있다 청춘 알다 비다 가슴 아무 찾다 없다 계절 다시 돌다 오지 떠나가다 사랑 어디 떠나다 보내다 아니다 떠나다 아니다 조금씩 잊혀지다 간다 머물다 있다 사랑 알다 하루 멀어지다 간다 매일 이별 하다 있다 매일 이별 하다 있다
  Meaghan Smith  ,I Know,
  Bob Dylan  ,"Don`t Think Twice, It`s All Right",
  하이 미스터 메모리  ,아주 오래 전에 아니 그리 멀지 않은 어제,있다 당신 자동차 매연 거리 맑은 시냇물 개구 지게 웃다 물장구 있다 아주 오래 아주 오래 기억 하나요 당신 높다 솟다 빌딩 아래 그대 외롭다 눈물 떨구다 자리 미루나무 하다 그루 날아오다 지치다 개다 있다 있다 당신 세상 사랑 그렇다 그렇다 라며 믿다 없다 하다 그대 근대 마음 주체 하다 첫사랑 앓다 빨갛다 우체통 밤새 펴다 넣다 함박 웃음 지다 아주 오래 아니다 그리다 멀다 않다 어제 아주 오래 아니다 그리다 멀다 않다 상처 입다 마음 거리 새싹 틔우다 하루하루 지치다 잃어버리다 우릴 다시 찾다 아주 오래전 잃어버리다 아주 오래전 떠나다 버리다 아주 오래전 지우다 버리다 아주 오래전 아주 오래전 아주 오래전 아주 오래전 아주 오래전
  도마  ,고래가 보았다고 합니다,내리다 봄날 우산 아래 빗방울 머금었 우리 봄비 맞다 두렵다 하다 봄비 맞다 두렵다 하다 고래 보다 하다 고래 보다 하다 갇히다 눈물 바위 부르다 노래 바다 울리다 찢다 부르다 소리 밤하늘 뜨다 하나 하나 골목 사이 바람 불어오다 어둠 외롭다 자리 지키다 있다 우리 아무 없다 골목길 두렵다 아무 없다 골목길 두렵다 고래 보다 하다 고래 보다 하다 갇히다 눈물 바위 부르다 노래 바다 울리다 찢다 부르다 소리 고래 보다 하다 고래 보다 하다 빗방울 피하 동안 어둠 두렵다 동안
  Jackson Browne  ,Sergio Leone,
  Mokyo  ,I’m an independent man,
  강촌사람들  ,슬픈여인,원하다 않다 그저 있다 달라 하다 무엇 그렇게 그대 마음 아프다 하다 없다 원하다 너뿐이 그대 사랑 마음 표현 하다 하다 잘못 한번 모습 잊다 없다 그대 사랑 마음 표현 하다 하다 잘못 한번 모습 잊다 없다 그대 아끼다 마음 세상 누구 더하다 어차피 잊다 하다 먼저 떠나다
  MissinCat  ,Back On My Feet,
  H-Hoya  ,3월 7일 (너였잖아) (Acoustic Ver.),차다 행복하다 우리 처음 만나다 꾸다 순간 행복하다 너무 그립다 힘드다 순간 웃다 있다 그때 그립다 이다 가슴 꿈꾸다 하다 사람 그토록 간절하다 하다 사람 그건 이다 차다 모르다 시간 많이 힘겹다 하다 모르다 정말 미안하다 지치다 잡다 하다 미안하다 이다 가슴 하다 사람 그토록 눈물나다 하다 사람 그건 이다 나다 행복하다 바랬던 하다 사람 지키다 싶다 사람 그건 나다 다시 돌아오다 없다 돌이키다 없다 그렇게 떠나다 추억 하다 기억 하다 잊다 않다 이다 가슴 하다 사람 그토록 눈물나다 하다 사람 그건 이다 넓다 들판 자유롭다 기르다 그렇게 바라다 원하다 이제 편하다 기르다 이다
  김세환  ,첫사랑,어느 우연히 길가 만나다 까맣다 예쁘다 소녀 상냥하다 예쁘다 미소 짓다 얼굴 까맣다 예쁘다 소녀 사랑 이다 작다 가슴 스며들다 기분 소녀 하다 타오르다 태양 뜨겁다 가슴 달래다 없다 까맣다 예쁘다 소녀 사랑 이다 작다 가슴 스며들다 기분 소녀 하다 타오르다 태양 뜨겁다 가슴 달래다 없다 까맣다 예쁘다 소녀 소녀 소녀
  수경  ,부서진 바람,고요한 들판 위로 달려가다 잊혀지다 스치다 간다 바람 잡히다 않다 바람 없다 불어 소리 들리다 울다 비추다 무너지다 간다 하루하루 간다 때론 그립다 다시 하다 쓰라리다 가슴 묻히다 간다 잊혀지다 아픔 지치다 간다 바람 잡히다 않다 바람 없다 불어 소리 들리다 울다 비추다 무너지다 간다 하루하루 간다 때론 그립다 다시 하다 분다 안개 그대 헤메 있다 불어오다 다시 오다 그대 불어 소리 들리다 울다 비추다 무너지다 간다 하루하루 간다 때론 그립다 다시 하다 분다
  Buddy Guy  ,Black Night,
  김광석  ,맑고 향기롭게,오늘 느끼다 작다 설레임 어둔 변하다 없다 숨결 널리 내게로 들려오다 같다 진정 향기 날개 있다 없이 하다 더욱 같이 하다 조금씩 물들다 더욱 닮다 은은하다 마음결 따르다 피다 맑다 향기 로움 멀리 있다 않다 없이 하다 더욱 같이 하다 조금씩 물들다 더욱 닮다 은은하다 마음결 따르다 피다 맑다 향기 로움 멀리 있다 않다 맑다 향기 로움 멀리 있다 않다
  Joan Armatrading  ,The Weakness In Me,
  플라워디어 (Flour Deer)  ,두달 뒤 부르는 노래,담다 감고 우리 추억 떠올리다 항상 행복하다 우리 기억 살아가다 있다 묻다 두다 감고 함께 하다 없다 걸음 항상 함께 하다 이제 놓다 주다 행복하다 이제 정말 그만 하다 안부 묻다 않다 주지 하다 미안하다 하다 필요 없다 예쁘다 추억 충분하다
  Cat Stevens  ,Oh Very Young,
  예민  ,세발 자전거와 바둑이,들다 보다 얘기 자전거 바둑이 구백 칠십 초겨울 어느 우리 골목길 흙투성이 잃다 붙이다 이름 꾸다 언제 가다 빨갛다 자전거 차다 좋다 하다 골목길 따르다 학교 우리 만나다 신호등 건너 약국 지나 교문 돌담 따라서 어리다 시절 소중하다 만남 해주다 꾸다 이름 불다 보다 어리다 추억 때문 간주 꼬마 아줌마 개나리 담장 너머 피다 아침 햇살 같다 꾸다 모습 골목 전봇대 흙투성이 잃다 부르다 이름 꾸다 좁다 골목길 외롭다 자전거 골목길 따르다 학교 책가방 메다 꾸다 함께 걷다 골목길 걸다 생각 하다 어리다 시절 소중하다 만남 꾸다 이름 불다 보다 어리다 추억 때문 어리다 시절 소중하다 만남 꾸다 이름 불다 보다 어리다 추억 때문
  소리새  ,아직도 못다한사랑,푸른 파도 가르다 희다 단배 처럼 그대 낙엽 떨어지다 정답 걸다 그대 흰눈 내리다 겨울 좋아하다 그대 때론 슬픔 잠기다 한없이 울다 그대 우린 마음 달래다 고개 숙이다 그대 우린 헤어지다 서로 그립다 그대 때론 슬픔 잠기다 한없이 울다 그대 우린 마음 달래다 고개 숙이다 그대 우린 헤어지다 서로 그립다 그대
  Joni Mitchell  ,Harry`s House-Centerpiece ,
  예민  ,연리지,이다 가다 이다 가다 있다 시간 키우다 조금씩 자라다 모습 보이다 대다 하다 가지 하루하루 꾸다 있다 언젠가 그대 되다 바람 맡기다 갈다 있다 나르다 받다 눈물 그대 있다 사랑 하다 돼다 연리지 되어다 안기다 따라가다 하루하루 꾸다 있다 언젠가 그대 되다 바람 맡기다 갈다 있다 나르다 받다 눈물 그대 있다 사랑 하다 돼다 연리지 되어다 안기다 따라가다 연리지 되어다 안기다 따라가다
  Kenny Wayne Shepherd  ,You Should Know Better,
  Adhitia Sofyan  ,Rainbows And Starlight,
  Jonathan Rhys Meyers  ,This Time,
  유로  ,가난한 약속,눈물 해도 꾸다 해도 그렇다 사랑 사랑 사랑 이다 깨어지다 가슴 그렇다 자다 가라 선선히 인사 해도 이별 이별 즐겁다 행복하다 우리 서로 그렇다 하다 않다 슬프다 가슴 아프다 우리 서로 그렇다 하다 않다 눈물 해도 꾸다 해도 그렇다 사랑 사랑 사랑 이다 즐겁다 행복하다 우리 서로 그렇다 하다 않다 슬프다 가슴 아프다 우리 서로 그렇다 하다 않다 눈물 해도 꾸다 해도 그렇다 사랑 사랑 사랑 이다 선선히 인사 해도 이별 이별
  Lady Antebellum  ,Love`s Lookin` Good On You,
  조형우  ,후회 (Band Ver.),그렇다 그렇다 외면 하다 하다 그때 어리다 진심 아니다 미워하다 미워하다 미워하다 수가 없다 떠나가다 버리다 않다 놓다 않다 수가 없다 잃다 아쉬움 없다 라며 애쓰다 아픔 지우다 나르다 하다 사랑 하다 않다 그대 모르다 다시 뜨다 잠들다 있다 붙잡다 다시다 떠나다 않다 잃다 아쉬움 없다 라며 애쓰다 아픔 지우다 나르다 하다 사랑 하다 않다 그대 모르다 이제 없다 돌아오다 않다 추억 리다 들다 잃다 그날 아쉬움 없다 라며 애쓰다 아픔 지우다 나르다 하다 사랑 하다 않다 그대 모르다 그대 그대 그대 떠나다
  Cyndi Lauper  ,Detour (Feat. Emmylou Harris),
  iron & wine  ,Waves of Galveston,
  허니스트 (HONEYST)  ,1도 기억이 안 나,전화 받다 뭐라다 어젯밤 기억 어떻다 오다 핸드폰 보다 속이다 거려 미치다 진짜 기억 어젯밤 무슨 대다 건지다 발신 전화 집다 찾아오다 신기하다 하다 싶다 차다 많다 그래서 그렇다 좋아하다 어젯밤 생각 하다 비잉 비잉 비잉 비잉 아직도 심장 뜨겁다 그대만 생각 하다 모르다 일단 자다 기억 기억 그대 얼굴 생각나다 어젯밤 하다 사실 기다리다 피하 건지다 기억 난대 머릿속 비잉 그렇다 솔직하다 그래서 그렇다 좋아하다 비잉 비잉 비잉 비잉 아직도 심장 뜨겁다 그대만 생각 하다 모르다 일단 자다 술김 나오다 아니다 정말로 진심 얼굴 보고서 하다 오늘 제대로 설레다 어젯밤 비잉 비잉 하다 전부 제대로 비잉 비잉 진심 하다 대다 좋아하다 사실 너무 너무 너무 너무 좋아하다 아직도 심장 떨리다 흐릿해 그대만 생각나다 미치다 모르다 그냥 감고 있다 우리 일인 드디어 우리 어제 생각나다
  조원선  ,서두르지 말아요 (Duet With 존박),서둘다 말다 아직 들려주다 우리 시간 느리다 서두르다 말다 얘기 재미있다 웃음 많다 건가 나다 이렇게 크게 웃다 목소리 얼마 만인 모르다 우리 사랑 영원하다 하다 그렇다 없다 그렇다 알다 해보다 당신 아니다 되다 같다 음악 소리 사랑 노래 하다 노래 따르다 부르다 하다 해보다 후회 하다 모르다 언젠가 우리 이야기 마지막 오다 한참 지나다 후회 해도 서두르다 말다 당신 아니다 되다 같다 하다 그렇다 노래 따르다 부르다 하다 하다 그렇다 서두르다 말다
  Ray LaMontagne  ,Such A Simple Thing,
  서민영  ,할 말이 없대,정말 이상하다 아직도 연락 없다 심하다 건지다 자꾸 불안하다 걸다 정말 이상하다 전화 걸다 아무 없다 웃다 하다 없다 정말 이대로 보다 하다 없다 미안하다 하다 수가 없다 해주다 싶다 아직도 내겐 남다 정말 미안하다 고맙다 자다 지내다 하다 하다 수가 없다 떠나다 미안하다 가지 듣기 싫다 울다 보다 없다 자다 지내다 시간 지나다 잊혀지다 억지로 하루 써다 보다 깊다 그리움 취해 전화 걸다 미안하다 너무 보고 싶다 하다 없다 정말 이대로 보다 하다 없다 미안하다 하다 수가 없다 해주다 싶다 아직도 내겐 남다 정말 미안하다 고맙다 자다 지내다 하다 하다 수가 없다 떠나다 미안하다 가지 듣기 싫다 울다 보다 없다 자다 지내다 괜찮다 걸다 사랑 한단 질리다 해주다 너무 아프다 해주다 하다 겠다 슬프다 괜찮다 괜찮다 괜찮다 괜찮다 괜찮다
  Rosie Thomas  ,It Don`t Matter To The Sun,
