artist,title,English_clean_lyric
  소녀시대 (GIRLS` GENERATION)  ,무조건 해피엔딩 (Stick Wit U),style motion style motion baby get slow slow
  공원소녀 (Girls in the Park)  ,밤의 비행 (The Interpretation of Dreams),day night eye melody head song round eye melody head song round melody head song feel feel heaven precious precious heaven precious precious heaven heaven precious precious precious precious precious precious precious precious precious precious close close heaven
  SS501  ,Again,baby baby baby baby baby darling baby anymore love love love love love love love love love love love baby
  FTISLAND (FT아일랜드)  ,지독하게,
  달샤벳  ,유리인형 (DON`T TOUCH),touch doll danger danger step glassy doll brake boy touch brake boy touch baby touch baby touch monster diamond doll twinkle twinkle twinkle danger danger step doll brake boy touch brake boy touch baby touch baby welcome dollam touch brake boy touch brake boy touch baby touch baby touch monster glassy fragile fragile shiny glassy fragile fragile touch twinkle expensive fragile fragile pretty back back
  SHINee (샤이니)  ,너의 노래가 되어 (An Ode To You),
  러블리즈  ,마음 (*취급주의),
  이기광  ,MOOD,sign mood love mood love mood drivin mood love love mood love mood mood mood love love mood love love take fast
  쥬얼리  ,Passion,passion heart babe soul soul rap beat show child shout soul soul baby come flow
  카드 (KARD)  ,Trust Me (J.seph&Jiwoo Ver.),carry pray brain pain keep get get calm back
  VIXX (빅스)  ,My Valentine,carry carry something air valentine sign something air baby triplet valentine valentine valentine valentine valentine valentine valentine valentine valentine valentine valentine valentine valentine love get get get get breeze valentine valentine valentine valentine valentine maybe together together
  라비(RAVI)  ,Lean on me,baby lean lean lean lean lean lean lean lean lean lean lean attention attention lean lean lean lean lean baby baby baby baby baby baby baby baby baby
  몬스타엑스  ,하얀소녀,heart girl heart girl heart girl heart girl love love love love
  EXO  ,HURT,mystery memory insane mystery memory insane mystery memory insane bad bad bad bad bad bad bad bad bad bad bad bad
  FTISLAND (FT아일랜드)  ,BPM69,
  양요섭  ,소리 없이 운다 (Inst.),
  유진  ,또 다른 나,
  인피니트  ,고마워,
  EXO  ,狼與美女 (Wolf),duo tun tian shang pin chang jiu bie nao shen shi shi chang shang shi hei kuai lai bie zhe gan jue jue neng shi shi jin tai yao gao lie bie zai tuo hei jiu style deng dao man zhi dao wolf zhi wolf saranghaeyo shi mei lang wolf zhi wolf saranghaeyo shi mei hao tou gei tiao jin jing zhi zhi hui geng tong mang hui man man kan zai zhuo que shi dao dou shi wei lie bai wei tao zai tao zai tao jin feng che mang lie bie zai tuo hei jiu style deng dao man zhi dao wolf zhi wolf saranghaeyo shi mei lang wolf zhi wolf saranghaeyo shi mei lang mao dun hou liao jiu nan hui tou cheng huang man shou kuai zhi zhui qiu pin shi zhi feng shi rang hao tou gei tiao jin jing zhi zhi hui geng tong mang hui man man hao tou gei tiao jin jing zhi zhi hui geng tong mang hui man man wolf zhi wolf saranghaeyo shi mei lang wolf zhi wolf saranghaeyo shi mei lang xing yong yang xiang zen xing hei shi shi shi shi xin ming jing kuang shi shi shi shi shou huo huang ming dan shi shi shi shi kou wei hong yong bian jian hui guo bie shi qian zhua lang gong xian zha tong kan pan xian shi qian zhua gou gan chao tong kong gong xian zha tong gong xian zha tong yong
  효민  ,척했어 (Inst.),alright
  IZ*ONE (아이즈원)  ,DREAMLIKE,choice view baby world dreamlike dreamlike dreamlike moment street baby world dreamlike dreamlike dreamlike feeling twinkle dream world dreamlike dreamlike dreamlike dreamlike tell sparkle see find see find get feel fly ocean lombard
  걸스데이  ,Truth (MINAH Solo),heart heart heart break broken broken far away far away
  4minute  ,Hot Issue (신사동호랭이 Remix),something girl let issue issue control control shoe minute issue star issue issue issue issue issue issue issue issue issue jump jump jump issue issue control control issue flash issue issue issue issue issue issue issue issue issue jump jump jump issue issue control control issue issue issue control control minute girl minute girl minute girl issue issue stop show take take hot babe take take hot babe take take hot take take hot hot ready hot hot hot hot rouge hot hot hot star shawty let hot hot hot hot let hot hot hot hot hot hot hot hot hot hot hot
  인피니트  ,She`s Back,time love love time love love back back back back love love tell tell come come come come good good good good back back back back back back back back back back back back back back back back back back back back back back back
  헬로비너스  ,Romantic Love,guy girl love love guy girl love romantic romantic romantic romantic romantic
  방탄소년단  ,Make It Right,day night baby day baby please life make hold make make make make hold make make make save make hold make make make good tight light right right right rehab good tight right right right right good tight right right right right right right right everywhere right right right right right right
  소녀시대 (GIRLS` GENERATION)  ,그 여름 (0805) (Inst.),night night stay night sail sail sail true together
  엠블랙  ,My Dream,dream dream dream soul reason dream dream dream soul reason dream dream dream dream soul reason girl
  태민 (TAEMIN)  ,Crazy 4 U,baby crazy crazy crazy baby crazy crazy crazy crazy girl crazy crazy girl come girl deja crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy deja crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy crazy
  백현 (BAEKHYUN)  ,Psycho (Bonus Track),game psycho psycho game psycho psycho game game psycho psycho game psycho psycho game game psycho psycho game psycho psycho game psycho psycho psycho psycho psycho psycho psycho
  SF9  ,Jungle Game,clock tock fire welcome jungle game game game clock tock jungle game game game game tick tick ready tick animal ready jungle ready jungle ready sorry tick welcome animal ready ready jungle ready jungle animal ready ready jungle ready alright
  태일 (블락비)  ,잘 있어요,
  H.O.T.  ,우리들의 맹세 (The Promise Of H.O.T.),
  태연 (TAEYEON)  ,Sweet Love,boy love love love love lovin love love baby yes love lovin love fall cry take take fly flyer babe give take take fly flyer babe give love take take fly flyer babe give high high high sweet sweet sweet sweet high high high high high high sweet sweet sweet sweet
  인피니트  ,추격자 (OGS Returns Live Ver.),bye girl bye good good
  카라  ,멜랑꼴리 (24/7),love baby love baby love god day thinkin heart roller coaster day thinkin heart day thinkin heart show tell tell stop stop stop
  에이프릴 (APRIL)  ,예쁜 게 죄 (Inst.),mistake mistake mistake mistake mistake mistake mistake way way laser mistake mistake mistake way way mistake mistake way way girl love love sunset love love love love update girl update girl update
  FTISLAND (FT아일랜드)  ,The Way Into You,miss hold miss see see see smile
  신혜성  ,The Days (Duet. 이민우),story day story day story story day stay stay stay forever forever forever
  FTISLAND (FT아일랜드)  ,1분 1초도,
  EXID  ,Too Good To Me,good good good baby good good good good cause cause cause baby cause cause baby cause cause baby good good good good good good good good good good good good good good
  준케이 (JUN. K)  ,이사하는 날,
  Apink (에이핑크)  ,Wanna Be,love love baby love baby love baby yoo baby baby day baby love baby love baby yoo baby baby day love love love love love fall love call call call love love everyday everyday love love love love
  WINNER  ,애 걔 (FOR),switch baby baby switch
  방탄소년단  ,보조개,yes yes baby baby cause illegal illegirl illegal true illegal illegirl illegal illegal illegirl illegal illegal illegal anyway anyway anyway anyway anyway anyway anyway anyway anyway anyway anyway anyway
  젝스키스  ,학원별곡 (學園別曲),time scream mix watch time scream mix watch time scream mix watch time scream mix watch time scream mix watch time scream mix watch rise mess mess rise mess mess rise mess mess rise mess mess rise mess mess rise mess mess
  블락비 (Block B)  ,싱크로율 100% (Inst.),
  더보이즈 (THE BOYZ)  ,Just U,girl cause love love please girl bridge cause truth love love everything please girl bridge girl take take girl everyday enough enough enough enough beautiful forever never
  몬스타엑스  ,출구는 없어 (No Exit),microphone checker push space bar girl lie everybody party let roll roll let burn everybody caffeine let let roll roll let burn thanks let let roll roll let burn turn let come start let let burn burn run fight burn turn lie right baby baby ight mercy baby right
  god  ,미운오리새끼,
  NCT DREAM  ,덩크슛 (Dunk Shot),dunk shot jump wait blow call guess second whistle
  H.O.T.  ,"투지 (鬪志, Git It Up!)",git git guarantee epervana pyunny outta git git give take knee cut drip see rathre knock give booya
  방탄소년단  ,Tomorrow,ctrl breaker breaker tomorrow tomorrow tomorrow breaker breaker tomorrow tomorrow tomorrow breaker breaker tomorrow tomorrow tomorrow get ctrl good good good never never never
  BIGBANG  ,아무렇지 않은 척 (TOP Solo),cool birthday ohoh bye bye come sorry fallin good good back
  엔 (N)  ,가장자리,
  지연  ,점점 (Acoustic Ver.),
  iKON  ,I`M OK,alone
  인피니트  ,숨 좀 쉬자,
  B1A4  ,웃어봐,
  프로미스나인  ,물들어,
  진영  ,이 사랑을,
  신화  ,Now And Forever,battle head sense madness sanity hang thread way man fortune heaven try way man worry time time day ocean sand man man understand hold catch see hold give show rest win know weary sure still forever sometimes forever always alone anymore forever forever
  CNBLUE (씨엔블루)  ,Royal Rumble,sorrow survival shadow royal sorrow survival royal rumble bubble royal rumble black white rumble royal rumble bubble
  라붐 (LABOUM)  ,불을 켜 (Turn It On),nobody babe babe love nobody babe babe night nobody babe babe nobody nobody babe babe love want mine else else else else else lonely long lonely
  NCT 127  ,백야 (White Night),sleepin night night face voice sleepin night sleepin night night night night night night night night eatin nice eatin nice eatin nice well long long well long well long long long long long long long
  달샤벳  ,Let It Go,boy hurt let let let let let let let let let let let let baby comment baby baby comment baby crazy baby comment baby
  가인  ,Bad Temper,care try act damn damn talk talk care try act damn damn talk talk wait wait speak speak ever never ever never
  방탄소년단  ,Outro : Circle Room Cypher,boy boy hermes mcm gucci alexander skit skill force god damn get rap suga rolex dior freestyle top mcqueen
  CLC  ,예뻐지게,girl step step everybody hand left heel dance tonight left heel night step alright tell step step alright clap put let put let dance step alright right high right high alright alright alright long
  은지원  ,비슷비슷해 (SAME),love love love love babe love love love thi love love thi love darling make make romantic actually naturally
  비스트  ,가져가,hello beautiful filter girl drive take take take take red drive take take take take take take take take crazy girl girl black black black red red crazy
"  티아라 ,  초신성  ",TTL Listen 2,goodbye goodbye boy time goodbye love goodbye win make cry win make cry back love win make cry win make cry stupid bad live never never never never
  키 (KEY)  ,I Wanna Be (Feat. 소연 of (여자)아이들),girl song baby get wherever wherever wherever whenever
  시연  ,Paradise,eye heart eye paradise heart eye heart wah eye eye run run close run run close run open paradise broken broken open close away away away alone alone alone always away away far away far away never never never never
  비투비  ,비밀 (Insane) (Acoustic Ver.),bye girl bye bye bye girl bird pain pain hate pain pain life life guess make win win make win win live think forget good good good good mocking good insane much insane much girl good insane much insane much good good good wrong listen back back back back
  동방신기 (TVXQ!)  ,Ride Into The Earth,hero max know
  젝스키스  ,Party Time,part time party time party time baby man party time party time party time party time party time party time party time party time party time
  보아 (BoA)  ,My Genie,genie genie
  레인보우  ,A,collection line ace line change love collection line ace line love change love collection line ace line girl love collection line ace line pain
  라비(RAVI)  ,Rose (Feat. 켄 Of VIXX),flower heart flower heart girl girl care girl girl girl girl flower heart flower heart rise rise rise rise rise rise rise rise rise rise rise rise rise rise rise rise rise rise rise rise red red red red
  구구단 (gugudan)  ,소원 들어주기,
  양요섭  ,별,
  EXO  ,White Noise (Chinese Ver.),night chen ban zai zhuan yin lang pan zhe hui fan zai hui dao men shi yue jiu yue jiu shi babe shang yan jing dao dan neng quan shi jie tai duo fen fan yin miao jiu sheng zhuo somebody somebody somebody someone somebody somebody kong jiang gei chang bao duo guo sou hui zhong shu sheng yin zai shi fang shang yan jing dao dan neng quan shi jie tai duo fen fan yin miao jiu sheng rang xin right yan zhe mei duo kong hou guo guo hui hui zai mou dai meng hou pai huai zai somebody somebody liao jie zhe qie jiu zhu dan zai que zhan sui shi jue shang yan jing men ceng gou gou guan duo jiu mei shang yan jing dao dan neng quan shi jie tai duo fen fan yin miao jiu sheng zhuo wei ling nao wei yuan qian duan kan ting ting ling ting xing qing nei qing ting kan ting ting ling ting xing zai zhi jing shen jing xing hai qing hold shen xin xin jing jing hui jing hui xing kan ting ting ling ting xing dian zhong xuan rao hua quan nian bian dao jian shi tian babe jian yuan nian dao jian bao qian hao wen bian tian guo bian bian shi suan tight bian gan yuan dao jian lonely yong far away far away
  레인보우  ,너뿐이라고,make love make love make love
  여자친구 (GFRIEND)  ,여름비 (SUMMER RAIN) (Inst.),
  BIGBANG  ,Together Forever (눈물뿐인 바보),baby girl thinkin feelin help word sunshine life girl life girl hangin crew love baby blessin thankful love thirty pick park sunshine life girl life girl hangin crew love baby blessin heart way name girl one baby love everyway matter baby bottom top way way extacy name route world baby lotta love comin love push life girl hangin crew love baby blessin put tear lem tell come run everynight mean callin tear let tell come run everynight mean say make take let get shove come run everynight mean searchin everyday much sprung good searchin everyday much sprung bein listen cho sayin baby freakin true everyday thinkin searchin everyday much sprung nothin ever apart chasin together forever nothin ever apart chasin together forever heaven everyday softly south long ever chasin together forever
  EXO  ,I See You,give give give give give give give give give give give
  S.E.S.  ,Remember (English Ver.),arm touch everything baby try snow ground night december name baby place heart cause heart time year time piece chance baby try snow ground night december name baby place heart summer baby colour sun day thing one snow ground night december name baby place heart felt stay remember believe say believe get fall feel hear call grow meet miss get show get fall feel hear call become shin make stay cause cause fall feel hear call safe warm worlds first dark old first missing first dark first least many first dark never forever even still apart together still still really long always never still still really long always really long always
  비스트  ,The Fact,woh fact
  박지훈  ,Young 20 (Prod. 이대휘),babe babe man finger finger shawty finger take make love take make love stay young good sure young never well never forever ever
  DIA (다이아)  ,굿밤 (Good Night),baby boy night night night good good good
  DGNA (대국남아)  ,비틀비틀,story love goodbye bomb bomb bomb bomb baby girl bomb bomb bomb bomb baby girl baby girl bang bang bang bang miss live come love back
  비스트  ,Butterfly,butterfly butterfly butterfly butterfly butterfly butterfly butterfly butterfly butterfly
  AOA  ,불면증 (Can`t Sleep),aoa drop night sleep alright alright sleep sleep good sleep sleep sleep
  마마무 (Mamamoo)  ,다 빛이나 (Gleam),eye baby heart eye baby color muse view heart eye light light shin view bright unique ocean light light light light light light light light
  허영생  ,잊을 수 없다,
  몬스타엑스  ,니가 필요해 (Need U),baby baby girl joke girl baby one baby baby girl baby baby beautiful beautiful beautiful precious serious beautiful beautiful
  AOA  ,Without You (Inst.),think cry cry cry cry live win live win live win everyday everyday never
  세븐틴  ,Network Love,world network love network love network love network love network network love network time time network love network network love love lucky wide electronic electronic electronic electronic electronic electronic electronic
  미쓰에이  ,다른 남자 말고 너,baby baby baby baby baby baby baby baby baby baby baby baby baby baby baby baby
  소녀시대 (GIRLS` GENERATION)  ,Wake Up,wake wake wake wake wake wake
  SS501  ,Take U High,light tonight gogeurs energy gogeurs energy gogeurs energy share dream want take run light want take run care take run let check run high high high
  f(x)  ,라차타 (LA chA TA),style everybody cha cha baby style everybody cha cha mon mon mon baby mon mon mon mon baby mon mon mon mon baby baby everybody cha cha baby cha cha cha baby come come come come sound sound baby come
  태연 (TAEYEON)  ,Lonely Night,thing boy name night day boy name tonight night boy name sick night sick night know know let redeem redeem know enough enough redeem lonely lonely never lonely
  인피니트  ,Moonlight (INFINITE EFFECT ADVANCE LIVE Ver.),moonlight moonlight moonlight moonlight moonlight moonlight
  태민 (TAEMIN)  ,WANT,eye toy body hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot soul hot hot hot hot hot hot hot hot
  god  ,촛불하나,
  핑클 (Fin.K.L)  ,루비(淚悲):슬픈 눈물,cry cry cry cry cry cry cry cry cry cry cry cry
  태사자  ,도,check turn back say say full back back
  신화  ,Shooting Star,engine seat belt pedal floor time life pressure star music energy parade fire keep stop check time life pressure star music energy parade actor gang gangster line thanx talent star music energy parade star music energy parade mix fix start fasten put let buy buy stop stop baby know stop keep come move sexy tell tell stop stop baby know stop keep rap smith get get stop keep stop keep different sayin shooting high hot high double shooting high hot west shooting high hot shooting high hot really back really really really
  god  ,하늘색 풍선,
  소나무 (SONAMOO)  ,CUSHION,dat dat dat dat dat dat dat dat dat dat dat dat dat dat dat dat dat dat dat baby cushion cushion feel touch feel day night cushion dat dat dat dat dat dat cushion cushion dat dat dat dat dat dat cushion cushion hello lady faller gum baby cushion cushion feel touch feel day night cushion sick love hand cushion cushion feel touch feel day night cushion dat dat dat dat dat dat cushion cushion dat dat dat dat dat dat cushion cushion comfortable tight precious bubble comfortable tight tight
  동방신기 (TVXQ!)  ,RUMOR,strike strike strike rumor rumor rumor step step step rumor rumor rumor rumor rumor rumor rumor rumor rumor rumor rumor rumor rumor goodbye goodbye goodbye goodbye
  FTISLAND (FT아일랜드)  ,애인이 돼 주길 바래요,
