artist,title,English_clean_lyric
  영웅  ,너는 날 보며 무슨 생각이었어,
  안녕의 온도  ,사랑의 한가운데 (Feat. 선우정아) (Remastered),
  마이 앤트 메리  ,북소리,
  애쉬  ,순간을 그리네,
  스모킹구스  ,약육강식,take take take fxcking take alive alive alive alive
  사비나앤드론즈  ,49`s Depth Abyss,depth way way way depth abyss make away
  뷰렛  ,프랑켄슈타인,monster evil misery abandon
  9와 숫자들  ,She`s International,international exceptional international international international international international essential international international international international international international international international
  프린세스 디지즈  ,날 보러와요,
  스위밍풀  ,에디트 피아프,never never never never never never never never never never never never never never never
  스웨덴세탁소  ,Snowball (Feat. 바닐라 어쿠스틱),town snowball snowball snowball snowball town christmas snowball snowball snowball snowball snowball snowball snowball snowball snowball snowball little little white
  Atomic Juice  ,Think About,nobody way wan lip eye sight time lip eye sight time cause sun hey cause sun cause sun nobody way wan lip eye sight time lip eye sight time cause sun hey cause sun cause sun cause sun cause sun nobody way wan let solve show let move move tell hear hear tell hear rise tell rise let solve show let move move tell hear hear tell hear rise tell rise let solve show let never ever ever away never ever ever away never
  인메이  ,12시엔 칼로리가 리셋됩니다,
  소른  ,CAKE SONG,
  후아유  ,좋아요 (Feat. 그_냥),love love love love woo baby baby baby love woo baby baby baby love love love love love love love love love love love love baby baby baby love love love love love love love woo woo woo woo
  혼닙(honnip)  ,이유,care word care word care word wan adore wan adore wan adore na na na
  모브닝 (MOVNING)  ,내가 사랑한 모든 것들은 나를 눈물짓게 할 테니까,oh oh oh oh
  쿼츠  ,Close But Far (Feat. 정차식),close everlasting everlasting far close far close far close far
  윤지영  ,문득,
  아마도이자람밴드  ,밥통,
  원혁  ,잠,
  거츠  ,Cultmovie,one real wild real wild real wild real wild real wild real wild
  태범  ,주희 (Feat. DJ Shinin`stone),voice
  피콕 그린  ,메리제인,
  달에닿아  ,나는 네가 그립기만 해,
  이지허밍  ,관찰자의 입장,baby baby
  티어라이너  ,이 느낌은 뭘까? (Feat. 연진 Of 라이너스의 담요),oh
  로컬버스  ,호롤롤로,
  제8극장  ,대항해시대,
  혜화동소년  ,사랑하고 싶어,
  시와  ,겨울을 건너,
  Glam Gould  ,0 (feat. Kinnshaa wish),change change change change change change change change gon gon gon gon gon gon gon
  퐁당  ,봄이 오네,
  오은비  ,사랑에 빠진 딸기,
  whychan (와이찬)  ,"별의 운명 (Feat. 이호석, 조윤정 of 두번째 달)",
  HUS (허밍어반스테레오)  ,봄날의 사케 (Feat. Sugar Flow),tell love
  Evey  ,Warm Street,confuesd think street cloud reminiscent day feeling embrace stick gun place hand move stick gut street foot chardonnay cry today mind guess park day love hand move stick gut street foot move stick gut street foot happen call win go grow light choose take make confuse confuse scar go bring think talk get keep dream say choose grab make confuse confuse scar go confuse confuse scar go warm strong old warm happy snappy obvious hesitant next proof warm warm cold good fine ta warm happy snappy hesitant next proof warm warm cold hesitant next proof warm warm cold away enough close rough enough close rough enough close rough
  단칸방 로맨스  ,Your Breath,song name song name song song breath song name song name song song breath song name song name song song breath song breath song song breath song song song song breath young young
  황휘현밴드  ,FLY,
  김태승 (Kim taeseung)  ,good morning,dawn imagination sunrise everybody dawn dawn dawn dawn dawn wait hate let love let love let love let love let love dark afraid pleasant bright dead anymore
  페이퍼컷 프로젝트  ,설레발,
  바버렛츠 (The Barberettes)  ,한 여름밤에 부는 바람,
  김거지  ,조금만 더,woo woo woo woo
  달빛요정 역전만루홈런  ,주성치와 함께라면,
