artist,title,English_clean_lyric
  Various Artists  ,연,
  함중아  ,술전쟁 돈전쟁,
  박미경  ,민들레 홀씨되어,
  패티김  ,못잊어,
  김란영  ,먼지가 되어 (이윤수),
  박현빈  ,구애,
  이용복  ,사랑의 모닥불,
  김란영  ,가인,
  장윤정  ,세월아,
  김용만  ,회전의자,
  양부길  ,순이야,
  나훈아  ,봄비에 젖어,
  김수찬  ,첫정,
  조용필  ,길잃은 철새,
  혜은이  ,새벽비,
  홍자  ,어떻게 살아,
  이미자  ,색소폰 부는 처녀,
  장민호  ,사랑해 누나,
  성진 (Sung Jin)  ,마산항구 (Masan Port),
  문주란  ,잘있거라 공항이여,
  김종환  ,만나고 싶다,
  희자매  ,말도 안돼,
  이박사  ,어머나,
  김흥국  ,정아,
  가수연맹  ,시곗바늘,
  최백호  ,세월이 가면,
  백설희  ,홍콩 아가씨,
  금나와  ,구월에 떠난 사랑,
  김경남  ,친구,
  윤필  ,응원가 (환호의 밤),
  수지니  ,여보세요,
  주현미  ,짝사랑,
  서진 & 숙희 & 허정 & 민희 & 강서남  ,눈물도 없는 여자,
  장윤정  ,몇 미터 앞에 두고,
  이은하  ,아카시아 필때,
  남상규  ,추풍령,
  김용임  ,부초같은 인생,
  한승기  ,계련,
  성동일  ,신라의 달밤,
  이은하  ,겨울장미,
  나훈아  ,과거를 묻지 마세요,
  이순정  ,찰떡,
  조용필  ,일성(一聲),tv
  주병선  ,아리아리요,
  빛나래  ,잊어요,
  송은유  ,더럽게 신나는 트로트 (Feat. 이태검),
  남진  ,사랑은 어디에,
  김채희  ,별,
  태진아  ,당신의 눈물,
  전영록  ,바람아 멈추어다오,
  유성  ,네 모습을 보여줘,
  송가인  ,서울의 달 (Inst.),
  김수희  ,멍에,
  최영철  ,미쳤다,
  최백호  ,봄,
  트레스  ,사랑 사랑 (Love Love),
  전영록  ,철 지난 바닷가,
  이미자  ,임금님의 첫사랑,
  김연자  ,수은등,
  신유  ,환희,
  홍진영  ,사랑이 좋아,
  남수란  ,나무아미타불 관세음보살,
  이미자  ,동백꽃 피는 항구,
  최진희  ,천상재회,
  남정희  ,가는 정 오는 정,
  정의송  ,미련,
  우연이  ,몰랐네,
  금잔디  ,어쩔사 (어쩔 수 없는 사랑),
  박윤경  ,Victory 평창 (Feat. 김수찬),victory go korea go victory go korea go victory victory victory victory let go victory go korea go victory victory victory victory victory victory victory victory let go let go
  설운도  ,다함께 차차차,
  트로트 공장  ,내 나이가 어때서,
  김혜연  ,간큰남자,
  나훈아  ,모르고,
  이미자  ,홍콩의 왼손잡이,
  박주희  ,타인,
  박상민  ,멀어져간 사람아,
  남백송  ,홍도야 울지마라,
  박상철  ,애가,
  혜은이  ,안개속으로,
  요요미  ,당신은 모으실거야,
  금사향  ,님계신 전선,
  시연화  ,사랑이란,
  최희준  ,하숙생,
  혜은이  ,비가,
  Various Artists  ,추억의 백마강,
  김용임  ,자옥아,
  진해성  ,순천만 갈대숲에,
  이용  ,사랑과 행복 그리고 이별,
  신웅  ,무효,
  하동진  ,애인이 돼 주세요,
  손소연  ,서울에서 부산까지 (Feat. 개그맨 김준현),let go love ok oh oh ok oh oh ok oh oh ok oh oh ok oh oh ok oh oh oh oh
  작은 거인  ,일곱색깔 무지개,
  이미자  ,기러기 아빠,
  명국환  ,거리의 악사,
  진성  ,팔자,
  혜은이  ,가을비 우산속,
  박인희  ,봄이 오는 길,
  현숙  ,요즘여자 요즘남자,
  김수희  ,서울 여자,
  이창휘  ,사람이 좋다,
  노사연  ,이마음 다시 여기에,
  김호영 (Kim Ho Young)  ,인생은 짜라짜,
  김혜연  ,짝짝짝,
  한복남  ,빈대떡 신사,
  이영화  ,당신의 아파트,
  박진석  ,버들아가씨,
  이병준  ,파라다이스,love trot trot trot oh love trot trot trot oh hot hot hot love love hot hot paradise hot hot love love hot hot paradise love love hot hot paradise alright
  금잔디  ,사랑하니까,
  윤복희  ,여러분,
  추가열  ,지켜보면서 (Stay With You),
  진송남  ,덕수궁 돌담길,
  현미  ,밤안개,
  나훈아  ,녹슬은 기찻길,
  김서영  ,내 나이는 여자,
  이정숙  ,오빠생각,
  손인호  ,함경도 사나이,
  박윤경  ,아버지,
  장민  ,뱃노래,
  김자옥  ,상처,
  조용필  ,잊혀진 사랑,
  최혜영  ,물같은 사랑,
  문주란  ,동숙의 노래,
  김미성  ,아쉬움,
  김선미  ,님마중,
  김흥국  ,레게파티,
  류계영  ,도련님 생각,
  사랑과 평화  ,한동안 뜸했었지,
  윤항기  ,나는 행복합니다,
  김종환  ,존재의 이유,
  조용필  ,황성옛터,
  허승자  ,인생열차,
  강진  ,남자의 눈물,
  패티김  ,진주 조개잡이,ev ry grain sand upon beach got kiss got left star twinkles blue pearly shells ocean shining sun covering shore see heart tells love little pearly shells little pearly shells
  박단마  ,슈샤인보이,
  김지애  ,얄미운 사람,
  예스박  ,영일만 친구,
  김수찬  ,사랑의 해결사,love love love kiss kiss love love love kiss kiss
  문희옥  ,추억속의 여자,
  주현미  ,사랑은 하지 않으리,
  나훈아  ,노방초,
  트롯피아  ,동반자,
  장윤정  ,꽃,
  이미자  ,해운대 엘레지,
  임현  ,그 정 때문에,
  이장희  ,나 그대에게 모두 드리리,
  백장미  ,일분도 아깝다,
  전미경  ,그럴수가 있나요,
  윙크  ,울릉도 트위스트,
"  갈프로젝트 ,  조빈  ","여름별곡 (Feat. 리제, 달보드레)",
  박영남  ,당신은 나비,
  후니정  ,대박날거야,
  방실이  ,뭐야 뭐야,
  오욱철  ,낚시는 내 친구,
  김혜연  ,예쁜여우,
  남상규  ,동백꽃 피는 고향,
  백설희  ,백마야 울지마라,
  박상철  ,쿵짝쿵짝,
  최백호  ,낭만에 대하여,
  혜은이  ,9월의 노래,
  최성수  ,풀잎사랑,
  이태호  ,미쓰고,
  김종찬  ,사랑이 저만치 가네,
  현철  ,싫다 싫어,
  백영규  ,슬픈계절에 만나요,
  소명  ,아파트,
  나미애  ,사랑의 기도,
  금잔디  ,세월아,
  박현빈  ,땡겨,
  배일호  ,99.9,
  김태정  ,기도하는 마음,
  추가열  ,"이별 후에 (Come Back, Again)",
  홍진영  ,사랑의 와이파이,
  주현미  ,비내리는 고무령,
  홍진영  ,오늘 밤에 (Inst.),baby baby
  배호  ,비내리는 경부선,
  권윤경  ,빗소리는 나의 마음,
  패티김  ,초우,
  한서경  ,사랑이 뭔지,
  주현미  ,일심,
  혜은이  ,뛰뛰빵빵,
  박재홍  ,향수,
  심수봉  ,그때 그 사람 (Jazz Ver.),
  이미자  ,섬마을 선생님,
  함중아  ,잡지마라,
  김국환  ,웃어버려,
  박혜정  ,24시,
  금잔디  ,있을때 잘해,
  민지  ,초혼,
  나상도  ,한이불 덮고,
  이미자  ,황포돛대,
  윤항기  ,이거야 정말,
  백영규  ,하얀 면사포,
  노지훈  ,손가락하트 (Finger Heart),
  권인하  ,남은 것은 당신 뿐,
  김란영  ,사랑의 미로,
  이명주  ,돌이킬 수 없다면,
  배호  ,누가울어,
  나훈아  ,사랑도 나그네,
  배일호  ,당신이 원하신다면,
  이영숙  ,아카시아의 이별,
  이박사  ,해변으로 가요,
  신웅  ,남해고속도로,
  나미애  ,아파트,
  큐오티  ,아재아재,
  육각수  ,흔들흔들,
  Various Artists  ,오빠생각,
  박주희  ,섹시하게,
  김수희  ,너를 위해 (임재범),
  혜진이  ,넘버 원,
  김수희  ,다시 한번 생각해줘요,
  나미애  ,보고싶은 얼굴,
  영심이  ,연모,
  배일호  ,신토불이,
  문연주  ,하룻밤 풋사랑,
  배호  ,비 내리는 경부선,
  박진도  ,똑똑한 여자,
  주현미  ,살아있는 가로수,
  은하수  ,못참아,
  박구윤  ,나무꾼,
  김동아  ,잎새,
  태진아  ,카스바의 여인,
  진성  ,건배 건배 컴백 (New Ver.),
  정하나  ,하나의 사랑,
  이난영  ,목포는 항구다,
  김추자  ,커피한잔,
  정시연  ,토요일 밤에,
  설운도  ,애인이 돼주세요,
  이창용  ,당신이 최고야,
  홍진영  ,부기맨,
  금윤아  ,사진첩,
  김필  ,돈벼락,
  조정민  ,레디 큐 (Ready Q) (Remix by 유스타),
  성혜  ,가버린 사랑,
  양부길  ,편지,
  LPG  ,연상의 여인,
  김해송  ,설음의 벌판,
  최진희  ,천상재회 (2015 Ver.),
  주현미  ,어제같은 이별,
  유익종  ,9월에 떠난 사랑,
  차유라  ,쌍방향사랑 (Brillante Chorus Ver.),
"  주현미 ,  김준규  ",남자는 배 여자는 항구,
  부부듀엣  ,사랑은,
  삼총사  ,가자,
  차중락  ,사랑의 종말,
"  김장훈 ,  에픽하이 (EPIK HIGH)  ",남자라서 웃어요,come
  남진  ,해바라기 마음,
  나미애  ,사랑아,
  희자매  ,한마리 새가 되어,
  남진  ,저리가,
  김혜연  ,안성맞춤(Remix),
  임도형  ,아침의 나라에서,
  배호  ,안개낀 장충단공원,
  김정수  ,당신,
  진방남  ,꽃마차,
  김용림  ,내 마음 별과 같이,
  최유나  ,애정의 조건,
  권윤경  ,아마도 빗물이겠지,
  국상현  ,천년애(千年愛),
  패티김  ,이별,
  박미영  ,천년쯤,
  박재권  ,당신은 복덩어리 (Inst.),
  심수봉  ,남자는 배 여자는 항구,
  태진아  ,미안 미안해,
  조항조  ,위하여,
  장민호  ,봄날은 간다,
  이태호  ,청춘아,
  주용아  ,안동역에서,
  현인  ,신라의 달밤,
  유춘산  ,향기품은 군사우편,
  케빈 리  ,세월의 장난,
"  임영웅 ,  영탁 ,  이찬원 ,  김호중 ,  정동원 ,  장민호 ,  김희재  ",제비처럼  (MR),top
  경수미  ,되풀이,
  소리새  ,산다는 것은,
  김란영  ,나를 잊지 말아요,
  심수봉  ,진짜 진짜 좋아해,
  백영규  ,인천의 성냥공장 아가씨,
  김성민  ,사이다 같은 여자,
  이병오 (Lee Byeong O)  ,세월연가,
  김상배  ,떠날수 없는 당신 (DJ처리 Remix Ver.),
  신유  ,오르락내리락,
  서주경  ,쓰러집니다,
  김수희  ,화등,
  이정숙  ,우리엄마,
  권윤경  ,그 겨울의 찻집,
  주현미  ,내가 왜 웁니까,
  최희준  ,진고개 신사,
  박인희  ,모닥불,
  김수희  ,한오백년,
  나현재  ,슬픈 화가의 눈물,
  이미자  ,촛불을 밝혔어요,
  현미  ,세월의 길목에서,
  신유  ,그리워서,
  유성민  ,항구의 청춘시,
  최백호  ,너를 사랑해,
  한영  ,나를잊지말아요 (Duet With 전영록),
  유지나  ,달타령,
  박진광  ,생쥐 (DJ처리 Remix Ver.),
  강민우  ,내 고향 청송,
  나훈아  ,18세 순이,
  박상철  ,무조건 (DJ처리 Remix Ver.),
  최병걸  ,난 정말 몰랐었네,
  한가을  ,어쩜 좋아,
  주용아  ,미운사랑,
  최성수  ,그대는 모르시더이다,
  이은하  ,아카시아 필 때,
  정동원  ,닐리리 만만세,
  박상철  ,부메랑,
  홍진영  ,"스며드나,봄",
  나훈아  ,물레방아도는데,
  이동준  ,누나야 (MR),
  신유  ,말이야,
  김상희  ,울산 큰애기,
  신유  ,통일은 대박,
  문연주  ,10분내로,
  김지애  ,몰래한사랑,
  이미자  ,서울이여 안녕,
  이미자  ,님이라 부르리까,
  지수  ,어찌합니까,
  기호진  ,조약돌 사랑,
  오기택  ,영등포의 밤,
  이창용  ,여보 (DJ처리 Remix Ver.),
  최진희  ,검은 상처의 블루스,
  진미령  ,미운사랑 (Dance Ver.),
  김경민  ,춘자야,
  심수봉  ,눈물의 술,
  충무권역 마을밴드 살큼  ,아산온천로 217-10,
  나훈아  ,사내,
  조용필  ,잊기로 했네,
  김희진  ,차마,
  나훈아  ,여자이니까,
  남진  ,어머니,
  이문세  ,이별이야기,
  김연숙  ,초연,
  태진아  ,아픈만큼 성숙해지고,
  최헌  ,가을비 우산속,
  안다성  ,그 때가 옛 날,
  송대관  ,오래 오래,
  소란  ,몰라,
  조영남  ,고향의 푸른잔디,
  김흥국  ,레게 파티,
  금잔디  ,전선 야곡,
  김보화  ,닐리리 맘보,
  최진희  ,자기,
  이미자  ,목포의 달밤,
  주용아  ,해바라기꽃 (2019 Ver.),
  신순애  ,김밥,
  금잔디  ,왕자님,
  한호성  ,사나이 눈물 (조항조),
  진성  ,나야 나,
  남진  ,어머님,
  명국환  ,아리조나 카우보이,
  차도필  ,한세상,jump jump
  후니정  ,사랑의 시계,
  정서영  ,초혼,
  바람꽃  ,비와 외로움,
  사인방  ,좋아좋아 (Feat. 김범룡),
  나영이  ,사나이 눈물,
  노사연  ,그리움만 쌓이네,
  현인  ,전우야 잘자라,
  조용필  ,장미꽃 불을 켜요,
  문희옥  ,당신이 최고야,
  박인자  ,댕구지 아리랑,
  박하늘  ,빨리와,
  나영이  ,태클을 걸지마,
  조용필  ,고추잠자리,
  송민도  ,산장의 여인,
  김수희  ,서글픈 인연,
  진시몬  ,낯설은 아쉬움,
  서정아  ,함양 그곳에,
  최현상  ,날 울린 당신 (해금 by 민성원),
  김영임  ,님,
  태진아  ,이름 모를 소녀 (김정호),
  최유나  ,내가 사랑했던 사람,
  배호  ,황금의 눈,
  조용필  ,꽃순이,
  문희옥  ,나 어떻게 되버려도,
  송대관  ,딱 좋아,
"  서수남 ,  하청일  ",할아버지 시계,
  조항조  ,거짓말,
  이용  ,잊혀진 계절,
  김미성  ,이별의 여울목에서,
  최석준  ,꽃잎 사랑,
  신유  ,나쁜남자,
  찰리 박  ,진짜루,
  이효정  ,엄마와 딸,
  김수희  ,서울여자,
  주현미  ,물레야,
  최희준  ,맨발의 청춘,
  진시몬  ,둠바둠바,
  김연자  ,정든 님,
  이박사  ,꽃나무 인생,
  신웅  ,들녘길에서,
  희자매  ,실버들,
  남인수  ,추억의 소야곡,
  문주란  ,돌지 않는 풍차,
  조용필  ,슬픈 미소,
  김국환  ,우리도 접시를 깨뜨리자,
  박경애  ,곡예사의 첫사랑,
  정원  ,미워하지 않으리,
  박서진  ,보약같은 친구,
  홍진영  ,서울사람 (Feat. 브레이) (Prod. By 박근태),
  태민  ,더불어 사는 세상,
  남진  ,해바리기 마음,
  주용아  ,정말 좋았네,
  장윤정  ,사랑아,
  박일남  ,나그네설움,
  나영이  ,조약돌 사랑,
  임영웅  ,뭣이 중헌디,
  강진  ,삼각관계,
  임주리  ,재회,
  서지오  ,여기서,
  이이경  ,칼퇴근,
  설운도  ,원점,
  정수라  ,환희,
  박향림  ,그늘에 우는 천사(天使),
  계은숙  ,기다리는 여심,
  송대관  ,사랑이 무어냐,
  장윤정  ,왔구나 왔어,
  요요미  ,꼭꼭꼭,got outta control got outta control got outta control got outta control got outta control got outta control got outta control got outta control got outta control got outta control got outta control got outta control got outta control got outta control got outta control got outta control got outta control got outta control
  진미령  ,미운사랑,
  이진관  ,인생은 미완성 (Remake Ver.),
"  강호동 ,  홍진영  ",복을 발로 차버렸어 (I kicked my luck off) (Inst.),
  배호  ,초가삼간,
  조항조  ,사랑찾아 인생찾아,
  편승엽  ,사랑해,
  나훈아  ,불효자는 웁니다,
  배따라기  ,은지,
  임희숙  ,상처,
  조항조  ,남이다,
  소리새  ,그대 그리고 나,
  김연자  ,아미새,
  이지원  ,인형의 집,
  배일호  ,친구야,
  현인  ,애정산맥,
  국상현  ,천년애 (New),
  혜은이  ,부모님 사랑,
  박시연  ,내 이름은 여자,
  박선영  ,이별의 길목,
  이정옥  ,숨어우는 바람소리,
  박향림  ,꿈꾸는 행주치마,
  박수정  ,나야 나 (2012 Ver.),
  김수희  ,당신은 누구세요,
  이은하  ,아직도 그대는 내사랑,
  나훈아  ,대전 부르스,
  권성희  ,하이난 사랑,
  한혜진  ,가슴 아픈 말 하지마,
  미소걸스  ,황홀한 이밤,
  박서진  ,삼천포오빠,
  배주리  ,갓바위,
  홍잠언  ,나야 나,
  김정수  ,늦은 재회,
  혜은이  ,우연히 꿈속에서,
  패티김  ,검은상처의부르스,
  신성  ,멋진 당신,
  조은새  ,하트 하트,
"  유산슬 ,  송가인  ",이별의 버스 정류장,
  이상화  ,망부석,
  이수미  ,사랑의 의지,
  장윤정  ,꽃 Remix,
  배인숙  ,누구라도 그러하듯이,
  한서경  ,당신께 넘어갔나봐 (DJ처리 Remix Ver.),
  전승희  ,뜬 기분 (DJ처리 Remix Ver.),
  공소원  ,불어라 사랑아,
  임희숙  ,잊혀진 여인,
  정미애  ,라밤바,la bamba feel la bamba feel la bamba feel la bamba
  김용임  ,거문고 사랑,
  나훈아  ,갈무리,
  조용필  ,"어제, 오늘 그리고",
  김추자  ,님은 먼 곳에,
"  박현빈 ,  윤수현  ",천태만상,
  노지훈  ,오늘 밤에,baby
  심수봉  ,장미빛 우리 사랑,
  강진  ,연하의 남자,
  김보화  ,너와 나의 고향,
  나미  ,당신의 모든 것이 다 좋아요,xxx
  문희옥  ,하늘 땅만큼,
  유익종  ,상처,
  Various Artists  ,Sanfrancisco,going san francisco sure wear flowers hair going san francisco gon na meet gentle people come san francisco summertime love streets san francisco gentle people flowers hair across nation strange vibration people motion whole generation new explanation people motion people motion come san francisco sure wear flowers hair come san francisco summertime love come san francisco summertime love
  김추자  ,거짓말이야,
  박일남  ,검은 장갑,
  이박사  ,무조건,
  최헌  ,카사블랑카,
  정삼  ,웃음꽃,
  강소희  ,잊을 수만 있다면,
  장철웅  ,이룰 수 없는 사랑,
  권윤경  ,비와 당신,
  김빡  ,진짜라 진짜,
  김지희  ,못잊겠어요,
  금귤(GEUM GYUL)  ,살아있네,
  현당  ,다시 한번,
  주용아  ,보약같은 친구,
  최진희  ,사랑과 미움사이에,
  송대관  ,한번 더 (Prod. 플레이사운드),
  장윤정  ,"이따, 이따요",
  박주희  ,풀잎,
  유상록  ,그 여인,
  송대관  ,인생은 생방송,
  최석준  ,바람같은 사람,
  최헌  ,소나기는 왜 내리나요,
  동후  ,널 사랑하는 이유,
  이종박  ,베어스 짱!,
  핫해하태 하태수  ,흥보가 기가 막혀,
  김희재  ,사랑은 어디에,
  펄 시스터즈  ,비,la pioggia la pioggia
  설운도  ,나만의 여인,
  천명훈  ,가라지,
  최정자  ,희망가,
  이한중  ,착한 아내 (New Ver.),
  문희옥  ,천상재회,
  홍진영  ,엄지 척,
  현철  ,봉선화 연정,
  강승모  ,무정부르스,
  김학래  ,내가,
  정미애  ,수은등,
  정훈희  ,그 사람 바보야,
  패티김  ,하얀 집 (Casabianca),casabianca casabianca tuttibimbi come hanno qualchecosa che didolor li fa tremare e non sanno che cose casabianca casabianca
"  주현미 ,  김준규  ",용두산 엘레지,
  하춘화  ,물새한마리,
  이애란  ,황혼이 미워,
  장하온  ,나나 너너너,
  효성  ,치마바위,
  권윤경  ,청춘,
  노사연  ,님 그림자,
  나훈아  ,사랑만은 않겠어요,
  문찬영  ,사랑의 초록등,
  전미경  ,세월따라,
  박현빈  ,샤방샤방,
  김서영  ,내 나이는 여자 (Inst.),
  서주경  ,진실,
  이재민  ,제 연인의 이름은,
  최석준  ,꽃을 든 남자,
  최진희  ,우린 너무쉽게 헤어졌어요,
  김용임  ,사랑의 밧줄,
  조아영  ,괜찮아요,
"  장윤정 ,  손정수  ",초혼2 (송인),
  서주경  ,쓰러집니다 (DJ처리 Remix Ver.),
  이미자  ,저강은 알고있다,
  찰리 박  ,카사노바 사랑,
  박현빈  ,미안해요,
  쿨시스터즈  ,왜 그랬을까,
  최진희  ,여정 (DJ처리 Remix Ver.),
  나현재  ,참좋다,
  장보윤  ,억새꽃,
  주현미  ,울면서 후회하네,
  박상철  ,황소고집,
  최유나  ,운명,
  요요미  ,홍콩익스프레스,
  이난영  ,목포의 눈물,
  금잔디  ,시치미 (MR),
  이은하  ,당신께만,
  김상욱  ,당신은 누구십니까,
  장윤정  ,나 잡아봐라,
  이도진  ,한방이야,
  이동원  ,내 사람이여,
  이미자  ,삼백리 한려수도,
  이동녘  ,오줌꽃,
  장계현  ,Time,look sad know life goes old world keep turning let glad time spend together need watch bridges burning lay head upon pillow hold warm tender body close mine hear whisper raindrop blowing soft window make believe love one time good times get along find another find ever need say word tomorrow forever time enough sadness leave lay head upon pillow hold warm tender body close mine hear whisper raindrop blowing soft window make believe love one time good time
  김용임  ,모르나봐,
  김상국  ,성자의 행진,oh saints go marching oh saints go marching wants number saints go marching saints go rock roll saints go rock roll baby one wants number saints go rock roll
  지원이  ,안동역에서,
  강달님  ,댄서의 순정,
  이미자  ,엘레지의 여왕,
  딕 훼밀리  ,눈물속의 너,
  이미자  ,열아홉 순정,
  이재은  ,아시나요,
"  김연자 ,  다이아 ,  홍진영  ","꽃, 달, 술",
  오기택  ,비내리는판문점,
