artist,title,Korean_clean_lyric
  담소네공방  ,반했나요,그대 그대 그렇다 좋다 그대 나르다 보다 자꾸 웃어요 대다 보고 대다 나르다 바라보다 맞추다 그대 그대 그렇다 좋다 그대 나르다 보다 자꾸 웃어요 보이지 않다 사랑 가끔 보이다 서다 있다 당신 사랑 너무나도 자다 보이다 대다 보고 대다 나르다 바라보다 우리 조금씩 가까워지다 대다 보고 대다 나르다 보고 대다 나르다 바라보다 대다 보고 우리 조금씩 가까워지다 맞추다 그대 그대 그렇다 좋다 그대 나르다 보다 자꾸 웃어요
  담소네공방  ,그네,그렇게 자꾸 나르다 밀다 말다 멍청하다 흔들리다 오늘 뜨다 정신 잃다 이렇게 판단 바보 같다 그렇게 자꾸 나르다 밀다 말다 멍청하다 흔들리다 오늘 뜨다 정신 잃다 이렇게 판단 바보 같다 제발 헷갈리다 확실하다 해주다 멈추다 가야 모르다 이상하다 마음 같다 않다 흔들다 흔들다 흔들리다 그네 같다 밀다 당기다 어리다 그네 밀다 우리 아빠 자상하다 밀다 당기다 어리다 그네 밀다 우리 아빠 자상하다 그렇다 좋다 그렇다 주다 좋다 그렇다 좋다 그렇다 주다 좋다 제발 헷갈리다 확실하다 해주다 멈추다 가야 모르다 이상하다 마음 같다 않다 흔들다 흔들다 흔들리다 그네 같다 밀다 당기다 어리다 그네 밀다 우리 아빠 자상하다 밀다 당기다 어리다 그네 밀다 우리 아빠 자상하다 그렇다 좋다 그렇다 주다 좋다 그렇다 좋다 그렇다 주다 좋다 대다 보고 그대 나르다 보고 우린 서로 보고 수줍다 사실 그대 나르다 마음 얼마나 모르다
  Eighteen April  ,Dreamer,
  디오디오 (The Audio)  ,그 어떤 미사여구보다 더 아름다웠던,밤하늘 가로지르다 날아가다 혜성 묻다 나르다 데려가다 않다 목소릴 듣다 싶다 밤하늘 메우다 작다 노랫소리 놀라다 깨다 마음 해보다 마음 해보다 미사여구 아름답다 진심 한마디 너무나 듣다 싶다 구름 물어보다 마음 해주다 진심 해주다 드넓다 저기 밤하늘 작다 비밀 묻다 보다 아무 모르다 조용하다 비밀약속 밤하늘 메우다 작다 노랫소리 놀라다 깨다 마음 해보다 해보다 미사여구 아름답다 진심 한마디 너무나 듣다 싶다 구름 물어보다 마음 해주다 진심 해주다 마음속 간직 전하 싶다 진심 한마디
  우주히피  ,여기,언젠가 오다 보다 있다 왠지 낯설다 않다 저기 보이다 골목 우리 잡다 예전 우리 좋다 그때 추억 초라하다 그대 멀리 부신 만큼 우리 오래 걷다 아직 머물다 이대로 기다리다 언젠가 기다리다 혼자 예전 우리 좋다 그때 추억 초라하다 그대 멀리 부신 만큼 그대 순간 내일 없다 믿다 이렇게 떨어지다 멀어지다 너무나 아프다 싫다
  이스트코너 (East Corner)  ,봄이니까,길다 겨울 이제 끝나다 보다 가벼워지다 마음 춥다 싫다 있다 보다 갈다 그래도 되다 같다 다른 사람 꽃눈 내리다 나오다 햇살 맞다 우리 걸다 보다 같이 마음 열리다 좋다 이제 그만 나오다 겨울 지나다 이제 만나다 가다 있다 모든 설레다 다른 사람 꽃눈 내리다 나오다 햇살 맞다 우리 걸다 보다 같이 마음 열리다 좋다 이제 그만 나오다 날씨 내다 열다 저기 멀리 모습 보이다 다른 사람 꽃눈 내리다 나오다 햇살 맞다 우리 걸다 보다 같이 마음 열리다 좋다 이제 그만 나오다 다른 사람 꽃눈 내리다 나오다 햇살 맞다 우리 걸다 보다 같이 마음 열리다 좋다 이제 그만 나오다
  비누도둑  ,당근주스,당근 주스 당근 주스 당근 주스 당근 주스 아무리 다르다 해도 아무리 새롭다 고민 해보다 지구 다른 별로 가지 않다 완벽하다 새롭다 없다 당근 주스 당근 주스 당근 주스 당근 주스 당근 가다 주스 오렌지 과즙 필요하다 만들기 어렵다 순수 알다 조율 중요하다 당근 주스 당근 주스 당근 주스 당근 주스
  밀크티  ,프롬 (From),어리다 오다 싫다 운동장 엄마 안다 그땐 그게 너무나 아프다 보다 혼자 생각 머릿속 있다 사랑 받다 있다 단지 바쁘다 사랑 받다 있다 분명 함께 있다 오다 위로 오다 오다 위로 오다 어리다 혼자 있다 싫다 작은방 앉다 창밖 그땐 그게 너무나 아프다 보다 혼자 생각 머릿속 있다 오다 위로 오다 오다 위로 오다 사랑 받다 있다 단지 바쁘다 사랑 받다 있다 분명 함께 있다 오다 위로 오다 오다 위로 오다
  스키니죠 (Skinnyjoe)  ,#18 (Egolog),
  이매진  ,고백 (Let Me In),오늘 독하다 마음 먹다 얘기 혹시 내일 어색하다 대도 보다 오늘 우리 얘기 그대 어디 그대 마음 어디 친절 건지다 어쩌면 착각 걸다 뭐라다 해주다 언제 대다 보다 어쩌자 빠져들다 건지다 모르다 솔직하다 처음 반했어 가끔 늦다 전화하다 그냥 해봤다 밤새 무심코 돌아보다 마주치다 내다 그렇다 그대 들다 알다 그렇다 좋아하다 그러니까 어디 그대 마음 어디 친절 건지다 어쩌면 착각 걸다 뭐라다 해주다 언제 대다 보다 어쩌자 빠져들다 건지다 모르다 솔직하다 처음 반했어 반했어 좋아하다 반했어 좋아하다 반했어 그대 좋아지다 어디 그대 마음 어디 친절 건지다 어쩌면 착각 걸다 뭐라다 해주다 언제 대다 보다 어쩌자 빠져들다 건지다 모르다 솔직하다 처음 반했어
  센치한 버스  ,사소한 고백,만나다 싶다 얘기 많다 사랑 직접 싶다 어딜 가다 이렇다 얘기 많다 정말 답답하다 사실 요즘 고민 많다 어디서 부터 얘길 꺼내다 이렇다 사실 쉬다 않다 미안하다 고맙다 사랑 가장 듣다 싶다 오늘 해주다 용기 이건 사소하다 고백 미안하다 고맙다 사랑 미안하다 고맙다 사랑 가장 싶다 이제 들어주다 용기 이건 사소하다 고백 이건 사소하다 고백 이건 사소하다 고백
  라데  ,내사랑 안녕,우리 시간 말로 서로 추억 꺼내다 헤어지다 않다 기억 떨어지다 가까워지다 엄청나다 알다 대화 보다 보다 맨날 연결 되다 목소리 천재 되다 기분 풀리다 기억나다 우리 시간 걸다 짧다 나마 우리 함께 걸다 때론 기다리다 지치다 가도 노래 따르다 우리 그렇다 공원 키스 커플 보다 년뒤 모두 우릴 부럽다 내사 안녕 어디 있다 안녕 어디 있다 내사 안녕 없다 안녕 안녕 기억 무겐 점점 무거워 안녕 외치다 제목 따르다 슬프다 아름답다 기억 여전하다 근데 기억 자꾸 기억 더하다 보다 순간 내사 안녕 근데 이제 보다 없어지다 내사 안녕 절의 기억 아직 오늘 떠보다 아직 어쩌면 우린 당연하다 지도 모르다 감사 의미 모르다 서로 이제 너와나 너와나 반대 서로 이건 다른 의미 다시 반갑다 맞이 해주다 노랗다 부르다 생각 노랗다 부르다 않다 생각 내사 안녕 어디 있다 안녕 어디 있다 내사 안녕 없다 안녕 하루하루 마주 보다 웃음 짓다 자리 이제 홀로 남아 그리다 보고 있다 나오다 같다 않다 용다 들다 보다 한숨 되다 있다 내사 안녕 어디 있다 안녕 안녕
  먼데이모닝  ,벚꽃 보러가요 (리마스터드),벚꽃 보다 사랑 자기야 손잡다 어느새다 바람 벚꽃 보다 사랑 행복하다 사진 만들다 우리 사랑 세상 가보다 얼마 추위 자기 얼음 차갑다 굳다 아프다 자기 추다 겨울 기다리다 보다 예쁘다 준비 기다리다 보다 벚꽃 보다 사랑 우리 잡고 봄날 느끼다 벚꽃 보다 사랑 오늘 보다 끝없이 걸다 보고 싶다 너머 거리 솜사탕 들다 시간 보내다 벚꽃 녹다 자기 불다 사진 전화하다 벚꽃 보다 사랑 우리 잡고 봄날 느끼다 벚꽃 보다 사랑 오늘 끌어안다 입맞춤 벚꽃 날다
  권나무  ,마부의 노래,크다 바퀴 마차 몰다 모자 꽂다 한적하다 숲길 따르다 아름답다 찾다 비록 가지다 없다 마차 노랫소리 맞추다 밤새 휘파람 불다 나무 되다 궁전 짓다 어느 언덕 잠자다 깨우다 창문 희다 커튼 묶다 한적하다 숲길 따르다 익다 마을 찾다 비록 가지다 없다 마차 노랫소리 맞추다 밤새 휘파람 불다 나무 되다 궁전 짓다 어느 언덕 과일 노래 이야기 저녁 허풍 숨기다 찾아내다 멋지다 그대 기다 촛불 끄다 과일 노래 이야기 저녁 허풍 숨기다 찾아내다 멋지다 그대 기다 촛불 끄다 촛불 끄다 촛불 끄다 촛불 끄다 촛불 끄다
  스위트 피  ,오로라 (Feat. 프롬),아무렇다 느낌 없다 감지 않다 우리 맞추다 동안 이상 돌다 보지 않다 마지막 인걸 자다 있다 후회 없다 보내다 그저 행복하다 바라다 함께 보내다 사실 자신 없다 않다 초라하다 싫다 애쓰다 미소 지다 보다 의미 없다 아직 지우다 사진 바라보다 한숨짓다 시간 모두 안녕 이제 정말 안녕
