artist,title,Korean_clean_lyric
  바비 킴  ,바래다주고 오는길,바래다주다 오다 보고 싶다 내다 전화 차다 이렇다 만나다 달라지다 모습 대다 가슴 사랑 스며들다 가난하다 마음 채우다 사랑 추다 겨울 있다 그렇다 있다 보나 보다 목소리 들리다 되어다 보다 자꾸만 변하다 보다 만나다 사랑 배우다 가슴 아직도 보다 설레다 나르다 버티다 손길 세상 지치다 곤해 있다 세상 사람 사람 사람 상일 있다 고백 싶다 사랑 아끼다 두다 마디 대다 가슴 사랑 스며들다 가난하다 마음 채우다 사랑 올해 추다 겨울 마냥 행복하다 있다
"  Usher ,  Zaytoven  ",You Decide,
  Mis-Teeq  ,All I Want,
  JP Cooper  ,Party,
  Aretha Franklin  ,Make It With You,
  Joss Stone  ,L-O-V-E,
  John Legend  ,You & I (Nobody In The World),
  Alice Vicious  ,Beep x 3,스타일 아주 솔직하다 보다 매일 연락 있다 물어보다 전화번호 혹시 혼자 사다 비밀스럽다 눈빛 꿈속 보다 몰래 보다 입술 다시다 없다 그리다 어리다 않다 사이 나르다 홀리 숨다 보이 매일 연락 물어보다 전화번호 전화기 있다 다시다 없다 그리다 어리다 않다
  Minnie Riperton  ,Lovin` You,
  BUMZU  ,GOOD LIFE (Feat. DOK2 & THE QUIETT),위로 올라타다 위로 올라타다 핸들 잡다 데려가다 위로 올라타다 위로 올라타다 위로 올라타다 좋다 좋다 좋다 좋다 좋다 행복 가까이 있다 어딜 보다 모든 끝나다 후회 또는 아쉬움 남지 않다 순간 집중 싶다 반드시 싶다 불어오다 시원하다 바람 감고 느끼다 보다 나르다 따라오다 이제 위로 올라타다 위로 올라타다 핸들 잡다 데려가다 위로 올라타다 위로 올라타다 위로 올라타다 시원하다 고양이 같다 모두 가지 있다 차분하다 보이다 성격 있다 쉬다 않다 좋다 불꽃 튀다 눈동자 밝다 미래 닿다 멀어지다 불어오다 시원하다 바람 감고 느끼다 보다 나르다 따라오다 이제 위로 올라타다 위로 올라타다 핸들 잡다 데려가다 위로 올라타다 위로 올라타다 위로 올라타다 최고 상태 대체 문제 인생 마치 떠오르다 태양 빼다 절대로 않다 계약 정상 올라서다 순간 평생 기다리다 바로 불어오다 시원하다 바람 감고 느끼다 보다 나르다 따라오다 이제 위로 올라타다 위로 올라타다 핸들 잡다 데려가다 위로 올라타다 위로 올라타다 위로 올라타다
  AZIATIX  ,Nothing Compares To You,
  Judith Hill  ,Desperation,
  JMSN  ,Slide,
  Kiki Rowe  ,Come My Way (Feat. Khalil),
