artist,title,English_clean_lyric
  쇼콜라  ,블랙팅커벨,tinkerbell tinkerbell tinkerbell tinkerbell leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave leave black black black black black black
  신화  ,Alright,feelin baby girl fallin girl baby dream eye candy anything girl time alright fallin girl share slice motorbike ball night alright fallin girl alright feelin girl alright take alright alright eveything alright make love hop get red stayin lovestoned alright alright girl uh girl slow feelin alright alright alright sweet sweet woo feelin alright last oh feelin alright girl alright alright right
  이스트원  ,퍼펙트,wan winner everybody change monkey gon nobody star everybody change monkey come walk stop cause get start follow walk get perfect perfect everyday dead oh perfect perfect super everyday dead oh perfect back
  아이돌  ,이럴수가,
  현아  ,Lip & Hip (Inst.),yeah eye lip pi pi pi pi pick lip lip hip hip lip lip lip hip hip hip lip lip hip lip hip lip lip lip hip hip hip lip lip hip lip hip lip lip hip hip lip lip lip hip hip hip lip lip lip hip hip hip lip hip woo lip hip twinkle kling king king king get get get get queen queen pick fancy fancy fancy fancy
  양요섭  ,그대는 모르죠,hoo
  나윤권  ,Bellucia,sweety bellucia sweety bellucia sweety bellucia baby everyday dream lady oh sweet lady
  소녀시대 (GIRLS` GENERATION)  ,Touch The Sky,baby sky dream baby baby true oh true forever oh forever
  소녀시대 (GIRLS` GENERATION)  ,The Boys,boy boy boy boy boy boy boy girl generation heat boy girl boy boy girl generation heat boy girl boy girl boy girl generation stop boy heart boy boy girl boy girl boy girl boy girl boy girl generation em heat boy girl boy bring bring bring get funny bring feel bring bring feel bring bring dance check keep bring bring bring bring bring bring feel bring high high yes fly right athena
  프로미스나인  ,FIRST LOVE,boo boo boo boo boo boo boo boo boo boo boo boo love boo boo boo boo boo love love love first first first first
  걸스데이  ,휘파람,love love love love love baby love love love love love love love love blah baby love love love love love love love love love love love love love love love love love give give give give give get boy feel give see give feel see give give give give give feel feel give see give feel see give give give give give feel feel give see give feel see give give give give give feel bad blah away
  김완선  ,잃어버린 도시,
  SUPER JUNIOR (슈퍼주니어)  ,Devil,hey baby baby please devil devil devil devil well hey
  미쓰에이  ,남자 없이 잘 살아,lady man man man man man man man man hey boy play man man man man man man man man hey boy play man man man man man man man man man man man man man man man man let go independent
  박명수  ,자존심,
  임성은  ,짝사랑,
  소녀시대 (GIRLS` GENERATION)  ,무조건 해피엔딩 (Stick Wit U),style motion oh style motion oh baby oh oh oh oh oh get oh slow oh oh oh oh oh slow oh oh oh oh oh oh oh oh
  공원소녀 (Girls in the Park)  ,밤의 비행 (The Interpretation of Dreams),day night eye melody head song round eye melody head song round ooh ooh woo melody head song oh yeah feel feel heaven precious precious heaven uh precious precious heaven heaven precious precious precious precious precious precious precious precious precious precious close close oh heaven
  용감한 형제  ,"Invisible (인비져블) (Feat. 손담비, 별들의전쟁)",invi vi vi vi vi vi let invi vi vi vi si si thank blash invi vi vi vi si si si si call ear end fire invi vi vi vi vi si vi trayer go miss tire invisible invisible invisible invisible trayer invisible invisible invisible invisible invisible invisible invisible vi invisible invisible invisible invisible invisible invisible invisible invisible invisible invisible invisible invisible invisible invisible right sick invisible invisible invisible invisible invisible invisible invisible sible visible
  달샤벳  ,유리인형 (DON`T TOUCH),touch doll danger danger step glassy doll hey brake boy touch hey brake boy touch baby hoo woo woo woo woo touch baby hoo woo woo woo woo touch monster diamond doll twinkle twinkle twinkle danger danger step oh doll hey brake boy touch hey brake boy touch baby hoo woo woo woo woo touch baby hoo woo woo woo woo welcome yeah dollam touch hey brake boy touch hey brake boy touch baby hoo woo woo woo woo touch baby hoo woo woo woo woo touch monster glassy fragile fragile shiny oh glassy fragile fragile touch twinkle expensive fragile fragile pretty back back
  이정현  ,니 남자를 줘,bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye slang chicken straight shorty givin eye way frame game set feelin shorty passion fashion bangin accent way name play hate kid bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye speak starin got wide lie guy right smooth mellow phly away
  쿨 (COOL)  ,친구가 된다는 건,
  러블리즈  ,마음 (*취급주의),
  Various Artists  ,뭐야 뭐야 (DJ처리 Remix Ver.),
  Badkiz  ,귓방망이2 (Inst.),guess badkiz ground pas ya get bb ah hit get waste let rain bring ready crazy ready ah back back
  쥬얼리  ,Passion,passion heart babe soul soul rap beat show child shout soul soul baby come flow
  카드 (KARD)  ,Trust Me (J.seph&Jiwoo Ver.),carry pray brain pain keep get get ai calm na back
  VIXX (빅스)  ,My Valentine,carry carry something air valentine sign something air baby triplet woo valentine valentine valentine valentine valentine valentine valentine valentine valentine valentine valentine valentine valentine love get get get get breeze valentine valentine valentine valentine valentine maybe together together
  JAM2Y (잼투와이)  ,원숭이,yeah yeah yeah ah yeah yeah baby baby baby let yeah yeah let get start yeah get start oh oh gentle ok oh oh oh yeah ok
  엠투엠 (M To M)  ,1004 (너는 내운명 2) (Feat. 낯선),love love love oh love girl
  몬스타엑스  ,하얀소녀,heart girl yeah yeah heart girl heart girl heart girl love love love love
  EXO  ,HURT,mystery memory insane yeah mystery memory insane mystery memory insane bad bad bad bad bad bad bad bad uh bad bad bad bad
  올빼미  ,여름안에서 (Feat. 레이디오울),rap love god br
  드림노트 (DreamNote)  ,취미는 너,message mistery boy girl boy mistery boy girl boy girl boy tell boy tell ring ring tell boy tell oh boy curious oh boy curious curious oh oh
  신화  ,Hero,resistance hurry eye face hero mind turn hero mind everybody pray savin life move im keepin somebody care body please friend turn hero mind put yall yo word mind blow attack forth flow nobody nobody hero mind go go get make stand go im touch blue little ta right uh clear simple cant back even even even
  EXO  ,狼與美女 (Wolf),ye ju duo tun tian shang ni li pin chang jiu bie ku nao shen shi qu bu le shi chang shang zi ji shi wu hei kuai lai bie ba te zhe gan jue jue bu ke neng shi ta ke shi jin ye tai yao gao su lie wu bie zai tuo hei jiu bu style deng dao man zhi yi dao ni wolf yi zhi wolf awooooo ah saranghaeyo shi mei nv lang wolf yi zhi wolf awooooo ah saranghaeyo shi mei nv hao tou ru gei tiao jin jing zhi zhi hui geng tong mang hui ge man man ru wan ku yeah kan ta ju zai zhuo bu que shi bu dao li li dou shi wei si lie ta bu bai ru le wei tao bi zai tao bi zai tao bi bi jin feng che di mang su lie wu bie zai tuo hei jiu bu style deng dao man zhi yi dao ni wolf yi zhi wolf awooooo ah saranghaeyo shi mei nv lang wolf yi zhi wolf awooooo ah saranghaeyo shi mei nv lang mao dun fa nu hou bu liao jiu nan hui tou cheng huang se man shou kuai zhi zhui qiu pin bi da shi zhi fa le feng ke shi wu fa zu rang hao tou ru gei tiao jin jing zhi zhi hui geng tong mang hui ge man man ru wan ku hao tou ru gei tiao jin jing zhi zhi hui geng tong mang hui ge man man ru wan ku wolf yi zhi wolf awooooo ah saranghaeyo shi mei nv lang wolf yi zhi wolf awooooo ah saranghaeyo shi mei nv lang xing yong yang xiang zen xing hei ta ding shi shi shi shi ye xin yi de ming yi jing kuang wan de de de ta ding shi shi shi shi shou huo huang ming dan ai ye ye shi shi shi shi kou wei hong yong bian jian hui guo bie shi dong qi qian zhua ni ni lang ni gong xian zha tong kan pan xian ye shi dong qi qian zhua ni ni gou gan chao tong kong ta ni gong xian zha tong ni gong xian zha tong ni ni yong
  효민  ,척했어 (Inst.),yeah uh uh alright
  원더보이즈  ,신난다 신나,hah woo hah woo hah hah woo hah woo hah wow woo hah woo ha ha hah master hand sky house hey bounce hand sky house hey ha ha ha ha uh say model hey left right left right left left right right left woo hah woo hah woo hah hah woo hah woo hah woo hah woo hah hah woo hah woo hah woo hah hah woo hah wow woo hah woo hah woo hah hah wow say let go put put go come let go go come woo ok woo uh uh young sexy right go go go
  루팡  ,The Spy,
