artist,title,lyric
  타린  ,닿을락 말락 (Feat. 슈가볼),사람들이 그래 우린 너무 닮았대 말투 성격 닮을 수도 있는 거지 뭐 볼 때마다 그래 너무 친하대 친구끼리 친한 게 당연한 건데 지나가던 꼬마들이 언니 형아 오래오래 행복하래 그게 무슨 소리 인지 우리 둘은 이해 못 해 손등이 닿을락 말락 왔다 갔다 너와 내 사이는 또 알 수 없어 같이 여행 온 것뿐인데 어색하고 싶지 않아 어떡해 사람들은 다 아는데 우린 가까워서 이러는 걸까 혹시 알아 운명인건지 우린 인연인걸까 손등이 닿을락 말락 왔다 갔다 너와 내 사이는 또 알 수 없어 같이 여행 온 것뿐인데 어색하고 싶지 않아 어떡해 어떡해 닿을 듯 말 듯 보일 듯 말 듯 한 발짝만 떨어지면 편해질 수 있을까 지나가던 꼬마들이 누나 형아 오래오래 행복하래 그게 무슨 소리인지 우리 둘은 이해 못 해 손등이 닿을락 말락 왔다 갔다 나도 내 맘 몰라 또 알 수 없어 친구보다 좀 더 친한 친구야 아직까지 나는 그래
  담소네공방  ,반했나요,그대 나에게 반했나요 그대 그렇게도 내가 좋은가요 그대 나를 보며 자꾸 웃어요 부끄럽게 말이야 난 그댈 보고 그댄 나를 바라보고 음 입 맞추죠 그대 나에게 반했나요 그대 그렇게도 내가 좋은가요 그대 나를 보며 자꾸 웃어요 부끄럽게 말이야 보이지 않는 게 사랑이지만 가끔은 눈으로 보인다죠 내 앞에 서 있는 당신의 사랑이 너무나도 잘 보이네요 난 그댈 보고 그댄 나를 바라보고 우리가 조금씩 가까워지면 난 그댈 보고 그댄 나를 보고 그댄 나를 바라보고 난 그댈 보고 우리가 조금씩 가까워지면 입 맞추죠 그대 나에게 반했나요 그대 그렇게도 내가 좋은가요 그대 나를 보며 자꾸 웃어요 부끄럽게 말이야
  담소네공방  ,그네,그렇게 자꾸 나를 밀어내지 좀 말아요 나는 또 멍청하게 흔들리잖아 오늘도 붕 뜬 맘에 정신을 좀 잃어요 내가 이렇게 판단이 흐렸었나 좀 바보 같네 그렇게 자꾸 나를 밀어내지 좀 말아요 나는 또 멍청하게 흔들리잖아 오늘도 붕 뜬 맘에 정신을 좀 잃어요 내가 이렇게 판단이 흐렸었나 좀 바보 같네 제발 좀 헷갈리게 하지 말고 확실하게 해줘 멈춰야 할지 더 가야 할지 모르겠단 말이에요 이상하게 내 마음이 내 맘 같지 않아 흔들흔들 흔들리는 그네 같아 밀어내지 말고 좀 당겨줘요 나 어릴 적 그네를 밀어주던 우리 아빠처럼 포근하게 자상하게 밀어내지 말고 좀 당겨줘요 나 어릴 적 그네를 밀어주던 우리 아빠처럼 포근하게 자상하게 그랬으면 좋겠네 그래 주면 좋겠어 그랬으면 좋겠네 그래 주면 좋겠어 제발 좀 헷갈리게 하지 말고 확실하게 해줘 멈춰야 할지 더 가야 할지 모르겠단 말이에요 이상하게 내 마음이 내 맘 같지 않아 흔들흔들 흔들리는 그네 같아 밀어내지 말고 좀 당겨줘요 나 어릴 적 그네를 밀어주던 우리 아빠처럼 포근하게 자상하게 밀어내지 말고 좀 당겨줘요 나 어릴 적 그네를 밀어주던 우리 아빠처럼 포근하게 자상하게 그랬으면 좋겠네 그래 주면 좋겠어 그랬으면 좋겠네 그래 주면 좋겠어 나는 그댈 보고 그대는 나를 보고 우린 서로를 보고 수줍은 듯 웃지만 사실을 그대 안에 나를 향한 마음이 얼마나 가득한진 조금도 모르겠어요
  Eighteen April  ,Dreamer,Repeated stories life gaining dust Trying to fit in my coffin and fill it with gold the prize I won for the souls I have sold Seasons change yet I still shiver in my winter I grew numb to all these blisters Jumped on the last train home wishing it to take me back in time and never return Another bottle down smiling my fake intention Another bottle down smiling my fake intention Don't fade away Open up your eyes see through my skin A million unsaid words clouded thoughts and blurry visions Scream out scream out This feeling just never ends Don't let it grow inside of you It only takes a few ticks around the clock One more tight grip biting my teeth Tomorrow becomes my dream One more tight grip biting my teeth Tomorrow becomes my dream Don't fade away Open up your eyes and see through my skin Don't fade away Open up your eyes and see through my skin Don't fade away Open up your eyes see through my skin A million unsaid words clouded thoughts and blurry visions Scream out scream out This feeling just never ends Don't let it grow inside of you It only takes a few ticks around the clock I am what I choose to be The roads are paved in my own direction I am what I am I am what I dream
  디오디오 (The Audio)  ,그 어떤 미사여구보다 더 아름다웠던,밤하늘을 가로지르며 날아간 혜성에게 묻는다 나를 데려가지 않으련 그녀의 목소릴 듣고 싶거든 밤하늘을 가득 메운 작은 별들의 노랫소리에 나는 놀라 잠에서 깨어 그녀에게 마음을 전해본다 그녀에게 내 마음을 전해본다 그 어떤 미사여구보다 더 아름다웠던 그녀의 진심의 한마디가 너무나 듣고 싶어 구름 위에 달에게 살며시 난 물어본다 내 마음을 전해줘 진심을 전해주세요 드넓은 저기 밤하늘에 나의 작은 비밀을 묻어본다 아무도 모르게 조용히 별들과 나만의 비밀약속 밤하늘을 가득 메운 작은 별들의 노랫소리에 나는 놀라 잠에서 깨어 그녀에게 마음을 전해본다 그녀에게 전해본다 그 어떤 미사여구보다 더 아름다웠던 그녀의 진심의 한마디가 너무나 듣고 싶어 구름 위에 달에게 살며시 난 물어본다 내 마음을 전해줘 진심을 전해주세요 내 마음속 꼭 간직했던 전하고 싶었던 진심의 한마디
  우주히피  ,여기,여기 언젠가 와 본 적 있는지 왠지 낯설지 않아 저기 보이는 골목을 돌며 우리 두 손을 잡았지 예전에 우리를 좋았던 그때를 추억하는 나는 초라해 그대가 멀리서 반짝일수록 눈이 부신 만큼 더 해 우리 오래 전 걷던 길 위에 아직 머물러 이대로 날 기다리던 언젠가의 너를 나는 기다려 혼자 예전에 우리를 좋았던 그때를 추억하는 나는 초라해 그대가 멀리서 반짝일수록 눈이 부신 만큼 더 해 그대가 나에게 순간을 말할 때 내일이 없던 난 믿었어 이렇게 떨어져 멀어지는 게 너무나 아프고 싫어
  이스트코너 (East Corner)  ,봄이니까,길었던 겨울도 이제 끝났나 봐 가벼워진 옷처럼 마음도 들떠있어 추워서 싫다고 집에만 있다던 너를 보러 갈까 그래도 될 것 같아 봄이니까 다른 사람들처럼 꽃눈이 내리는 밖으로 나와 따뜻한 햇살을 맞으며 우리 걸어볼까 같이 봄이니까 너도 내 마음처럼 서롤 향해 열려있으면 좋겠어 이제 그만 집 앞으로 나와줄래 봄이니까 겨울이 지나고 이제는 널 만나러 가고 있어 모든 게 설레는 봄이니까 다른 사람들처럼 꽃눈이 내리는 밖으로 나와 따뜻한 햇살을 맞으며 우리 걸어볼까 같이 봄이니까 너도 내 마음처럼 서롤 향해 열려있으면 좋겠어 이제 그만 집 앞으로 나와줄래 봄이니까 포근한 날씨처럼 내게 맘을 열어줘 저기 멀리서 너의 모습이 보여 봄이니까 다른 사람들처럼 꽃눈이 내리는 밖으로 나와 따뜻한 햇살을 맞으며 우리 걸어볼까 같이 봄이니까 너도 내 마음처럼 서롤 향해 열려있으면 좋겠어 이제 그만 집 앞으로 나와줄래 봄이니까 다른 사람들처럼 꽃눈이 내리는 밖으로 나와 따뜻한 햇살을 맞으며 우리 걸어볼까 같이 봄이니까 너도 내 마음처럼 서롤 향해 열려있으면 좋겠어 이제 그만 집 앞으로 나와줄래 봄이니까
  비누도둑  ,당근주스,당근 주스 당근 주스 당근 주스 당근 주스다 아무리 니가 남들과 다르려 해도 아무리 새로운 걸 고민해봐도 지구 밖 다른 별로 가지 않는 한 완벽히 새로운 건 없어 당근 주스 당근 주스 당근 주스 당근 주스다 당근만 가지고는 주스가 안돼 오렌지 사과즙이 필요한거야 만들기 어려운건 순수가 아냐 조율이 중요한거야 당근 주스 당근 주스 당근 주스 당근 주스다
  밀크티  ,프롬 (From),어릴 적엔 비가 오는게 싫었어 운동장 밖에 엄마들 속에 안긴 너를 볼 때면 그땐 그게 너무나 아팠었나 봐 혼자라는 생각이 내 머릿속에 가득 차 있었어 사랑 받고 있었을 텐데 단지 조금 바빴을 뿐인데 사랑 받고 있었을 텐데 분명 함께 있었을 텐데 You need love You need love gleaming and the warm 위에서 오는 위로가 너에게 올 거야 You need love You need love gleaming and the warm 위에서 오는 위로가 너에게 올 거야 어릴 적엔 혼자 있는게 싫었어 작은방 안에 앉아서 창밖에 너를 볼 때면 그땐 그게 너무나 아팠었나 봐 혼자라는 생각이 내 머릿속에 가득 차 있었어 You need love You need love gleaming and the warm 위에서 오는 위로가 너에게 올 거야 You need love You need love gleaming and the warm 위에서 오는 위로가 너에게 올 거야 from top to me from top to me from top to me 사랑 받고 있었을 텐데 단지 조금 바빴을 뿐인데 사랑 받고 있었을 텐데 분명 함께 있었을 텐데 You need love You need love gleaming and the warm 위에서 오는 위로가 너에게 올 거야 You need love You need love gleaming and the warm 위에서 오는 위로가 너에게 올 거야 from top to me from top to me from top to me
  스키니죠 (Skinnyjoe)  ,#18 (Egolog),Watching the pearly grass Summertime sadness through the storm Darkest days are over But still feeling kind of blue My soul burns to the ground Drag me to hell My bones and the crown Fall into oblivion Separate part to part Scattered on the meadow Truth is the only savior The last page of the logbook
