artist,title,lyric
  에디전 (뷰티핸섬)  ,"아빠, 설명해주세요",아빠 설명해주세요 왜 살기가 너무 힘들죠 내가 할 수 있는 것만 하는데 남들이 나를 이해를 못 해요 아빠 설명해주세요 왜 이 세상엔 오해가 많죠 마음 아파도 미소를 지었죠 아빠의 말씀을 듣고서 내 아들 괜찮아 너는 이미 누군지 알잖아 그러니 일어나 마침내 해낼 거니까 아빠 설명해주세요 왜 사랑을 찾기가 힘들죠 나의 외로움을 정말 견디기 힘들어서 위로를 원해요 내 아들 괜찮아 너는 이미 누군지 알잖아 그러니 일어나 마침내 해낼 거니까 내 아들 괜찮아 슬픔은 삶의 일부니까 넌 혼자가 아니야 너처럼 나도 아팠어 내 아들 괜찮아 너는 이미 누군지 알잖아 그러니 일어나 마침내 해낼 거니까 걱정 마 너는 너니까 마침내 해낼 거니까
  솔루션스 (THE SOLUTIONS)  ,(I Couldn`t Be) Your One,No I don't want to say good bye but I have to time doesn't care about your mind but you have to know we all tried to find the way we'd never know we are tired to be a flame oh you don't make me higher I Just wanted to be your flyer you just make me a liar I never thought I couldn't be your one I was so far away from here losing your pace all of your words just spin my head so you have to know we all tried to find the way we'd never know we are tired to be the same oh you don't make me higher I Just wanted to be your flyer you just make me a liar I never thought I couldn't be your one and all my dream are drained away why we always be the one who said I couldn't be your one no I don't want to say good bye no I don't want to say good bye you don't make me higher I Just wanted to be your flyer you just make me a liar I never thought I couldn't be your one and all my dream are drained away why we always be the one who said I couldn't be your one
  옥상달빛  ,Help,유난히도 서늘한 가을 바람에 설레임이 아닌 쓸쓸함이 왔다 이제껏 말하지 못했던 우릴 지나치는 수많은 일들이 다시금 기억을 깨우고는 길을 멈춰 서게 한다 음 그러면 안 되는데 음 그래서는 안 되는데 음 그러면 안 되는데 미안 미안 미안해 이제껏 말하지 못했던 우릴 지나치는 수많은 일들이 다시금 기억을 깨우고는 길을 멈춰 서게 한다 음 그러면 안 되는데 음 그래서는 안 되는데 음 그러면 안 되는데 미안 미안 미안해
  크라잉넛 (CRYING NUT)  ,게릴라성 집중호우,오 나의 그대여 여름 햇빛 따사롭다 꽃같은 세상에 해가 되라 빙글빙글 잘도 돈다 어여쁜 아가씨 꽃도 없는 이 세상에 나비가 되라 양복이 번쩍 잘 나신 아저씨 가족이 기다린다 집에나 가라 세상이 검어 타이어가 검어 비가 온다 비 온다 검은 비가 내리네  세상은 돌아간다 인생도 돌아가지 나의 사랑아 어디로 가는가 하늘은 뚫려졌다 구름은 걸려있지 높디 높은 빌딩 위에 또 다른 한 사람 밑으로 밑으로 떨어지네 또 다른 한 사람 밑으로 밑으로 떨어지네 또 다른 한 사람 밑으로 밑으로 떨어지네 또 다른 한 사람 밑으로 밑으로 떨어지네  정체가 뭔가 기원이 어디였나 내앞에 버티고 있는 그대는 뭔가 답답해 못살겠다 대머리 아저씨 어두운 세상에 빛이나 되라 세상은 달려가고 옆골목으로 비켜가고 내가 언제 간절히 원했던가 원하지 않는다 나의 인생은 지하실 술집으로나 빠져가네 눈부신 태양 가리며 건물위에 한 사람 서 있네 무엇이 서러운가 더러운가 하염없이 울고만 있네 떨어지는 눈물을 쫓아서 날아가는 새들을 따라서 떨어지려 한다 떨어진다 이번 차례는 나인가 또 다른 한 사람 밑으로 밑으로 떨어지네 또 다른 두 사람 밑으로 밑으로 떨어지네 또 다른 세 사람 밑으로 밑으로 떨어지네 또 다른 네 사람 밑으로 밑으로 떨어지네
  문선 (MOONSUN)  ,뭇 (Un Certain Ver.),깊은 꿈을 건너 푸른 달도 잠든 밤에 그리워 부르네 나만의 그댄 어디에 뭇 정을 건너 뭇 밤을 나 거쳐서 외롭게 부르네 더 널 위한 차림으로 저 너머 있을까 창밖에 있을까 내 머릴 괴어준 이 팔의 너일까 저 너머 있을까 창밖에 있을까 내 머릴 괴어준 이 팔의 너일까 얕은 인연 지나 약한 맘을 무릎 서면 익숙해지던 나 너 우릴 위한 감정의 왜곡 뭇 얼굴 견뎌 뭇 밤을 나눈 뒤엔 네게 닿겠지 더 나다운 모습으로 저만치 있을까 이 끝에 있을까 내 속을 움켜쥔 이 손의 너일까 저만치 있을까 이 끝에 있을까 내 속을 움켜쥔 이 손의 너일까 저만치 있을까 이 끝에 있을까 내 속을 움켜쥔 이 손의 너일까 저만치 있을까 이 끝에 있을까 내 속을 움켜쥔 이 손의 너일까
  platz (플랏츠)  ,Boy meet Girl (Vocal by 승환),모르고 지낸 것도 아니었는데 이유 모르게 니가 자꾸 생각나 웃는 널 바라본 그 순간부터 난 이젠 되돌릴 수 없나봐 무뚝뚝한 내가 널 볼때면 어린 애처럼 웃잖아 생각하는 것마저 바뀌었어 널 닮아 가는 것 같아 너를 만나고 나 달라진 것만 같아 이렇게 변할 줄은 나도 몰랐었는데 너와 나 나랑 너 내겐 꿈만 같다고 이 말을 언젠가 말하고 싶어 누구라도 겁 먹진 않았었는데 좋으면 좋고 싫으면 말았었는데 니가 혹시나 싫어하지 않을까 괜히 작아지는 거 같아 별것 아닌 선물에 웃는 너 내 맘을 다 주고 싶어 좋아하는 것마저 바뀌었어 이런 나 처음이야 너를 만나고 나 달라진 것만 같아 이렇게 변할 줄은 나도 몰랐었는데 너와 나 나랑 너 내겐 꿈만 같다고 이 말을 언제나 말하고 싶어 Boy meet Girl 넌 나를 바꿨어 처음인 걸 이런 내모습 다 주고싶어 너에게 만큼은 나의 전부이니까 너를 만나고 나 달라진 것만 같아 이렇게 변할 진 나도 몰랐었는데 너와 나 나랑 너 내겐 꿈만 같다고 이 말을 언제나 말하고 싶어 너를 만나고 나 달라진 것만 같아
  정유연  ,일어나,누구나 가슴 속 깊이 상처 하나쯤 안고 살지 누구나 한번쯤 실패에 넘어져 울곤 하지 누구나 때로는 보이지 않는 내일에 겁 먹지 누구나 한번쯤 혼자라는 외로움을 마주하지 일어나 널 바라보는 나를 봐 일어나 널 아끼는 나를 봐 지금 네 앞에 나를 누구나 말 못할 비밀 하나쯤 안고 살지 누구나 흘러간 추억을 그리며 웃곤 하지 누구나 더 나은 내일이 되기를 기대하지 누구나 멀잖은 소망을 향해 달려가지 일어나 널 바라보는 나를 봐 일어나 널 아끼는 나를 봐 언제라도 혼자라고 느낄 때 [[[ 것도 할 수 없다 느낄 때 일어나 널 바라보는 나를 봐 일어나 널 아끼는 나를 봐 일어나 널 바라보는 나를 봐 일어나 널 아끼는 나를 봐 지금 네 앞에 나를 네 앞에 나를
  김사월  ,8월 밤의 고백,저는 그날 다 헤어졌기에 더 슬프진 않았어요 이미 그날 모든 눈물은 흘렸거든요 사월의 눈 8월의 밤 모두 지나쳐 갔기에 함께 있어 준 건 창밖의 연인과 어딘가 잘라 붙인듯한 별 하나 하나뿐이던 그 마음이 인파 속에 묻혀 버리는 게 얼마나 쓸쓸한지 당신도 아시죠 피할 수 없는 멈출 수도 없는 기나긴 터널이 얼마나 끔찍한지 당신도 아시죠 옷 속 끝까지 파고드는 한기를 견뎌야 하는 게 얼마나 쓸쓸한지 당신도 아시죠 아이 같았던 연인의 손을 놓고 뒤돌아서는 게 얼마나 끔찍한지 당신도 아시죠 저는 그날 다 헤어졌기에 더 슬프진 않았어요 이미 그날 모든 눈물은 흘렸거든요 사월의 눈 8월의 밤 모두 지나쳐 갔기에 함께 있어 준 건 창밖의 연인과 어딘가 잘라 붙인듯한 별 하나
  EE  ,퐁퐁퐁,퐁퐁퐁퐁 퐁퐁퐁 퐁퐁퐁퐁 퐁퐁퐁 퐁퐁퐁퐁 퐁퐁퐁 퐁퐁퐁퐁 퐁퐁퐁  퐁퐁퐁퐁 퐁퐁퐁 퐁퐁퐁퐁 퐁퐁퐁 퐁퐁퐁퐁 퐁퐁퐁 퐁퐁퐁퐁 퐁퐁퐁  항상 기다려 왔죠 첫눈이 내리는 밤 퐁퐁 차가운 샤벳 기분 좋아지는 이 밤  퐁퐁퐁퐁 퐁퐁퐁 퐁퐁퐁퐁 퐁퐁퐁  예쁜 가로등 불빛 그대도 멋져보여요 아이스크림 아이스크림만 같아 달콤해 새하얀 이 밤  퐁퐁퐁퐁 퐁퐁 퐁퐁퐁퐁 퐁퐁 퐁퐁퐁퐁 퐁퐁  아이스 크림 맛 같애  퐁퐁퐁퐁 퐁퐁퐁퐁퐁퐁퐁  꿈꾸던 오늘이 왔죠 또 다시 꼭 찾아와요 꿈꾸던 오늘이 왔죠 또 다시 꼭 찾아와요
  갤럭시 익스프레스  ,개구쟁이,난 내가 너무 좋아 미치도록 내가 좋아 뭐가 좋은 건지 잘 모르겠지만 그래 난 Rock'n'roller 다 미쳐버렸지 잘산다는 게 뭔데 잘나가는게 다 뭔데 일등만 기억하는 이 더러운 세상 그딴 거 필요 없어 우리가 최고야 눈치 보지 말고 너를 보여봐 생각하지 말고 그냥 느껴봐 이 순간에 빠져 노래 불러봐 괜찮아질 거야 예예예 난세상이 너무 좋아 눈물 나게도 참 좋아 누가 만든 건진 잘 모르겠지만 우리는 Rock'n'roller 세상을 바꾸지 잘산다는 게 뭔데 잘나가는게 다 뭔데 일등만 기억하는 이 더러운 세상 그딴거 필요 없어 우리가 최고야 눈치 보지 말고 너를 보여봐 생각하지 말고 그냥 느껴봐 이 순간에 빠져 노래 불러봐 괜찮아질 거야 예예예 오예 오예 오예 오예 예예예 오예 오예 오예 오예 예예예 눈치 보지 말고 너를 보여봐 생각하지 말고 그냥 느껴봐 이 순간에 빠져 노래 불러봐 괜찮아질 거야 예예예 오예 오예 오예 오예 예예예 오예 오예 오예 오예 예예예
