artist,title,lyric
  안다영  ,"Waves, Smoke, River",I was just sitting in the chair alone closing my eyes and alone alone and I always don't know what I want to draw I wish I had a so wide river I wish I had a so wide river and so and I always don't know what I want to draw I wish I had a so wide river I wish I had a so wide river I wish I had a so wide river I wish I had a so wide river I wish I had a so wide river I wish I had a so wide river and so
  나로  ,두근두근,나는 나는 세상의 빛 나는 나는 세상의 빛 나는 나는 빛을 내지요 예수님의 사랑 빛을 알게 하죠 나는 나는 냠냠소금 나는 나는 세상의 소금 나는 나는 맛을 내지요 예수님의 사랑 맛을 알게 하죠
  최고은  ,봄:BOM (Songs & Whispers` Studio In Bremen),둥지 잃은 새의 울음소리 Silence Silence One day you will come and I will come 허공의 음표 되어 알리네 Silence Silence One day we will find we will find 우리는 서로에게 왜 숲이 아닌가 무심하게 지나쳐온 너의 노래 우리는 서로에게 왜 숲이 아닌가 어느 누군가 멀리 있는 봄 It's between us between us 홀로 남은 새의 울음소리 Silence Silence One day we will find we will find 우리는 서로에게 왜 숲이 아닌가 무심하게 지나쳐온 너의 노래 우리는 서로에게 왜 숲이 아닌가 어느 누군가 멀리 있는 봄 It's between us between us between us
  담소네공방  ,오해,수많은 오해들을 갖고 살아가는 우리는 늘 불안하고 또 불안하죠 사실은 아무 일도 아닌데 왜 그렇게 생각해요 그러니까요 왜 그럴까요 세상에 나쁜 사람 있나요 내 주변엔 없어요 Um 어렵게 생각하지 말아요 사람 사는 거 거기서 거길 거예요 고민하지 말아요 아무 생각 없이 뱉은 말일 걸 맞아 진짜야 저 흘러가는 강처럼 그냥 그렇게 보내는 거야 그래 그렇게 보내 거꾸로 가지 말아요 되짚어보면 나만 힘들걸 맞아 진짜야 늘 그래왔던 것처럼 나 혼자만의 오해일 거야 하루 종일 고민하다 잠도 못 자고 혼자서만 생각하니 몸만 아프고 아무 말도 못한 채로 집에 오는 바보 같은 나 아니 왜 그랬지 한 발짝만 물러나서 바라봤더니 그 누구도 잘 못 없던 오해였는데 하필이면 내가 힘든 날에 모든 게 겹친 거야 고민하지 말아요 아무 생각 없이 뱉은 말일 걸 맞아 진짜야 저 흘러가는 강처럼 그냥 그렇게 보내는 거야 그래 그렇게 보내 거꾸로 가지 말아요 되짚어보면 나만 힘들걸 맞아 진짜야 늘 그래왔던 것처럼 나 혼자만의 오해일 거야 늘 그래왔던 것처럼 나 혼자만의 오해일 거야
  잎샘x유빈  ,같은 맘일까,너와 마주 앉아서 바라만 봐도 난 좋았어 계속 떠올라 자꾸 웃음이 나는 걸 네 손을 잡고 걷고 싶어 날 바라보는 눈빛 나 혼자만의 착각일까 물어보고 싶어 너도 나와 같을까 하루 종일 네 생각만 해 어떻게 내 마음을 전할 수 있을까 생각해 조금은 서툴러도 천천히 다가갈게 너에게 너와 나누던 대화 뭔가 다르게 느껴졌어 함께한 짧은 시간 너도 같은 마음일까 생각만 해도 웃음이 나 너와 걸어갈 때면 자꾸만 망설여지는 걸 어떤 말을 할까 종일 너만 생각하는데 너도 나와 같은 맘일까 어떻게 내 마음을 전할 수 있을까 생각해 조금은 서툴러도 천천히 다가갈게 너에게 내겐 너 하나로 충분해 내 마음 안다면 잡아주기를 바라 있잖아 너에게 전하고픈 말이 있어 좋아해 너를 내 마음에 가득한 널 느낄 수 있어 널 좋아해 말 안 해도 알 수 있어 우린 아마도 같은 맘일 거야 everyday I think of you every night I dream of you everyday I think of you every night I dream of you
  uju (우주)  ,미운 사람만 가득한 이 도시에도,어젯밤 왜 내게 그렇게 얘기했나요 한숨도 못 자고 생각해봐도 이유를 모르겠어 가만히 생각해보면 자꾸 그대가 미워져요 이렇게 미운 사람만 가득한 나도 이상한가요 오 그대여 미운 사람만 가득한 이 도시에도 사랑은 사랑은 있겠죠 오 이렇게 가만히 바라보면은 그대 표정이 이상하게 따듯한 것처럼 보여요 언제나 왜 내게 차갑게 얘기하나요 한 번씩 웃으며 얘기할 때도 그 맘을 모르겠어 가만히 생각해보면 자꾸 그대가 미워져요 이렇게 미운 사람만 가득한 나도 이상한가요 오 그대여 미운 사람만 가득한 이 도시에도 사랑은 사랑은 있겠죠 오 이렇게 가만히 바라보면은 그대 표정이 이상하게 따듯한 것처럼 보여요 이상하게 따뜻한 것처럼 보여요
  S2REN (사이렌)  ,SADREAM,내 머리를 깨우는 널 찾아 헤매다 내 귓가를 맴도는 널 그리다가 또 Invisible place Where you are Everytime I draw you I’m not here 지나가는 시간에게 물어 돌아갈 수 있냐고 사라져가는 우릴 붙잡고 모두 잊은 거냐고 되뇌어봐도 소용없는 이 곳 내가 존재하는 이 곳 SAD DREAM 내 머리를 깨우는 널 찾아 헤매다 내 귓가를 맴도는 널 그리다가 또 지나가는 시간에게 물어 돌아갈 수 있냐고 사라져가는 우릴 붙잡고 모두 잊은 거냐고 되뇌어봐도 소용없는 이 곳 내가 존재하는 이 곳 SAD DREAM I can’t see u I can’t see u I can’t see u I can’t see I can’t see u I can’t see u
  피그말리온  ,"늦은 밤, 우리",늦은 밤 하늘을 수놓은 별들로 가득 차 지금 우리를 비춰 기분좋은 바람 조금 추워져 옆으로 오는 너 담요를 나눠 덮어 바람이 좋은 밤 너를 위한 노래와 나를 응원하는 별 사랑스런 눈 달콤한 입술 안아줘 늦은 밤 우리 함께 할 우리 너의 손 어쩔 줄 모르던 깊은 어둠 속에 나를 구원해준 빛 사랑한단 말이 조금 진부해도 언제나 웃으며 내게 입을 맞추는 바람이 좋은 밤 너를 위한 노래와 나를 응원하는 별 사랑스런 눈 달콤한 입술 안아줘 늦은 밤 우리 함께 할 우리 마주 보는 두 눈 많은 시련들과 지나온 날들이 서툴고 어렸어도 추운 밤 온기를 나눠 줄 따뜻한 너를 사랑해 속삭이듯 좇아 어둔 밤을 더듬어 마주 잡은 두 손은 같은 소원을 빌어 쏟아지는 별들 들리니 수줍게 울리는 지금 이 노래가 바람이 좋은 밤 너를 위한 노래와 나를 응원하는 별 사랑스런 눈 달콤한 입술 안아줘 늦은 밤 우리 함께 할 우리
  남소현  ,유후 (YooHoo),누구나 한 번쯤 그럴 때가 있죠 멜로드라마에 나올법한 때론 아름다운 장면에 달콤한 Kiss Scene이면 Good 오늘의 주인공은 나라면서 괜히 혼잣말에 입가에선 너의 이름을 불러 자꾸만 좋아해 나 말하고 싶어 Because Of You Because Of You 손끝만 스쳐도 So Good 오늘은 기분이 Feel So Good Because Of Love Because Of Love 하루 이틀 매일이 유후 내 옆에는 매일이 You 오늘의 마지막은 디저트처럼 달콤하게 때론 분위기 있게 무슨 말이 필요하겠어 사랑한단 말이면 뭐든 Good 아메리카노처럼 씁쓸하게 카페라떼처럼 부드럽게 내가 좋아하는 마끼아또 우리처럼 달콤해 Because Of You Because Of You 손끝만 스쳐도 So Good 오늘은 기분이 Feel So Good Because Of Love Because Of Love 하루 이틀 매일이 유후 내 옆에는 매일이 You Everyday Every Time 모든 순간이 너에게로 사랑한다 말하고 있어 Love You Love You Love You Love You Love Because Of You Because Of You Because Of You Because Of You I Love You and I Love You 하루 이틀 매일이 유후 내 옆에는 매일이 유 Love You
  짙은  ,March,어두운 깊은 밤에 내 맘을 바라보다 어쩐지 모든 것이 억울해 지는 건 아마 한 번도 말 못했던 그 말들 때문에 Out of my life Out of my life again 넌 아마 못 믿겠지만 너 땜에 난 잠도 잘 못 잔걸 You Out of my life out of my life again 넌 아마 안 듣겠지만 우리는 뭔가 좀 맞지 않아 오 넌 내가 붙잡으려 할 때면 고양이 눈을 하고 날 경계하다가 돌아서려 할 때면 어느새 귓가에 달콤한 말들을 하네 Out of my life Out of my life again 넌 아마 못 믿겠지만 너 땜에 난 잠도 잘 못 잔걸 You Out of my life out of my life again 넌 아마 안 듣겠지만 우리는 뭔가 좀 맞지 않아 오 큰북을 울려라 큰 행진을 하자 큰 함성소리로 오 You Out of my life out of my life again 솔직히 이런 말하기가 무서워 생각조차 못했던 You Out of my life out of my life again 넌 아마 날 찾겠지만 우리는 이젠 다시 만날 일 없을 테니까
